REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2021,0.011255435067254085
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2022,0.011340973130191943
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2023,0.012741855520520151
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2024,0.012741510393942177
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2025,0.012726604787957022
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2026,0.013072478708368482
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2027,0.013228200616043564
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2028,0.01393910858665621
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2029,0.014188334436972082
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2030,0.014385248329437508
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2031,0.014639757374027071
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2032,0.014659419845052332
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2033,0.014869258010709803
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2035,0.015259116369753866
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2037,0.016029051624163182
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2038,0.01614686313872327
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2040,0.016276040239401494
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2041,0.016490208698162038
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2042,0.016669946121375272
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2043,0.016913314285904528
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2045,0.0172941562627764
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2047,0.017683603365279344
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2049,0.018090198502106962
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2050,0.01829908964397094
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2034,0.015047934944554359
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2036,0.015785741729411124
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2039,0.01627113644809421
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2044,0.01709416890369499
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2046,0.017499324090640877
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2048,0.01788359072436268
REGION1,1,DEMCOMBIO,COMBIO,2021,0.022904105008218385
REGION1,1,DEMCOMBIO,COMBIO,2022,0.03616437632876774
REGION1,1,DEMCOMBIO,COMBIO,2023,0.04912327784657723
REGION1,1,DEMCOMBIO,COMBIO,2024,0.07263012246027685
REGION1,1,DEMCOMBIO,COMBIO,2025,0.10879449878904524
REGION1,1,DEMCOMBIO,COMBIO,2026,0.14495887511781366
REGION1,1,DEMCOMBIO,COMBIO,2027,0.19673369589394607
REGION1,1,DEMCOMBIO,COMBIO,2028,0.2365752951506938
REGION1,1,DEMCOMBIO,COMBIO,2029,0.30909781510915607
REGION1,1,DEMCOMBIO,COMBIO,2030,0.36927054550950117
REGION1,1,DEMCOMBIO,COMBIO,2031,0.3557884107846564
REGION1,1,DEMCOMBIO,COMBIO,2032,0.3698078807734422
REGION1,1,DEMCOMBIO,COMBIO,2033,0.34145198650412056
REGION1,1,DEMCOMBIO,COMBIO,2034,0.3770474171464764
REGION1,1,DEMCOMBIO,COMBIO,2035,0.3730260003017769
REGION1,1,DEMCOMBIO,COMBIO,2036,0.34683193169372295
REGION1,1,DEMCOMBIO,COMBIO,2037,0.36330862100588557
REGION1,1,DEMCOMBIO,COMBIO,2038,0.3691691611699281
REGION1,1,DEMCOMBIO,COMBIO,2039,0.3713750223752459
REGION1,1,DEMCOMBIO,COMBIO,2040,0.4153544705738462
REGION1,1,DEMCOMBIO,COMBIO,2041,0.39674952050678797
REGION1,1,DEMCOMBIO,COMBIO,2042,0.38543434479885635
REGION1,1,DEMCOMBIO,COMBIO,2043,0.3566103171345152
REGION1,1,DEMCOMBIO,COMBIO,2044,0.3636867346491479
REGION1,1,DEMCOMBIO,COMBIO,2045,0.3572594095995825
REGION1,1,DEMCOMBIO,COMBIO,2046,0.35756161854403035
REGION1,1,DEMCOMBIO,COMBIO,2047,0.33843828847672536
REGION1,1,DEMCOMBIO,COMBIO,2048,0.34448096785584387
REGION1,1,DEMCOMBIO,COMBIO,2049,0.34628918667228353
REGION1,1,DEMCOMBIO,COMBIO,2050,0.35293460565688445
REGION1,1,DEMCOMELCB02,COMELCB02,2021,1.414457941064569
REGION1,1,DEMCOMELCB02,COMELCB02,2022,1.5216825483261112
REGION1,1,DEMCOMELCB02,COMELCB02,2023,1.5854305113497642
REGION1,1,DEMCOMELCB02,COMELCB02,2024,1.6318411622540139
REGION1,1,DEMCOMELCB02,COMELCB02,2025,1.6766514458857031
REGION1,1,DEMCOMELCB02,COMELCB02,2026,1.725195919820033
REGION1,1,DEMCOMELCB02,COMELCB02,2027,1.7756074889056832
REGION1,1,DEMCOMELCB02,COMELCB02,2028,1.8161501264772115
REGION1,1,DEMCOMELCB02,COMELCB02,2029,1.8505580228372585
REGION1,1,DEMCOMELCB02,COMELCB02,2030,1.8828320961672251
REGION1,1,DEMCOMELCB02,COMELCB02,2031,1.9175067204060323
REGION1,1,DEMCOMELCB02,COMELCB02,2032,1.95404843979616
REGION1,1,DEMCOMELCB02,COMELCB02,2033,1.9868559688836465
REGION1,1,DEMCOMELCB02,COMELCB02,2034,2.020463681607413
REGION1,1,DEMCOMELCB02,COMELCB02,2035,2.05433812220994
REGION1,1,DEMCOMELCB02,COMELCB02,2036,2.090346385842547
REGION1,1,DEMCOMELCB02,COMELCB02,2037,2.125821193717635
REGION1,1,DEMCOMELCB02,COMELCB02,2038,2.159428906441402
REGION1,1,DEMCOMELCB02,COMELCB02,2039,2.192236435528889
REGION1,1,DEMCOMELCB02,COMELCB02,2040,2.2210430464349744
REGION1,1,DEMCOMELCB02,COMELCB02,2041,2.2495829294622998
REGION1,1,DEMCOMELCB02,COMELCB02,2042,2.2767891730958256
REGION1,1,DEMCOMELCB02,COMELCB02,2043,2.303728688850591
REGION1,1,DEMCOMELCB02,COMELCB02,2044,2.3296012930903167
REGION1,1,DEMCOMELCB02,COMELCB02,2045,2.357074264602602
REGION1,1,DEMCOMELCB02,COMELCB02,2046,2.3872145149024884
REGION1,1,DEMCOMELCB02,COMELCB02,2047,2.419221860353695
REGION1,1,DEMCOMELCB02,COMELCB02,2048,2.4546966682287823
REGION1,1,DEMCOMELCB02,COMELCB02,2049,2.491238387618909
REGION1,1,DEMCOMELCB02,COMELCB02,2050,2.5309808415541575
REGION1,1,DEMCOMNGS,COMNGS,2021,2.2331502383014556
REGION1,1,DEMCOMNGS,COMNGS,2022,2.3552050084110494
REGION1,1,DEMCOMNGS,COMNGS,2023,2.398602260005571
REGION1,1,DEMCOMNGS,COMNGS,2024,2.341040627682282
REGION1,1,DEMCOMNGS,COMNGS,2025,2.3006570741151573
REGION1,1,DEMCOMNGS,COMNGS,2026,2.268711875024745
REGION1,1,DEMCOMNGS,COMNGS,2027,2.203314627830222
REGION1,1,DEMCOMNGS,COMNGS,2028,2.1270680677370684
REGION1,1,DEMCOMNGS,COMNGS,2029,2.066613493700163
REGION1,1,DEMCOMNGS,COMNGS,2030,2.019492880451297
REGION1,1,DEMCOMNGS,COMNGS,2031,1.965835223271309
REGION1,1,DEMCOMNGS,COMNGS,2032,1.9423283786576089
REGION1,1,DEMCOMNGS,COMNGS,2033,1.9622891471554078
REGION1,1,DEMCOMNGS,COMNGS,2034,1.9284653677315813
REGION1,1,DEMCOMNGS,COMNGS,2035,1.951431314631184
REGION1,1,DEMCOMNGS,COMNGS,2036,1.9454881204373093
REGION1,1,DEMCOMNGS,COMNGS,2037,1.9082735909480188
REGION1,1,DEMCOMNGS,COMNGS,2038,1.9329401652871192
REGION1,1,DEMCOMNGS,COMNGS,2039,1.900136606274046
REGION1,1,DEMCOMNGS,COMNGS,2040,1.928257446050197
REGION1,1,DEMCOMNGS,COMNGS,2041,1.9265790940052088
REGION1,1,DEMCOMNGS,COMNGS,2042,1.926276679930838
REGION1,1,DEMCOMNGS,COMNGS,2043,1.8947119498247307
REGION1,1,DEMCOMNGS,COMNGS,2044,1.8977256478521278
REGION1,1,DEMCOMNGS,COMNGS,2045,1.9019448250904842
REGION1,1,DEMCOMNGS,COMNGS,2046,1.9426539368245646
REGION1,1,DEMCOMNGS,COMNGS,2047,1.9517950284782646
REGION1,1,DEMCOMNGS,COMNGS,2048,1.9278626281261018
REGION1,1,DEMCOMNGS,COMNGS,2049,1.9396160504329516
REGION1,1,DEMCOMNGS,COMNGS,2050,1.953479061358979
REGION1,1,DEMCOMRPP,COMRPP,2021,0.18956160592329488
REGION1,1,DEMCOMRPP,COMRPP,2022,0.19317804355617174
REGION1,1,DEMCOMRPP,COMRPP,2023,0.19558900197808962
REGION1,1,DEMCOMRPP,COMRPP,2024,0.19769859059726771
REGION1,1,DEMCOMRPP,COMRPP,2025,0.19950680941370622
REGION1,1,DEMCOMRPP,COMRPP,2026,0.201917767835624
REGION1,1,DEMCOMRPP,COMRPP,2027,0.20523283566576123
REGION1,1,DEMCOMRPP,COMRPP,2028,0.2079451638904189
REGION1,1,DEMCOMRPP,COMRPP,2029,0.21005475250959701
REGION1,1,DEMCOMRPP,COMRPP,2030,0.212465710931515
REGION1,1,DEMCOMRPP,COMRPP,2031,0.21547940895891224
REGION1,1,DEMCOMRPP,COMRPP,2032,0.2190958465917891
REGION1,1,DEMCOMRPP,COMRPP,2033,0.2221095446191865
REGION1,1,DEMCOMRPP,COMRPP,2034,0.22512324264658393
REGION1,1,DEMCOMRPP,COMRPP,2035,0.22843831047672097
REGION1,1,DEMCOMRPP,COMRPP,2036,0.2317533783068582
REGION1,1,DEMCOMRPP,COMRPP,2037,0.2350684461369953
REGION1,1,DEMCOMRPP,COMRPP,2038,0.2383835139671324
REGION1,1,DEMCOMRPP,COMRPP,2039,0.24139721199452976
