REGION,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,DEMAGRGWTBC1,AGRWATBC1,2021,0.3734757999588857
REGION1,DEMAGRGWTBC1,AGRWATBC1,2022,0.3763141084109146
REGION1,DEMAGRGWTBC1,AGRWATBC1,2023,0.42279793318089615
REGION1,DEMAGRGWTBC1,AGRWATBC1,2024,0.4227864812535361
REGION1,DEMAGRGWTBC1,AGRWATBC1,2025,0.42229188614584684
REGION1,DEMAGRGWTBC1,AGRWATBC1,2026,0.43376861168677255
REGION1,DEMAGRGWTBC1,AGRWATBC1,2027,0.438935747714173
REGION1,DEMAGRGWTBC1,AGRWATBC1,2028,0.4625249667390472
REGION1,DEMAGRGWTBC1,AGRWATBC1,2029,0.4707947335904375
REGION1,DEMAGRGWTBC1,AGRWATBC1,2030,0.4773286945676994
REGION1,DEMAGRGWTBC1,AGRWATBC1,2031,0.4857737674108985
REGION1,DEMAGRGWTBC1,AGRWATBC1,2032,0.486426203949464
REGION1,DEMAGRGWTBC1,AGRWATBC1,2033,0.4933890158099164
REGION1,DEMAGRGWTBC1,AGRWATBC1,2035,0.5063252249963786
REGION1,DEMAGRGWTBC1,AGRWATBC1,2037,0.5318730766199604
REGION1,DEMAGRGWTBC1,AGRWATBC1,2038,0.5357822768758178
REGION1,DEMAGRGWTBC1,AGRWATBC1,2040,0.5400686079437771
REGION1,DEMAGRGWTBC1,AGRWATBC1,2041,0.54717510680265
REGION1,DEMAGRGWTBC1,AGRWATBC1,2042,0.5531391213001797
REGION1,DEMAGRGWTBC1,AGRWATBC1,2043,0.5612145194868323
REGION1,DEMAGRGWTBC1,AGRWATBC1,2045,0.573851548719399
REGION1,DEMAGRGWTBC1,AGRWATBC1,2047,0.5867741116660876
REGION1,DEMAGRGWTBC1,AGRWATBC1,2049,0.6002656775699131
REGION1,DEMAGRGWTBC1,AGRWATBC1,2050,0.6071970654590357
REGION1,DEMAGRSURBC1,AGRWATBC1,2034,0.4993178413420312
REGION1,DEMAGRSURBC1,AGRWATBC1,2036,0.5237996119304602
REGION1,DEMAGRSURBC1,AGRWATBC1,2039,0.5399058912322172
REGION1,DEMAGRSURBC1,AGRWATBC1,2044,0.5672156045316976
REGION1,DEMAGRSURBC1,AGRWATBC1,2046,0.5806593902803566
REGION1,DEMAGRSURBC1,AGRWATBC1,2048,0.5934100558538313
REGION1,DEMCOMBIO,COMBIO,2021,0.7599998480000196
REGION1,DEMCOMBIO,COMBIO,2022,1.1999997600000403
REGION1,DEMCOMBIO,COMBIO,2023,1.6299996740000533
REGION1,DEMCOMBIO,COMBIO,2024,2.409999518000074
REGION1,DEMCOMBIO,COMBIO,2025,3.609999278000139
REGION1,DEMCOMBIO,COMBIO,2026,4.809999038000187
REGION1,DEMCOMBIO,COMBIO,2027,6.369998607960033
REGION1,DEMCOMBIO,COMBIO,2028,7.849998430000294
REGION1,DEMCOMBIO,COMBIO,2029,9.759997677083067
REGION1,DEMCOMBIO,COMBIO,2030,11.65999722487586
REGION1,DEMCOMBIO,COMBIO,2031,11.519997482527438
REGION1,DEMCOMBIO,COMBIO,2032,11.379997058346385
REGION1,DEMCOMBIO,COMBIO,2033,11.329997734000433
REGION1,DEMCOMBIO,COMBIO,2034,11.299996835086825
REGION1,DEMCOMBIO,COMBIO,2035,11.259996912900851
REGION1,DEMCOMBIO,COMBIO,2036,11.22999754590132
REGION1,DEMCOMBIO,COMBIO,2037,11.179997110045003
REGION1,DEMCOMBIO,COMBIO,2038,11.149996948332705
REGION1,DEMCOMBIO,COMBIO,2039,11.129996882700555
REGION1,DEMCOMBIO,COMBIO,2040,11.109996787630312
REGION1,DEMCOMBIO,COMBIO,2041,11.099997348159455
REGION1,DEMCOMBIO,COMBIO,2042,11.089997284439825
REGION1,DEMCOMBIO,COMBIO,2043,11.09999739285738
REGION1,DEMCOMBIO,COMBIO,2044,11.119997432151226
REGION1,DEMCOMBIO,COMBIO,2045,11.139997953877911
REGION1,DEMCOMBIO,COMBIO,2046,11.179997415324655
REGION1,DEMCOMBIO,COMBIO,2047,11.229997754000443
REGION1,DEMCOMBIO,COMBIO,2048,11.299997642489416
REGION1,DEMCOMBIO,COMBIO,2049,11.359997630489412
REGION1,DEMCOMBIO,COMBIO,2050,11.449997514978403
REGION1,DEMCOMELCB02,COMELCB02,2021,53.02998651502765
REGION1,DEMCOMELCB02,COMELCB02,2022,57.049985492783854
REGION1,DEMCOMELCB02,COMELCB02,2023,59.43998488503194
REGION1,DEMCOMELCB02,COMELCB02,2024,61.179984442568205
REGION1,DEMCOMELCB02,COMELCB02,2025,62.85998401536184
REGION1,DEMCOMELCB02,COMELCB02,2026,64.67998355255494
REGION1,DEMCOMELCB02,COMELCB02,2027,66.56998307194779
REGION1,DEMCOMELCB02,COMELCB02,2028,68.08998268542774
REGION1,DEMCOMELCB02,COMELCB02,2029,69.37998235739428
REGION1,DEMCOMELCB02,COMELCB02,2030,70.58998204970398
REGION1,DEMCOMELCB02,COMELCB02,2031,71.88998171912763
REGION1,DEMCOMELCB02,COMELCB02,2032,73.259981370751
REGION1,DEMCOMELCB02,COMELCB02,2033,74.48998105797492
REGION1,DEMCOMELCB02,COMELCB02,2034,75.74998073757016
REGION1,DEMCOMELCB02,COMELCB02,2035,77.01998041462248
REGION1,DEMCOMELCB02,COMELCB02,2036,78.36998007133165
REGION1,DEMCOMELCB02,COMELCB02,2037,79.69997973312661
REGION1,DEMCOMELCB02,COMELCB02,2038,80.95997941272184
REGION1,DEMCOMELCB02,COMELCB02,2039,82.18997909994575
REGION1,DEMCOMELCB02,COMELCB02,2040,83.26997882531309
