REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2021,0.3734757999588863
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2022,0.3763141084109152
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2023,0.4227979331808968
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2024,0.42278648125353674
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2025,0.4222918861458475
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2026,0.4337686116867732
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2027,0.4389357477141737
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2028,0.4625249667390479
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2029,0.4707947335904382
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2030,0.4773286945677001
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2031,0.4857737674108993
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2032,0.48642620394946473
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2033,0.4933890158099172
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2035,0.5063252249963793
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2037,0.5318730766199612
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2038,0.5357822768758187
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2040,0.540068607943778
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2041,0.5471751068026506
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2042,0.5531391213001806
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2043,0.5612145194868332
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2045,0.5738515487193999
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2047,0.5867741116660885
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2049,0.600265677569914
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2050,0.607197065459037
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2034,0.499317841342032
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2036,0.5237996119304611
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2039,0.5399058912322181
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2044,0.5672156045316985
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2046,0.5806593902803575
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2048,0.5934100558538538
REGION1,1,DEMCOMBIO,COMBIO,2021,0.7599998479999752
REGION1,1,DEMCOMBIO,COMBIO,2022,1.199999760000023
REGION1,1,DEMCOMBIO,COMBIO,2023,1.629999674000066
REGION1,1,DEMCOMBIO,COMBIO,2024,2.4099995180001
REGION1,1,DEMCOMBIO,COMBIO,2025,3.609999278000145
REGION1,1,DEMCOMBIO,COMBIO,2026,4.80999903800019
REGION1,1,DEMCOMBIO,COMBIO,2027,6.527981727390042
REGION1,1,DEMCOMBIO,COMBIO,2028,7.84999843000031
REGION1,1,DEMCOMBIO,COMBIO,2029,10.256427501349291
REGION1,1,DEMCOMBIO,COMBIO,2030,12.25306810099711
REGION1,1,DEMCOMBIO,COMBIO,2031,11.805706357854532
REGION1,1,DEMCOMBIO,COMBIO,2032,12.27089786202788
REGION1,1,DEMCOMBIO,COMBIO,2033,11.329997734000388
REGION1,1,DEMCOMBIO,COMBIO,2034,12.51111884167856
REGION1,1,DEMCOMBIO,COMBIO,2035,12.37768091910444
REGION1,1,DEMCOMBIO,COMBIO,2036,11.508514097109922
REGION1,1,DEMCOMBIO,COMBIO,2037,12.055240606104409
REGION1,1,DEMCOMBIO,COMBIO,2038,12.249703984274912
REGION1,1,DEMCOMBIO,COMBIO,2039,12.322898469724093
REGION1,1,DEMCOMBIO,COMBIO,2040,13.782216523586744
REGION1,1,DEMCOMBIO,COMBIO,2041,13.164870453179809
REGION1,1,DEMCOMBIO,COMBIO,2042,12.789412350143897
REGION1,1,DEMCOMBIO,COMBIO,2043,11.832978704918029
REGION1,1,DEMCOMBIO,COMBIO,2044,12.067787104267206
REGION1,1,DEMCOMBIO,COMBIO,2045,11.85451677307708
REGION1,1,DEMCOMBIO,COMBIO,2046,11.864544615324668
REGION1,1,DEMCOMBIO,COMBIO,2047,11.229997754000456
REGION1,1,DEMCOMBIO,COMBIO,2048,11.430504842489388
REGION1,1,DEMCOMBIO,COMBIO,2049,11.490504830489431
REGION1,1,DEMCOMBIO,COMBIO,2050,11.711011914978462
REGION1,1,DEMCOMELCB02,COMELCB02,2021,46.934286226233525
REGION1,1,DEMCOMELCB02,COMELCB02,2022,50.492193649002886
REGION1,1,DEMCOMELCB02,COMELCB02,2023,52.60746696751501
REGION1,1,DEMCOMELCB02,COMELCB02,2024,54.14745674751966
REGION1,1,DEMCOMELCB02,COMELCB02,2025,55.63434343166208
REGION1,1,DEMCOMELCB02,COMELCB02,2026,57.24513733948303
REGION1,1,DEMCOMELCB02,COMELCB02,2027,58.91788485914324
REGION1,1,DEMCOMELCB02,COMELCB02,2028,60.26316328765305
REGION1,1,DEMCOMELCB02,COMELCB02,2029,61.404879848690975
REGION1,1,DEMCOMELCB02,COMELCB02,2030,62.4757922819126
REGION1,1,DEMCOMELCB02,COMELCB02,2031,63.626359358927566
REGION1,1,DEMCOMELCB02,COMELCB02,2032,64.8388800477818
REGION1,1,DEMCOMELCB02,COMELCB02,2033,65.9274935129575
REGION1,1,DEMCOMELCB02,COMELCB02,2034,67.0426585260643
REGION1,1,DEMCOMELCB02,COMELCB02,2035,68.16667405514815
REGION1,1,DEMCOMELCB02,COMELCB02,2036,69.3614937120483
REGION1,1,DEMCOMELCB02,COMELCB02,2037,70.53861233699439
REGION1,1,DEMCOMELCB02,COMELCB02,2038,71.65377735010121
REGION1,1,DEMCOMELCB02,COMELCB02,2039,72.7423908152769
REGION1,1,DEMCOMELCB02,COMELCB02,2040,73.69824654079703
REGION1,1,DEMCOMELCB02,COMELCB02,2041,74.6452517503401
REGION1,1,DEMCOMELCB02,COMELCB02,2042,75.548004379998
REGION1,1,DEMCOMELCB02,COMELCB02,2043,76.44190649367886
REGION1,1,DEMCOMELCB02,COMELCB02,2044,77.30040654345157
REGION1,1,DEMCOMELCB02,COMELCB02,2045,78.2120096890865
REGION1,1,DEMCOMELCB02,COMELCB02,2046,79.21211799449182
REGION1,1,DEMCOMELCB02,COMELCB02,2047,80.2741799117364
REGION1,1,DEMCOMELCB02,COMELCB02,2048,81.45129853668249
REGION1,1,DEMCOMELCB02,COMELCB02,2049,82.6638192255367
REGION1,1,DEMCOMELCB02,COMELCB02,2050,83.9825461061154
REGION1,1,DEMCOMNGS,COMNGS,2021,74.099985180003
REGION1,1,DEMCOMNGS,COMNGS,2022,78.14998437000317
REGION1,1,DEMCOMNGS,COMNGS,2023,79.58998408200321
REGION1,1,DEMCOMNGS,COMNGS,2024,77.67998446400316
REGION1,1,DEMCOMNGS,COMNGS,2025,76.3399847320031
REGION1,1,DEMCOMNGS,COMNGS,2026,75.27998494400305
REGION1,1,DEMCOMNGS,COMNGS,2027,73.10998537800296
REGION1,1,DEMCOMNGS,COMNGS,2028,70.57998588400287
REGION1,1,DEMCOMNGS,COMNGS,2029,68.57399320005099
REGION1,1,DEMCOMNGS,COMNGS,2030,67.01044557861135
REGION1,1,DEMCOMNGS,COMNGS,2031,65.22998695400265
REGION1,1,DEMCOMNGS,COMNGS,2032,64.44998711000261
REGION1,1,DEMCOMNGS,COMNGS,2033,65.11232170106594
REGION1,1,DEMCOMNGS,COMNGS,2034,63.9899872020026
REGION1,1,DEMCOMNGS,COMNGS,2035,64.7520390763985
REGION1,1,DEMCOMNGS,COMNGS,2036,64.55483308723812
REGION1,1,DEMCOMNGS,COMNGS,2037,63.31998733600257
REGION1,1,DEMCOMNGS,COMNGS,2038,64.1384691208909
REGION1,1,DEMCOMNGS,COMNGS,2039,63.04998739000256
REGION1,1,DEMCOMNGS,COMNGS,2040,63.98308798257485
REGION1,1,DEMCOMNGS,COMNGS,2041,63.92739721017297
REGION1,1,DEMCOMNGS,COMNGS,2042,63.91736256134157
REGION1,1,DEMCOMNGS,COMNGS,2043,62.86998742600255
REGION1,1,DEMCOMNGS,COMNGS,2044,62.96998740600255
REGION1,1,DEMCOMNGS,COMNGS,2045,63.10998737800256
REGION1,1,DEMCOMNGS,COMNGS,2046,64.46078972190614
REGION1,1,DEMCOMNGS,COMNGS,2047,64.76410776314255
REGION1,1,DEMCOMNGS,COMNGS,2048,63.9699872060026
REGION1,1,DEMCOMNGS,COMNGS,2049,64.35998712800262
REGION1,1,DEMCOMNGS,COMNGS,2050,64.81998703600262
REGION1,1,DEMCOMRPP,COMRPP,2021,6.289998742000252
REGION1,1,DEMCOMRPP,COMRPP,2022,6.409998718000257
REGION1,1,DEMCOMRPP,COMRPP,2023,6.48999870200026
REGION1,1,DEMCOMRPP,COMRPP,2024,6.5599986880002605
REGION1,1,DEMCOMRPP,COMRPP,2025,6.619998676000265
REGION1,1,DEMCOMRPP,COMRPP,2026,6.699998660000265
REGION1,1,DEMCOMRPP,COMRPP,2027,6.809998638000272
REGION1,1,DEMCOMRPP,COMRPP,2028,6.899998620000277
REGION1,1,DEMCOMRPP,COMRPP,2029,6.969998606000279
REGION1,1,DEMCOMRPP,COMRPP,2030,7.049998590000285
REGION1,1,DEMCOMRPP,COMRPP,2031,7.149998570000284
REGION1,1,DEMCOMRPP,COMRPP,2032,7.26999854600029
REGION1,1,DEMCOMRPP,COMRPP,2033,7.369998526000295
REGION1,1,DEMCOMRPP,COMRPP,2034,7.4699985060003
