REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2034,0.499317841342032
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2036,0.5237996119304611
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2039,0.5399058912322181
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2044,0.5672156045316985
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2046,0.5806593902803575
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2048,0.5934100558538538
REGION1,1,DEMCOMBIO,BIO,2021,0.7599998479999752
REGION1,1,DEMCOMBIO,BIO,2022,1.199999760000023
REGION1,1,DEMCOMBIO,BIO,2023,1.629999674000066
REGION1,1,DEMCOMBIO,BIO,2024,2.4099995180001
REGION1,1,DEMCOMBIO,BIO,2025,3.609999278000145
REGION1,1,DEMCOMBIO,BIO,2026,4.80999903800019
REGION1,1,DEMCOMBIO,BIO,2027,6.527981727390042
REGION1,1,DEMCOMBIO,BIO,2028,7.84999843000031
REGION1,1,DEMCOMBIO,BIO,2029,10.256427501349291
REGION1,1,DEMCOMBIO,BIO,2030,12.25306810099711
REGION1,1,DEMCOMBIO,BIO,2031,11.805706357854532
REGION1,1,DEMCOMBIO,BIO,2032,12.27089786202788
REGION1,1,DEMCOMBIO,BIO,2033,11.329997734000388
REGION1,1,DEMCOMBIO,BIO,2034,12.51111884167856
REGION1,1,DEMCOMBIO,BIO,2035,12.37768091910444
REGION1,1,DEMCOMBIO,BIO,2036,11.508514097109922
REGION1,1,DEMCOMBIO,BIO,2037,12.055240606104409
REGION1,1,DEMCOMBIO,BIO,2038,12.249703984274912
REGION1,1,DEMCOMBIO,BIO,2039,12.322898469724093
REGION1,1,DEMCOMBIO,BIO,2040,13.782216523586744
REGION1,1,DEMCOMBIO,BIO,2041,13.164870453179809
REGION1,1,DEMCOMBIO,BIO,2042,12.789412350143897
REGION1,1,DEMCOMBIO,BIO,2043,11.832978704918029
REGION1,1,DEMCOMBIO,BIO,2044,12.067787104267206
REGION1,1,DEMCOMBIO,BIO,2045,11.85451677307708
REGION1,1,DEMCOMBIO,BIO,2046,11.864544615324668
REGION1,1,DEMCOMBIO,BIO,2047,11.229997754000456
REGION1,1,DEMCOMBIO,BIO,2048,11.430504842489388
REGION1,1,DEMCOMBIO,BIO,2049,11.490504830489431
REGION1,1,DEMCOMBIO,BIO,2050,11.711011914978462
REGION1,1,DEMCOMELCB02,ELCB02,2021,46.934286226233525
REGION1,1,DEMCOMELCB02,ELCB02,2022,50.492193649002886
REGION1,1,DEMCOMELCB02,ELCB02,2023,52.60746696751501
REGION1,1,DEMCOMELCB02,ELCB02,2024,54.14745674751966
REGION1,1,DEMCOMELCB02,ELCB02,2025,55.63434343166208
REGION1,1,DEMCOMELCB02,ELCB02,2026,57.24513733948303
REGION1,1,DEMCOMELCB02,ELCB02,2027,58.91788485914324
REGION1,1,DEMCOMELCB02,ELCB02,2028,60.26316328765305
REGION1,1,DEMCOMELCB02,ELCB02,2029,61.404879848690975
REGION1,1,DEMCOMELCB02,ELCB02,2030,62.4757922819126
REGION1,1,DEMCOMELCB02,ELCB02,2031,63.626359358927566
REGION1,1,DEMCOMELCB02,ELCB02,2032,64.8388800477818
REGION1,1,DEMCOMELCB02,ELCB02,2033,65.9274935129575
