REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,TIMESLICE,VALUE
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2034,1,0.499317841342032
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2034,2,0.499317841342032
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2034,3,0.499317841342032
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2034,4,0.499317841342032
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2034,5,0.499317841342032
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2034,6,0.499317841342032
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2034,7,0.499317841342032
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2034,8,0.499317841342032
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2034,9,0.499317841342032
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2034,10,0.499317841342032
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2034,11,0.499317841342032
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2034,12,0.499317841342032
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2034,13,0.499317841342032
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2034,14,0.499317841342032
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2034,15,0.499317841342032
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2034,16,0.499317841342032
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2034,17,0.499317841342032
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2034,18,0.499317841342032
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2034,19,0.499317841342032
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2034,20,0.499317841342032
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2034,21,0.499317841342032
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2034,22,0.499317841342032
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2034,23,0.499317841342032
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2034,24,0.499317841342032
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2034,25,0.499317841342032
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2034,26,0.499317841342032
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2034,27,0.499317841342032
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2034,28,0.499317841342032
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2034,29,0.499317841342032
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2034,30,0.499317841342032
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2036,1,0.5237996119304611
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2036,2,0.5237996119304611
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2036,3,0.5237996119304611
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2036,4,0.5237996119304611
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2036,5,0.5237996119304611
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2036,6,0.5237996119304611
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2036,7,0.5237996119304611
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2036,8,0.5237996119304611
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2036,9,0.5237996119304611
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2036,10,0.5237996119304611
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2036,11,0.5237996119304611
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2036,12,0.5237996119304611
