REGION,TECHNOLOGY,YEAR,VALUE
REGION1,LNDAGRBC1C01,2041,7.539117637320692e-07
REGION1,LNDAGRBC1C01,2042,1.6591639563055776e-06
REGION1,LNDAGRBC1C01,2043,1.9268291763964007e-06
REGION1,LNDAGRBC1C01,2044,2.152212804488151e-06
REGION1,LNDAGRBC1C01,2045,2.410292574070348e-06
REGION1,LNDAGRBC1C01,2046,2.642063018821726e-06
REGION1,LNDAGRBC1C01,2047,2.8928685242453008e-06
REGION1,LNDAGRBC1C01,2048,3.0867978659847758e-06
REGION1,LNDAGRBC1C01,2049,3.328887081721302e-06
REGION1,LNDAGRBC1C01,2050,3.5381129514041674e-06
REGION1,LNDAGRBC1C02,2042,1.3577873278459814e-07
REGION1,LNDAGRBC1C02,2043,6.894159438194219e-07
REGION1,LNDAGRBC1C02,2044,1.4216451552835528e-06
REGION1,LNDAGRBC1C02,2045,1.6068617160162978e-06
REGION1,LNDAGRBC1C02,2046,1.7456487803373467e-06
REGION1,LNDAGRBC1C02,2047,1.9032029765061736e-06
REGION1,LNDAGRBC1C02,2048,2.0578652439337357e-06
REGION1,LNDAGRBC1C02,2049,2.1809949846142217e-06
REGION1,LNDAGRBC1C02,2050,2.3587419675664726e-06
REGION1,LNDAGRBC1C03,2037,7.747712844784383e-06
REGION1,LNDAGRBC1C03,2038,1.0896571646879166e-05
REGION1,LNDAGRBC1C03,2039,8.53736207558272e-06
REGION1,LNDAGRBC1C03,2040,1.5133885293428432e-05
REGION1,LNDAGRBC1C03,2041,4.515300296158671e-05
REGION1,LNDAGRBC1C03,2042,4.899853215510162e-05
REGION1,LNDAGRBC1C03,2043,0.00010132110136255824
REGION1,LNDAGRBC1C03,2044,8.200075965217977e-05
REGION1,LNDAGRBC1C03,2045,7.933284647601453e-05
REGION1,LNDAGRBC1C03,2046,0.0001139951655872
REGION1,LNDAGRBC1C03,2047,5.615566503314353e-05
REGION1,LNDAGRBC1C03,2048,0.00011067058473314151
REGION1,LNDAGRBC1C03,2049,8.676489877379677e-05
REGION1,LNDAGRBC1C03,2050,0.00011995552094034572
REGION1,LNDAGRBC1C04,2046,8.910984522626658e-07
REGION1,LNDAGRBC1C04,2047,2.791364365561741e-06
REGION1,LNDAGRBC1C04,2048,2.97848916883308e-06
REGION1,LNDAGRBC1C04,2049,4.60118000929524e-06
REGION1,LNDAGRBC1C04,2050,6.320218861834021e-06
REGION1,LNDAGRBC1C06,2037,3.200469159106589e-08
REGION1,LNDAGRBC1C06,2038,6.248535025114104e-08
REGION1,LNDAGRBC1C06,2039,9.151454897401326e-08
REGION1,LNDAGRBC1C06,2040,1.2999425989154816e-07
REGION1,LNDAGRBC1C06,2041,2.609054509020637e-07
REGION1,LNDAGRBC1C06,2042,3.526219556678311e-08
REGION1,LNDAGRBC1C06,2043,4.242559654280915e-07
REGION1,LNDAGRBC1C06,2045,2.388578226508884e-07
REGION1,LNDAGRBC1C06,2046,1.4273899209683914e-05
REGION1,LNDAGRBC1C06,2047,1.173507579184486e-06
REGION1,LNDAGRBC1C06,2050,8.486474783936061e-08
REGION1,LNDAGRBC1C07,2037,1.3383780120268697e-07
REGION1,LNDAGRBC1C07,2038,2.669828601649272e-07
REGION1,LNDAGRBC1C07,2039,3.910167092521525e-07
REGION1,LNDAGRBC1C07,2040,5.09144184575087e-07
REGION1,LNDAGRBC1C07,2041,6.348730641983207e-07
REGION1,LNDAGRBC1C07,2042,7.598040547538026e-07
REGION1,LNDAGRBC1C07,2043,8.661892627519966e-07
REGION1,LNDAGRBC1C07,2044,9.872535800551192e-07
REGION1,LNDAGRBC1C07,2045,1.0857173756853734e-06
REGION1,LNDAGRBC1C07,2046,1.2030822675302355e-06
REGION1,LNDAGRBC1C07,2047,1.2941780240339907e-06
REGION1,LNDAGRBC1C07,2048,1.3809358873689782e-06
REGION1,LNDAGRBC1C07,2049,1.520957028732635e-06
REGION1,LNDAGRBC1C07,2050,1.602734926689838e-06
REGION1,LNDALFHRBC1,2037,0.0054310991792536085
REGION1,LNDALFHRBC1,2038,0.010603574588066591
REGION1,LNDALFHRBC1,2039,0.007764870822039461
REGION1,LNDALFHRBC1,2040,0.020221329316471637
REGION1,LNDALFHRBC1,2041,0.02468950805208375
REGION1,LNDALFHRBC1,2042,0.028944916371714327
REGION1,LNDALFHRBC1,2043,0.016498843099963433
REGION1,LNDALFHRBC1,2044,0.03685746698871445
REGION1,LNDALFHRBC1,2045,0.04053344869231499
REGION1,LNDALFHRBC1,2046,0.02201719182406252
REGION1,LNDALFHRBC1,2047,0.04736860741556315
REGION1,LNDALFHRBC1,2048,3.9679646985670094
REGION1,LNDALFHRBC1,2049,17.516697692717308
REGION1,LNDALFHRBC1,2050,18.430300640766102
REGION1,LNDMAIHIBC1,2037,0.1006479289389142
REGION1,LNDMAIHIBC1,2038,2.491187253198267
