REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2034,0.015047934944554359
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2036,0.015785741729411124
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2039,0.01627113644809421
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2044,0.01709416890369499
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2046,0.017499324090640877
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2048,0.01788359072436268
REGION1,1,DEMCOMBIO,BIO,2021,0.022904105008218385
REGION1,1,DEMCOMBIO,BIO,2022,0.03616437632876774
REGION1,1,DEMCOMBIO,BIO,2023,0.04912327784657723
REGION1,1,DEMCOMBIO,BIO,2024,0.07263012246027685
REGION1,1,DEMCOMBIO,BIO,2025,0.10879449878904524
REGION1,1,DEMCOMBIO,BIO,2026,0.14495887511781366
REGION1,1,DEMCOMBIO,BIO,2027,0.19673369589394607
REGION1,1,DEMCOMBIO,BIO,2028,0.2365752951506938
REGION1,1,DEMCOMBIO,BIO,2029,0.30909781510915607
REGION1,1,DEMCOMBIO,BIO,2030,0.36927054550950117
REGION1,1,DEMCOMBIO,BIO,2031,0.3557884107846564
REGION1,1,DEMCOMBIO,BIO,2032,0.3698078807734422
REGION1,1,DEMCOMBIO,BIO,2033,0.34145198650412056
REGION1,1,DEMCOMBIO,BIO,2034,0.3770474171464764
REGION1,1,DEMCOMBIO,BIO,2035,0.3730260003017769
REGION1,1,DEMCOMBIO,BIO,2036,0.34683193169372295
REGION1,1,DEMCOMBIO,BIO,2037,0.36330862100588557
REGION1,1,DEMCOMBIO,BIO,2038,0.3691691611699281
REGION1,1,DEMCOMBIO,BIO,2039,0.3713750223752459
REGION1,1,DEMCOMBIO,BIO,2040,0.4153544705738462
REGION1,1,DEMCOMBIO,BIO,2041,0.39674952050678797
REGION1,1,DEMCOMBIO,BIO,2042,0.38543434479885635
REGION1,1,DEMCOMBIO,BIO,2043,0.3566103171345152
REGION1,1,DEMCOMBIO,BIO,2044,0.3636867346491479
REGION1,1,DEMCOMBIO,BIO,2045,0.3572594095995825
REGION1,1,DEMCOMBIO,BIO,2046,0.35756161854403035
REGION1,1,DEMCOMBIO,BIO,2047,0.33843828847672536
REGION1,1,DEMCOMBIO,BIO,2048,0.34448096785584387
REGION1,1,DEMCOMBIO,BIO,2049,0.34628918667228353
REGION1,1,DEMCOMBIO,BIO,2050,0.35293460565688445
REGION1,1,DEMCOMELCB02,ELCB02,2021,1.414457941064569
REGION1,1,DEMCOMELCB02,ELCB02,2022,1.5216825483261112
