REGION,EMISSION,YEAR,VALUE
REGION1,CO2,2021,56.38889999999999
REGION1,CO2,2022,58.06520999999999
REGION1,CO2,2023,59.054766999999984
REGION1,CO2,2024,58.64123703607623
REGION1,CO2,2025,59.7989040360762
REGION1,CO2,2026,54.67022482039621
REGION1,CO2,2027,54.12625882039623
REGION1,CO2,2028,53.534946820396215
REGION1,CO2,2029,54.91779278432001
REGION1,CO2,2030,56.42367678432
REGION1,CO2,2031,56.269394784320006
REGION1,CO2,2032,55.862870784320044
REGION1,CO2,2033,56.02707878432
REGION1,CO2,2034,56.266580784320006
REGION1,CO2,2035,56.302344784320006
REGION1,CO2,2036,56.21741678432005
REGION1,CO2,2037,56.03250178432001
REGION1,CO2,2038,55.85379678432
REGION1,CO2,2039,55.755561784320015
REGION1,CO2,2040,55.74437278431999
REGION1,CO2,2041,55.791168784320014
REGION1,CO2,2042,55.874582784320005
REGION1,CO2,2043,56.014609784319994
REGION1,CO2,2044,56.24310178431999
REGION1,CO2,2045,56.55843278431996
REGION1,CO2,2046,56.94188478431999
REGION1,CO2,2047,57.369034784320014
REGION1,CO2,2048,57.84094878432003
REGION1,CO2,2049,58.36310178432004
REGION1,CO2,2050,58.92204678432
