REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
REGION1,DEMCOMBIO,CO2,1,2021,0.0532
REGION1,DEMCOMBIO,CO2,1,2022,0.08399999999999998
REGION1,DEMCOMBIO,CO2,1,2023,0.11410000000000008
REGION1,DEMCOMBIO,CO2,1,2024,0.16869999999999927
REGION1,DEMCOMBIO,CO2,1,2025,0.2527000000000003
REGION1,DEMCOMBIO,CO2,1,2026,0.3367
REGION1,DEMCOMBIO,CO2,1,2027,0.44589999999999985
REGION1,DEMCOMBIO,CO2,1,2028,0.5495
REGION1,DEMCOMBIO,CO2,1,2029,0.6832
REGION1,DEMCOMBIO,CO2,1,2030,0.8162000000000001
REGION1,DEMCOMBIO,CO2,1,2031,0.8064
REGION1,DEMCOMBIO,CO2,1,2032,0.7966000000000002
REGION1,DEMCOMBIO,CO2,1,2033,0.7931
REGION1,DEMCOMBIO,CO2,1,2034,0.7909999999999998
REGION1,DEMCOMBIO,CO2,1,2035,0.7881999999999998
REGION1,DEMCOMBIO,CO2,1,2036,0.7861
REGION1,DEMCOMBIO,CO2,1,2037,0.7826
REGION1,DEMCOMBIO,CO2,1,2038,0.7805
REGION1,DEMCOMBIO,CO2,1,2039,0.7790999999999998
REGION1,DEMCOMBIO,CO2,1,2040,0.7776999999999998
REGION1,DEMCOMBIO,CO2,1,2041,0.7769999999999998
REGION1,DEMCOMBIO,CO2,1,2042,0.7763
REGION1,DEMCOMBIO,CO2,1,2043,0.7769999999999994
REGION1,DEMCOMBIO,CO2,1,2044,0.7783999999999996
REGION1,DEMCOMBIO,CO2,1,2045,0.7797999999999998
REGION1,DEMCOMBIO,CO2,1,2046,0.7826
REGION1,DEMCOMBIO,CO2,1,2047,0.7861000000000001
REGION1,DEMCOMBIO,CO2,1,2048,0.7910000000000001
REGION1,DEMCOMBIO,CO2,1,2049,0.7952
REGION1,DEMCOMBIO,CO2,1,2050,0.8015000000000002
REGION1,DEMCOMRPP,CO2,1,2021,0.449735
REGION1,DEMCOMRPP,CO2,1,2022,0.45831500000000014
REGION1,DEMCOMRPP,CO2,1,2023,0.464035
REGION1,DEMCOMRPP,CO2,1,2024,0.46904
REGION1,DEMCOMRPP,CO2,1,2025,0.47333
REGION1,DEMCOMRPP,CO2,1,2026,0.47905
REGION1,DEMCOMRPP,CO2,1,2027,0.486915
REGION1,DEMCOMRPP,CO2,1,2028,0.49335
REGION1,DEMCOMRPP,CO2,1,2029,0.4983550000000001
REGION1,DEMCOMRPP,CO2,1,2030,0.504075
REGION1,DEMCOMRPP,CO2,1,2031,0.511225
REGION1,DEMCOMRPP,CO2,1,2032,0.5198050000000001
REGION1,DEMCOMRPP,CO2,1,2033,0.526955
