REGION,TECHNOLOGY,YEAR,VALUE
REGION1,LNDAGRBC1C02,2044,-0.0640000000000448
REGION1,LNDAGRBC1C05,2021,-1094.7727215690827
REGION1,LNDAGRBC1C05,2022,-1094.9617803472088
REGION1,LNDAGRBC1C05,2023,-1643.1585789881185
REGION1,LNDAGRBC1C05,2024,-2189.938908696036
REGION1,LNDAGRBC1C05,2025,-2189.678068378819
REGION1,LNDAGRBC1C05,2026,-2735.821310555604
REGION1,LNDAGRBC1C05,2027,-3282.1929802304903
REGION1,LNDAGRBC1C05,2028,-3826.65042863686
REGION1,LNDAGRBC1C05,2029,-3824.8766134693383
REGION1,LNDAGRBC1C05,2030,-4369.841830200272
REGION1,LNDAGRBC1C05,2031,-4367.365303330424
REGION1,LNDAGRBC1C05,2032,-4366.998299559042
REGION1,LNDAGRBC1C05,2033,-4365.115635972732
REGION1,LNDAGRBC1C05,2034,-4363.9708536571725
REGION1,LNDAGRBC1C05,2035,-4362.1863197522125
REGION1,LNDAGRBC1C05,2036,-4359.402746404431
REGION1,LNDAGRBC1C05,2037,-4357.078037701464
REGION1,LNDAGRBC1C05,2038,-4355.346640710219
REGION1,LNDAGRBC1C05,2039,-4354.32609042152
REGION1,LNDAGRBC1C05,2040,-4353.000253155661
REGION1,LNDAGRBC1C05,2041,-4350.972273629143
REGION1,LNDAGRBC1C05,2042,-4349.110089309613
REGION1,LNDAGRBC1C05,2043,-4347.170879459429
REGION1,LNDAGRBC1C05,2044,-4345.319229861186
REGION1,LNDAGRBC1C05,2045,-4343.580448582946
REGION1,LNDAGRBC1C05,2046,-4341.832959803007
REGION1,LNDAGRBC1C05,2047,-4340.015830116385
REGION1,LNDAGRBC1C05,2048,-4338.20124431026
REGION1,LNDAGRBC1C05,2049,-4336.4321771435725
REGION1,LNDAGRBC1C05,2050,-4334.628114123614
REGION1,MINNGS,2021,1322.1925678799998
REGION1,MINNGS,2022,1372.6542855599996
REGION1,MINNGS,2023,1403.9382855599997
REGION1,MINNGS,2024,1366.9284988775808
REGION1,MINNGS,2025,1431.5484988775809
REGION1,MINNGS,2026,1504.186213317581
REGION1,MINNGS,2027,1455.4422133175806
REGION1,MINNGS,2028,1405.294213317581
REGION1,MINNGS,2029,1449.7560000000003
REGION1,MINNGS,2030,1505.3759999999995
REGION1,MINNGS,2031,1510.4298250000006
REGION1,MINNGS,2032,1509.1370500000005
REGION1,MINNGS,2033,1538.23395
REGION1,MINNGS,2034,1569.2856000000004
REGION1,MINNGS,2035,1588.6403749999995
REGION1,MINNGS,2036,1602.6664500000004
REGION1,MINNGS,2037,1611.377500000001
REGION1,MINNGS,2038,1622.3966000000005
REGION1,MINNGS,2039,1637.6525999999997
REGION1,MINNGS,2040,1655.9182500000009
REGION1,MINNGS,2041,1676.6740249999996
REGION1,MINNGS,2042,1698.0642
REGION1,MINNGS,2043,1720.8657249999997
REGION1,MINNGS,2044,1746.4885000000004
REGION1,MINNGS,2045,1774.5881249999998
REGION1,MINNGS,2046,1804.7659999999996
REGION1,MINNGS,2047,1836.7753250000007
REGION1,MINNGS,2048,1870.4438999999995
REGION1,MINNGS,2049,1905.677375
REGION1,MINNGS,2050,1942.4200000000008
REGION1,PWRBIOB01,2024,0.243292762877472
REGION1,PWRBIOB01,2025,0.232234000928496
REGION1,PWRBIOB01,2026,0.232234000928496
REGION1,PWRBIOB01,2027,0.232234000928496
REGION1,PWRBIOB01,2028,0.464468001856992
REGION1,PWRBIOB01,2029,0.03404245164468484
REGION1,PWRBIOB02,2023,7.9472826922791855
REGION1,PWRBIOB02,2024,10.45053004178232
REGION1,PWRBIOB02,2025,10.45053004178232
REGION1,PWRBIOB02,2026,10.45053004178232
REGION1,PWRBIOB02,2027,17.423490956469152
REGION1,PWRBIOB02,2028,20.90106008356464
REGION1,PWRBIOB02,2029,18.87331864479902
REGION1,PWRBIOB02,2030,18.239621931409737
REGION1,PWRBIOB02,2031,31.091235129381925
REGION1,PWRBIOB02,2032,35.051095266397574
REGION1,PWRBIOB02,2033,40.526238230964026
REGION1,PWRBIOB02,2034,41.36946041713924
REGION1,PWRBIOB02,2035,41.36946041713924
REGION1,PWRBIOB02,2036,40.700492966826005
REGION1,PWRBIOB02,2037,40.700492966826005
REGION1,PWRBIOB02,2038,40.700492966826005
REGION1,PWRBIOB02,2039,40.0450479853143
REGION1,PWRBIOB02,2040,35.497528090144954
REGION1,PWRBIOB02,2041,30.717132099985225
REGION1,PWRBIOB02,2042,24.66746545396755
REGION1,PWRBIOB02,2043,14.635101599321626
REGION1,PWRBIOB02,2044,11.811923831180072
REGION1,PWRBIOB02,2045,6.964981749750856
REGION1,PWRBIOB02,2046,1.415313659893392
REGION1,PWRBIOB02,2047,1.4153136598933913
REGION1,PWRBIOB02,2048,1.4153136598933922
REGION1,PWRBIOB02,2049,1.4153136598933922
REGION1,PWRBIOB02,2050,1.415313659893392
REGION1,PWRNGSB01,2024,0.9085127828889599
REGION1,PWRNGSB01,2025,0.9085127828889599
REGION1,PWRNGSB01,2026,0.9085127828889599
REGION1,PWRNGSB01,2027,0.9085127828889599
REGION1,PWRNGSB01,2028,0.9085127828889599
REGION1,PWRNGSB02,2024,1.24920507647232
REGION1,PWRNGSB02,2025,1.24920507647232
REGION1,PWRNGSB02,2026,1.24920507647232
REGION1,PWRNGSB02,2027,1.24920507647232
REGION1,PWRNGSB02,2028,1.2896458972341591
