REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DEMAGRSURBC1,2021,0.00044958387634711454
REGION1,DEMAGRSURBC1,2022,0.00019253503826800728
REGION1,DEMAGRSURBC1,2023,0.00013266971120301968
REGION1,DEMAGRSURBC1,2024,0.00016186832451127797
REGION1,DEMAGRSURBC1,2025,0.00013390798406873042
REGION1,DEMAGRSURBC1,2026,0.00031173825296204285
REGION1,DEMAGRSURBC1,2027,0.00015073156454735944
REGION1,DEMAGRSURBC1,2028,0.0002555197845801071
REGION1,DEMAGRSURBC1,2029,0.00022561184849232655
REGION1,DEMAGRSURBC1,2030,0.00019518793437947973
REGION1,DEMAGRSURBC1,2031,0.00016517111712248023
REGION1,DEMAGRSURBC1,2032,0.000154358027983
REGION1,DEMAGRSURBC1,2033,0.0001564607617381404
REGION1,DEMAGRSURBC1,2034,0.0001583347323649811
REGION1,DEMAGRSURBC1,2035,0.00016055480405149735
REGION1,DEMAGRSURBC1,2036,0.00016698419069367755
REGION1,DEMAGRSURBC1,2037,0.00016587475394346082
REGION1,DEMAGRSURBC1,2038,0.00016771932208342532
REGION1,DEMAGRSURBC1,2039,0.00016959355381541622
REGION1,DEMAGRSURBC1,2040,0.00017125476915238192
REGION1,DEMAGRSURBC1,2041,0.0001764134927940295
REGION1,DEMAGRSURBC1,2042,0.0001753994050646089
REGION1,DEMAGRSURBC1,2043,0.0001779600990800044
REGION1,DEMAGRSURBC1,2044,0.0001834962016766994
REGION1,DEMAGRSURBC1,2045,0.0001819672779683309
REGION1,DEMAGRSURBC1,2046,0.00018413081967910252
REGION1,DEMAGRSURBC1,2047,0.00018606499907588287
REGION1,DEMAGRSURBC1,2048,0.0001881740324435728
REGION1,DEMAGRSURBC1,2049,0.00019034314998184047
REGION1,DEMAGRSURBC1,2050,0.0001925410804214
REGION1,DEMCOMBIO,2021,0.00024099456367335231
REGION1,DEMCOMBIO,2022,0.00038051773211581424
REGION1,DEMCOMBIO,2023,0.0005168699194573156
