REGION,TECHNOLOGY,YEAR,VALUE
REGION1,LNDAGRBC1C01,2037,6.866612005305364e-08
REGION1,LNDAGRBC1C01,2038,1.353767623682441e-07
REGION1,LNDAGRBC1C01,2039,2.0019451443335562e-07
REGION1,LNDAGRBC1C01,2040,2.6318043723641944e-07
REGION1,LNDAGRBC1C01,2041,4.743498174229426e-07
REGION1,LNDAGRBC1C01,2042,2.080917659146923e-07
REGION1,LNDAGRBC1C01,2043,1.2095500027259676e-05
REGION1,LNDAGRBC1C01,2044,5.436595855073914e-07
REGION1,LNDAGRBC1C01,2046,3.329479612710651e-07
REGION1,LNDAGRBC1C01,2047,3.581583290336979e-07
REGION1,LNDAGRBC1C01,2048,3.8843325559342757e-07
REGION1,LNDAGRBC1C01,2049,4.1831457766982314e-07
REGION1,LNDAGRBC1C01,2050,4.4080626296652884e-07
REGION1,LNDAGRBC1C02,2037,4.510421611369566e-08
REGION1,LNDAGRBC1C02,2038,8.937494991116759e-08
REGION1,LNDAGRBC1C02,2039,1.328213605388839e-07
REGION1,LNDAGRBC1C02,2040,1.7545362482580944e-07
REGION1,LNDAGRBC1C02,2041,1.1537411688246085e-06
REGION1,LNDAGRBC1C02,2042,1.3633598456640406e-07
REGION1,LNDAGRBC1C02,2043,1.5951542975605894e-07
REGION1,LNDAGRBC1C02,2044,5.436595855080331e-07
REGION1,LNDAGRBC1C02,2047,2.4072936869285976e-07
REGION1,LNDAGRBC1C02,2048,2.568671528948191e-07
REGION1,LNDAGRBC1C02,2049,2.7223647118110715e-07
REGION1,LNDAGRBC1C02,2050,2.9387084197867585e-07
REGION1,LNDAGRBC1C03,2037,1.5148209258955356e-06
REGION1,LNDAGRBC1C03,2038,2.52122296372881e-06
REGION1,LNDAGRBC1C03,2039,2.64321433405165e-06
REGION1,LNDAGRBC1C03,2040,2.632020188058889e-06
REGION1,LNDAGRBC1C03,2041,4.992797085522263e-05
REGION1,LNDAGRBC1C03,2042,1.3656694810287284e-05
REGION1,LNDAGRBC1C03,2043,1.7851505497778793e-05
REGION1,LNDAGRBC1C03,2044,8.989501866443414e-06
REGION1,LNDAGRBC1C03,2045,7.709677403809887e-05
REGION1,LNDAGRBC1C03,2046,1.0579041705368e-05
REGION1,LNDAGRBC1C03,2047,1.1739444258139256e-05
REGION1,LNDAGRBC1C03,2048,2.6872005852498248e-05
REGION1,LNDAGRBC1C03,2050,1.1347433786609143e-05
REGION1,LNDAGRBC1C04,2041,3.5948251178773574e-06
REGION1,LNDAGRBC1C04,2043,8.808767799209215e-08
REGION1,LNDAGRBC1C04,2044,5.206872301465536e-06
REGION1,LNDAGRBC1C05,2041,7.881331984720085e-05
REGION1,LNDAGRBC1C05,2043,2.811588355762624e-06
REGION1,LNDAGRBC1C06,2041,1.033471558636281e-05
REGION1,LNDAGRBC1C06,2042,1.540968726480553e-05
REGION1,LNDAGRBC1C06,2043,2.9373598845638217e-05
REGION1,LNDAGRBC1C06,2044,7.562117786582691e-05
REGION1,LNDAGRBC1C06,2045,1.4689518605723586e-05
REGION1,LNDAGRBC1C06,2046,3.8207143096787466e-08
REGION1,LNDAGRBC1C06,2047,3.522868810143519e-08
REGION1,LNDAGRBC1C06,2048,4.385536756734885e-08
REGION1,LNDAGRBC1C06,2049,2.5445251791459047e-06
REGION1,LNDAGRBC1C06,2050,2.069833363625315e-06
REGION1,LNDAGRBC1C07,2037,3.0967073749732475e-08
REGION1,LNDAGRBC1C07,2038,6.177386243857613e-08
REGION1,LNDAGRBC1C07,2039,9.047252094672573e-08
REGION1,LNDAGRBC1C07,2040,1.1780457666870931e-07
REGION1,LNDAGRBC1C07,2041,2.142224981903568e-07
REGION1,LNDAGRBC1C07,2042,9.687030482344116e-08
REGION1,LNDAGRBC1C07,2043,1.2797877632330209e-06
REGION1,LNDAGRBC1C07,2044,1.2335133452688456e-07
REGION1,LNDAGRBC1C07,2045,1.356537873509009e-07
REGION1,LNDAGRBC1C07,2046,1.5282857238751644e-07
REGION1,LNDAGRBC1C07,2047,1.5852909645593553e-07
REGION1,LNDAGRBC1C07,2048,1.754214702700151e-07
REGION1,LNDAGRBC1C07,2049,1.9255750400661106e-07
REGION1,LNDAGRBC1C07,2050,1.959138946522659e-07
REGION1,LNDALFHRBC1,2037,0.0012566348768005416
REGION1,LNDALFHRBC1,2038,0.002453429997562968
REGION1,LNDALFHRBC1,2039,0.0017966174372401609
REGION1,LNDALFHRBC1,2040,0.004678763328685834
REGION1,LNDALFHRBC1,2041,0.0057125999517388245
REGION1,LNDALFHRBC1,2042,0.006697206259408813
REGION1,LNDALFHRBC1,2043,0.0038174632762135153
REGION1,LNDALFHRBC1,2044,0.008527993498161166
