REGION,STORAGE,YEAR,VALUE
REGION1,BATTERY,2021,0.18840983560448288
REGION1,BATTERY,2028,0.004523598076323826
REGION1,BATTERY,2029,0.33449514818203585
REGION1,BATTERY,2030,0.2393866880609025
REGION1,BATTERY,2031,0.3294789916240129
REGION1,BATTERY,2032,0.5404349610961056
REGION1,BATTERY,2033,0.6145881879048563
REGION1,BATTERY,2034,0.45831888352430367
REGION1,BATTERY,2035,0.440541814972744
REGION1,BATTERY,2036,0.4272117651714211
REGION1,BATTERY,2037,0.4027327940340952
REGION1,BATTERY,2038,0.39696688682113246
REGION1,BATTERY,2039,0.42447875522064565
REGION1,BATTERY,2040,0.4684124269415904
REGION1,BATTERY,2041,0.4550975247072735
REGION1,BATTERY,2042,0.5065016258830592
REGION1,BATTERY,2043,0.5179725185418738
REGION1,BATTERY,2044,0.3608217372533273
REGION1,BATTERY,2045,0.4976886549897674
REGION1,BATTERY,2046,0.7154512754882925
REGION1,BATTERY,2047,0.3362875519394848
REGION1,BATTERY,2048,0.34009114549794184
REGION1,BATTERY,2049,0.4529173065896348
