REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,1,BATTERY_STORAGE,ELCB02,2026,18.310491095714323
REGION1,1,BATTERY_STORAGE,ELCB02,2027,24.126818195511557
REGION1,1,BATTERY_STORAGE,ELCB02,2028,25.69207223549965
REGION1,1,BATTERY_STORAGE,ELCB02,2029,65.59201632791338
REGION1,1,BATTERY_STORAGE,ELCB02,2030,74.61427976164961
REGION1,1,BATTERY_STORAGE,ELCB02,2031,91.86562134102279
REGION1,1,BATTERY_STORAGE,ELCB02,2032,77.14749920986606
REGION1,1,BATTERY_STORAGE,ELCB02,2033,62.76444394004297
REGION1,1,BATTERY_STORAGE,ELCB02,2034,54.283834091569055
REGION1,1,BATTERY_STORAGE,ELCB02,2035,46.63934569967004
REGION1,1,BATTERY_STORAGE,ELCB02,2036,39.21781164758824
REGION1,1,BATTERY_STORAGE,ELCB02,2037,32.280686629614685
REGION1,1,BATTERY_STORAGE,ELCB02,2038,25.740677891739843
REGION1,1,BATTERY_STORAGE,ELCB02,2039,19.03658747477792
REGION1,1,BATTERY_STORAGE,ELCB02,2040,10.765166014637122
REGION1,1,BATTERY_STORAGE,ELCB02,2041,3.1111468841125998
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2021,1.4178077124482606
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2022,0.6071784966819879
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2023,0.41838720124984285
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2024,0.5104679481787661
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2025,0.42229221855914817
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2026,0.9830977545410983
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2027,0.4753470619565528
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2028,0.8058071926518258
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2029,0.7114120790458548
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2030,0.6155446698591274
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2031,0.5208836349574536
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2032,0.48678347704734326
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2033,0.49341465821739944
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2034,0.49930067121069993
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2035,0.506325630056802
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2036,0.5266013437715815
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2037,0.5231026240360981
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2038,0.52891965412229
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2039,0.5348302313122838
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2040,0.5400690399989516
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2041,0.5563375908752516
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2042,0.5531395638117507
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2043,0.5612149684587019
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2044,0.5786736216076392
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2045,0.5738520078009284
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2046,0.5806749529400173
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2047,0.5867745810857035
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2048,0.5934256287140511
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2049,0.6002661577827321
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2050,0.6071975512169806
REGION1,1,DEMCOMBIO,BIO,2021,0.7600004560002839
REGION1,1,DEMCOMBIO,BIO,2022,1.200000720000432
REGION1,1,DEMCOMBIO,BIO,2023,1.6300009780005906
REGION1,1,DEMCOMBIO,BIO,2024,2.4100014460008645
REGION1,1,DEMCOMBIO,BIO,2025,3.6100021660013
REGION1,1,DEMCOMBIO,BIO,2026,4.810002886001668
REGION1,1,DEMCOMBIO,BIO,2027,6.868689526283575
REGION1,1,DEMCOMBIO,BIO,2028,7.850004710002827
REGION1,1,DEMCOMBIO,BIO,2029,9.760005856003517
REGION1,1,DEMCOMBIO,BIO,2030,12.572828866007391
REGION1,1,DEMCOMBIO,BIO,2032,14.887824559154268
REGION1,1,DEMCOMBIO,BIO,2043,5.224779822286975
REGION1,1,DEMCOMBIO,BIO,2044,9.965531596285683
REGION1,1,DEMCOMBIO,BIO,2045,3.1484090600842647
REGION1,1,DEMCOMBIO,BIO,2046,11.180006708004028
REGION1,1,DEMCOMBIO,BIO,2047,11.230006738004043
REGION1,1,DEMCOMBIO,BIO,2048,11.30000678000407
REGION1,1,DEMCOMBIO,BIO,2049,11.360006816004088
REGION1,1,DEMCOMBIO,BIO,2050,11.450006870004128
REGION1,1,DEMCOMELCB02,ELCB02,2021,65.8096135425999
REGION1,1,DEMCOMELCB02,ELCB02,2022,70.79838681133933
REGION1,1,DEMCOMELCB02,ELCB02,2023,73.7643490283262
REGION1,1,DEMCOMELCB02,ELCB02,2024,75.92366880136265
REGION1,1,DEMCOMELCB02,ELCB02,2025,78.00852927188062
REGION1,1,DEMCOMELCB02,ELCB02,2026,80.26712811494177
REGION1,1,DEMCOMELCB02,ELCB02,2027,82.61259614427446
REGION1,1,DEMCOMELCB02,ELCB02,2028,84.4988984747431
REGION1,1,DEMCOMELCB02,ELCB02,2029,86.09977347889085
REGION1,1,DEMCOMELCB02,ELCB02,2030,87.6013694130139
REGION1,1,DEMCOMELCB02,ELCB02,2031,89.2146543009147
