REGION,TECHNOLOGY,YEAR,VALUE
REGION1,LNDAGRBC1C01,2037,2.967710139944754e-07
REGION1,LNDAGRBC1C01,2038,5.85090565890016e-07
REGION1,LNDAGRBC1C01,2039,8.65229155202231e-07
REGION1,LNDAGRBC1C01,2040,1.1374506840027613e-06
REGION1,LNDAGRBC1C01,2041,2.0501125765651967e-06
REGION1,LNDAGRBC1C01,2042,8.993606210266415e-07
REGION1,LNDAGRBC1C01,2043,5.2276054116449615e-05
REGION1,LNDAGRBC1C01,2044,2.349665400261241e-06
REGION1,LNDAGRBC1C01,2046,1.4389819025374385e-06
REGION1,LNDAGRBC1C01,2047,1.5479396592638935e-06
REGION1,LNDAGRBC1C01,2048,1.6787861472669636e-06
REGION1,LNDAGRBC1C01,2049,1.8079314993744624e-06
REGION1,LNDAGRBC1C01,2050,1.9051392671468484e-06
REGION1,LNDAGRBC1C02,2037,1.9493782291973475e-07
REGION1,LNDAGRBC1C02,2038,3.862733832980434e-07
REGION1,LNDAGRBC1C02,2039,5.740462664381666e-07
REGION1,LNDAGRBC1C02,2040,7.583004560084525e-07
REGION1,LNDAGRBC1C02,2041,4.986402847498932e-06
REGION1,LNDAGRBC1C02,2042,5.892362689554288e-07
REGION1,LNDAGRBC1C02,2043,6.894164953530804e-07
REGION1,LNDAGRBC1C02,2044,2.3496654002640142e-06
REGION1,LNDAGRBC1C02,2047,1.0404184594969383e-06
REGION1,LNDAGRBC1C02,2048,1.1101650328804236e-06
REGION1,LNDAGRBC1C02,2049,1.1765903408591095e-06
REGION1,LNDAGRBC1C02,2050,1.2700928447688442e-06
REGION1,LNDAGRBC1C03,2037,6.5469687503928815e-06
REGION1,LNDAGRBC1C03,2038,1.0896580364142492e-05
REGION1,LNDAGRBC1C03,2039,1.1423820036943473e-05
REGION1,LNDAGRBC1C03,2040,1.1375439583023738e-05
REGION1,LNDAGRBC1C03,2041,0.00021578581294447408
REGION1,LNDAGRBC1C03,2042,5.9023448005080794e-05
REGION1,LNDAGRBC1C03,2043,7.715317807108523e-05
REGION1,LNDAGRBC1C03,2044,3.88521090480778e-05
REGION1,LNDAGRBC1C03,2045,0.0003332078147026752
REGION1,LNDAGRBC1C03,2046,4.572200863491612e-05
REGION1,LNDAGRBC1C03,2047,5.0737201599971206e-05
REGION1,LNDAGRBC1C03,2048,0.00011613926079920886
REGION1,LNDAGRBC1C03,2050,4.904295493156244e-05
REGION1,LNDAGRBC1C04,2041,1.5536627008210138e-05
REGION1,LNDAGRBC1C04,2043,3.807098682426497e-07
REGION1,LNDAGRBC1C04,2044,2.2503802041702168e-05
REGION1,LNDAGRBC1C05,2041,0.0003406266267739203
REGION1,LNDAGRBC1C05,2043,1.2151522856250669e-05
REGION1,LNDAGRBC1C06,2041,4.4666045227831485e-05
REGION1,LNDAGRBC1C06,2042,6.659978037758257e-05
REGION1,LNDAGRBC1C06,2043,0.00012695100156164048
REGION1,LNDAGRBC1C06,2044,0.00032683037307712286
REGION1,LNDAGRBC1C06,2045,6.348725293264088e-05
REGION1,LNDAGRBC1C06,2046,1.6512907078345099e-07
REGION1,LNDAGRBC1C06,2047,1.5225635992655882e-07
REGION1,LNDAGRBC1C06,2048,1.8954037146713312e-07
REGION1,LNDAGRBC1C06,2049,1.0997291196388523e-05
REGION1,LNDAGRBC1C06,2050,8.945700523752884e-06
