REGION,STORAGE,YEAR,VALUE
REGION1,BATTERY,2028,59.67971144362375
REGION1,BATTERY,2029,6463.153369534987
REGION1,BATTERY,2030,6022.823087188665
REGION1,BATTERY,2031,10121.1665833836
REGION1,BATTERY,2032,19462.836908824996
REGION1,BATTERY,2033,25232.373550092925
REGION1,BATTERY,2034,21017.625278709165
REGION1,BATTERY,2035,22217.29088558203
REGION1,BATTERY,2036,23405.910203665724
REGION1,BATTERY,2037,23735.480091133304
REGION1,BATTERY,2038,24964.036098949822
REGION1,BATTERY,2039,28291.385353128146
REGION1,BATTERY,2040,32898.145756450685
REGION1,BATTERY,2041,33516.21441639876
REGION1,BATTERY,2042,38948.272270050096
REGION1,BATTERY,2043,41433.797764757524
REGION1,BATTERY,2044,29926.732251734065
REGION1,BATTERY,2045,42675.96665775294
REGION1,BATTERY,2046,63261.95085550692
REGION1,BATTERY,2047,30591.819321666007
REGION1,BATTERY,2048,31762.72337426733
REGION1,BATTERY,2049,43346.33590105118
