REGION,STORAGE,DAYTYPE,YEAR,VALUE
REGION1,BATTERY,1,2025,0.0017712474436015909
REGION1,BATTERY,1,2026,0.016320196383089333
REGION1,BATTERY,1,2027,0.016525217942131198
REGION1,BATTERY,1,2028,0.014549642273111696
REGION1,BATTERY,1,2029,0.044926038580762585
REGION1,BATTERY,1,2030,0.06599955659985839
REGION1,BATTERY,1,2031,0.09111829780428798
REGION1,BATTERY,1,2032,0.0731033210297513
REGION1,BATTERY,1,2033,0.05219962409203777
REGION1,BATTERY,1,2034,0.03992025949159207
REGION1,BATTERY,1,2035,0.028810097874998844
REGION1,BATTERY,1,2036,0.018028148151903896
REGION1,BATTERY,1,2037,0.0079460372043785
REGION1,BATTERY,1,2038,-0.001558922490336857
REGION1,BATTERY,1,2039,-0.011275181841854304
REGION1,BATTERY,1,2040,-0.02311049435054272
REGION1,BATTERY,1,2041,-0.03407414684600134
REGION1,BATTERY,1,2042,-0.0462546325270957
REGION1,BATTERY,1,2043,-0.0609119332230186
REGION1,BATTERY,1,2044,-0.07046307326802333
REGION1,BATTERY,1,2045,-0.08233694734606216
REGION1,BATTERY,1,2046,-0.09613975102194534
REGION1,BATTERY,1,2047,-0.10389522098158034
REGION1,BATTERY,1,2048,-0.11181301473106792
REGION1,BATTERY,1,2049,-0.1199472402003594
REGION1,BATTERY,1,2050,-0.12826182543615416
REGION1,BATTERY,2,2025,-0.0018291312863224672
REGION1,BATTERY,2,2026,-0.0006297407019892666
REGION1,BATTERY,2,2027,-0.0007077066469770152
REGION1,BATTERY,2,2028,-0.0016547215866744838
REGION1,BATTERY,2,2029,-0.0014737835284442777
REGION1,BATTERY,2,2030,-0.002402318801100868
REGION1,BATTERY,2,2031,-0.002202637453554528
REGION1,BATTERY,2,2032,-0.07589557794735385
REGION1,BATTERY,2,2033,-0.11788600769506176
REGION1,BATTERY,2,2034,-0.13793295757525276
REGION1,BATTERY,2,2035,-0.14461372952233076
REGION1,BATTERY,2,2036,-0.14853597245116693
REGION1,BATTERY,2,2037,-0.15231740056438378
REGION1,BATTERY,2,2038,-0.1579270348055062
REGION1,BATTERY,2,2039,-0.17182475280184298
REGION1,BATTERY,2,2040,-0.18703735816598077
REGION1,BATTERY,2,2041,-0.20186902064002807
REGION1,BATTERY,2,2042,-0.2183674144633204
REGION1,BATTERY,2,2043,-0.2350167773285938
REGION1,BATTERY,2,2044,-0.24404929248221535
REGION1,BATTERY,2,2045,-0.21223707936968833
REGION1,BATTERY,2,2046,-0.1752853566583587
REGION1,BATTERY,2,2047,-0.15642012038139078
REGION1,BATTERY,2,2048,-0.13721678441153076
REGION1,BATTERY,2,2049,-0.11567221546494352
REGION1,BATTERY,2,2050,0.058465751472778354
REGION1,BATTERY,3,2025,-0.0018291312863224672
REGION1,BATTERY,3,2026,-0.019242744191997847
REGION1,BATTERY,3,2027,-0.019947325324479737
REGION1,BATTERY,3,2028,-0.015613511616165148
REGION1,BATTERY,3,2029,-0.05125499165566763
REGION1,BATTERY,3,2030,-0.07686456548852177
REGION1,BATTERY,3,2031,-0.09875847300882634
REGION1,BATTERY,3,2032,-0.12772441300905768
REGION1,BATTERY,3,2033,-0.15603092604469682
REGION1,BATTERY,3,2034,-0.17239173972760546
REGION1,BATTERY,3,2035,-0.18743644380866997
REGION1,BATTERY,3,2036,-0.20201241662250516
REGION1,BATTERY,3,2037,-0.21566499711165288
REGION1,BATTERY,3,2038,-0.22853603453165447
REGION1,BATTERY,3,2039,-0.24153533743307176
