REGION,STORAGE,YEAR,VALUE
REGION1,BATTERY,2021,0.18840983560448288
REGION1,BATTERY,2022,0.18840983560448288
REGION1,BATTERY,2023,0.18840983560448288
REGION1,BATTERY,2024,0.18840983560448288
REGION1,BATTERY,2025,0.18840983560448288
REGION1,BATTERY,2026,0.04557552422439757
REGION1,BATTERY,2027,0.04793760359476718
REGION1,BATTERY,2028,0.03541685035525289
REGION1,BATTERY,2029,0.1188242503277063
REGION1,BATTERY,2030,0.18062119081683123
REGION1,BATTERY,2031,0.22090733208751304
REGION1,BATTERY,2032,0.5136574651719857
REGION1,BATTERY,2033,0.830818940030752
REGION1,BATTERY,2034,1.0595820955761894
REGION1,BATTERY,2035,1.2468788181012171
REGION1,BATTERY,2036,1.4237223174324063
REGION1,BATTERY,2037,1.589385954788138
REGION1,BATTERY,2038,1.7490858436764043
REGION1,BATTERY,2039,1.9264132986210551
REGION1,BATTERY,2040,2.1342428729804968
REGION1,BATTERY,2041,2.32818275600756
REGION1,BATTERY,2042,2.5408317905085496
REGION1,BATTERY,2043,2.788146653809924
REGION1,BATTERY,2044,2.9514589748483586
REGION1,BATTERY,2045,3.069345147981932
REGION1,BATTERY,2046,3.2048179341456007
REGION1,BATTERY,2047,3.291532167772985
REGION1,BATTERY,2048,3.380231612745227
REGION1,BATTERY,2049,3.4659067060186977
REGION1,BATTERY,2050,3.7101266015740473
REGION1,HYDRODAM01,2021,30.0561407999996
REGION1,HYDRODAM01,2022,28.87536383999999
REGION1,HYDRODAM01,2023,3.9717043200000006
REGION1,HYDRODAM01,2024,8.114957374205654
REGION1,HYDRODAM01,2025,0.004001892715401356
REGION1,HYDRODAM01,2026,1.7528290093457946
REGION1,HYDRODAM01,2027,0.02786691588784773
REGION1,HYDRODAM01,2028,12.205709158877305
REGION1,HYDRODAM01,2029,0.008119408997671754
REGION1,HYDRODAM01,2030,3.5563011409802288
REGION1,HYDRODAM01,2031,0.004699783762111593
REGION1,HYDRODAM01,2032,2.058505287804877
REGION1,HYDRODAM01,2033,0.07527125853658534
REGION1,HYDRODAM01,2034,32.968811239024376
REGION1,HYDRODAM01,2035,0.004445859776072709
REGION1,HYDRODAM01,2036,1.9472865819198464
REGION1,HYDRODAM01,2037,0.058023437837837824
REGION1,HYDRODAM01,2038,52.61275225945945
REGION1,HYDRODAM01,2039,0.017539764705882446
REGION1,HYDRODAM01,2040,2.683584000000014
REGION1,HYDRODAM01,2041,22.40792640000001
REGION1,HYDRODAM01,2042,3.848515035428576
REGION1,HYDRODAM01,2043,22.965606151003044
REGION1,HYDRODAM01,2044,6.920764654103351
REGION1,HYDRODAM01,2045,22.03058807548341
REGION1,HYDRODAM01,2046,6.979793573012435
REGION1,HYDRODAM01,2047,22.075801715498883
REGION1,HYDRODAM01,2048,3.8051977917236046
REGION1,HYDRODAM01,2049,12.160756287132088
REGION1,HYDRODAM01,2050,8.229657599999994
