REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
REGION1,DEMAGRSURBC1,1,2021,0.49147329671059214
REGION1,DEMAGRSURBC1,1,2022,0.37167280151796406
REGION1,DEMAGRSURBC1,1,2023,0.4183869502175221
REGION1,DEMAGRSURBC1,1,2024,0.4268140862569959
REGION1,DEMAGRSURBC1,1,2025,0.4222919651838171
REGION1,DEMAGRSURBC1,1,2026,0.5127280965103928
REGION1,DEMAGRSURBC1,1,2027,0.44230873438738594
REGION1,DEMAGRSURBC1,1,2028,0.5239444522459836
REGION1,DEMAGRSURBC1,1,2029,0.4682038116344499
REGION1,DEMAGRSURBC1,1,2030,0.5211575319418348
REGION1,DEMAGRSURBC1,1,2031,0.4981638645202408
REGION1,DEMAGRSURBC1,1,2032,0.4867022900237385
REGION1,DEMAGRSURBC1,1,2033,0.49341436216860457
REGION1,DEMAGRSURBC1,1,2034,0.4993147136559429
REGION1,DEMAGRSURBC1,1,2035,0.506325326261424
REGION1,DEMAGRSURBC1,1,2036,0.5216243842465755
REGION1,DEMAGRSURBC1,1,2037,0.523102310174524
REGION1,DEMAGRSURBC1,1,2038,0.5289193367704976
REGION1,DEMAGRSURBC1,1,2039,0.5348299104141555
REGION1,DEMAGRSURBC1,1,2040,0.5400687159574963
REGION1,DEMAGRSURBC1,1,2041,0.5563372570726972
REGION1,DEMAGRSURBC1,1,2042,0.5531392319280131
REGION1,DEMAGRSURBC1,1,2043,0.5612146317297216
REGION1,DEMAGRSURBC1,1,2044,0.5751732294231768
REGION1,DEMAGRSURBC1,1,2045,0.5738516634897193
REGION1,DEMAGRSURBC1,1,2046,0.5806595064122207
REGION1,DEMAGRSURBC1,1,2047,0.586774229020952
REGION1,DEMAGRSURBC1,1,2048,0.5934252726586742
REGION1,DEMAGRSURBC1,1,2049,0.6002657976230505
REGION1,DEMAGRSURBC1,1,2050,0.6071971868984499
REGION1,DEMCOMBIO,1,2021,0.76
REGION1,DEMCOMBIO,1,2022,1.1999999999999995
REGION1,DEMCOMBIO,1,2023,1.6300000000000014
REGION1,DEMCOMBIO,1,2024,2.409999999999989
REGION1,DEMCOMBIO,1,2025,3.6100000000000048
REGION1,DEMCOMBIO,1,2026,4.8100000000000005
REGION1,DEMCOMBIO,1,2027,6.3699999999999966
REGION1,DEMCOMBIO,1,2028,7.850000000000001
REGION1,DEMCOMBIO,1,2029,9.76
REGION1,DEMCOMBIO,1,2030,11.66
REGION1,DEMCOMBIO,1,2031,11.52
REGION1,DEMCOMBIO,1,2032,11.380000000000004
REGION1,DEMCOMBIO,1,2033,11.33
REGION1,DEMCOMBIO,1,2034,11.3
REGION1,DEMCOMBIO,1,2035,11.26
REGION1,DEMCOMBIO,1,2036,11.23
REGION1,DEMCOMBIO,1,2037,11.18
REGION1,DEMCOMBIO,1,2038,11.15
REGION1,DEMCOMBIO,1,2039,11.13
REGION1,DEMCOMBIO,1,2040,11.109999999999998
REGION1,DEMCOMBIO,1,2041,11.1
REGION1,DEMCOMBIO,1,2042,11.090000000000002
REGION1,DEMCOMBIO,1,2043,11.099999999999993
REGION1,DEMCOMBIO,1,2044,11.119999999999996
REGION1,DEMCOMBIO,1,2045,11.14
REGION1,DEMCOMBIO,1,2046,11.180000000000003
REGION1,DEMCOMBIO,1,2047,11.230000000000004
REGION1,DEMCOMBIO,1,2048,11.300000000000002
REGION1,DEMCOMBIO,1,2049,11.36
REGION1,DEMCOMBIO,1,2050,11.45
REGION1,DEMCOMELCB02,1,2021,53.03
REGION1,DEMCOMELCB02,1,2022,57.05
REGION1,DEMCOMELCB02,1,2023,59.44
REGION1,DEMCOMELCB02,1,2024,61.18000000000001
REGION1,DEMCOMELCB02,1,2025,62.86
REGION1,DEMCOMELCB02,1,2026,64.67999999999999
REGION1,DEMCOMELCB02,1,2027,66.57
REGION1,DEMCOMELCB02,1,2028,68.09
REGION1,DEMCOMELCB02,1,2029,69.38
REGION1,DEMCOMELCB02,1,2030,70.59
REGION1,DEMCOMELCB02,1,2031,71.89
REGION1,DEMCOMELCB02,1,2032,73.25999999999999
REGION1,DEMCOMELCB02,1,2033,74.49000000000001
REGION1,DEMCOMELCB02,1,2034,75.75
REGION1,DEMCOMELCB02,1,2035,77.02000000000001
REGION1,DEMCOMELCB02,1,2036,78.37
REGION1,DEMCOMELCB02,1,2037,79.7
REGION1,DEMCOMELCB02,1,2038,80.96
REGION1,DEMCOMELCB02,1,2039,82.18999999999998
REGION1,DEMCOMELCB02,1,2040,83.27
REGION1,DEMCOMELCB02,1,2041,84.34
REGION1,DEMCOMELCB02,1,2042,85.36000000000001
REGION1,DEMCOMELCB02,1,2043,86.36999999999996
