REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
REGION1,DEMCOMBIO,CO2,1,2021,0.05320000000000023
REGION1,DEMCOMBIO,CO2,1,2022,0.08399999999999996
REGION1,DEMCOMBIO,CO2,1,2023,0.11410000000000002
REGION1,DEMCOMBIO,CO2,1,2024,0.16869999999999918
REGION1,DEMCOMBIO,CO2,1,2025,0.2526999999999999
REGION1,DEMCOMBIO,CO2,1,2026,0.33670000000000005
REGION1,DEMCOMBIO,CO2,1,2027,0.4459
REGION1,DEMCOMBIO,CO2,1,2028,0.5495000000000001
REGION1,DEMCOMBIO,CO2,1,2029,0.6831999999999998
REGION1,DEMCOMBIO,CO2,1,2030,0.8162000000000001
REGION1,DEMCOMBIO,CO2,1,2031,0.8064
REGION1,DEMCOMBIO,CO2,1,2032,0.7966000000000002
REGION1,DEMCOMBIO,CO2,1,2033,0.7930999999999994
REGION1,DEMCOMBIO,CO2,1,2034,0.7910000000000004
REGION1,DEMCOMBIO,CO2,1,2035,0.7882000000000001
REGION1,DEMCOMBIO,CO2,1,2036,0.7861
REGION1,DEMCOMBIO,CO2,1,2037,0.7826
REGION1,DEMCOMBIO,CO2,1,2038,0.7804999999999982
REGION1,DEMCOMBIO,CO2,1,2039,0.7791000000000003
REGION1,DEMCOMBIO,CO2,1,2040,0.7777
REGION1,DEMCOMBIO,CO2,1,2041,0.7769999999999998
REGION1,DEMCOMBIO,CO2,1,2042,0.7763000000000003
REGION1,DEMCOMBIO,CO2,1,2043,0.777
REGION1,DEMCOMBIO,CO2,1,2044,0.7783999999999996
REGION1,DEMCOMBIO,CO2,1,2045,0.7798000000000002
REGION1,DEMCOMBIO,CO2,1,2046,0.7826
REGION1,DEMCOMBIO,CO2,1,2047,0.7860999999999942
REGION1,DEMCOMBIO,CO2,1,2048,0.7910000000000011
REGION1,DEMCOMBIO,CO2,1,2049,0.7952000000000001
REGION1,DEMCOMBIO,CO2,1,2050,0.8015000000000002
REGION1,DEMCOMRPP,CO2,1,2021,0.44973499999999994
REGION1,DEMCOMRPP,CO2,1,2022,0.458315
REGION1,DEMCOMRPP,CO2,1,2023,0.46403499999999975
REGION1,DEMCOMRPP,CO2,1,2024,0.46904000000000007
REGION1,DEMCOMRPP,CO2,1,2025,0.47332999999999986
REGION1,DEMCOMRPP,CO2,1,2026,0.47905000000000014
REGION1,DEMCOMRPP,CO2,1,2027,0.486915
REGION1,DEMCOMRPP,CO2,1,2028,0.49334999999999984
