REGION,TIMESLICE,FUEL,YEAR,VALUE
REGION1,1,COMELCB02,2021,1.71265688
REGION1,1,COMELCB02,2022,1.8424868
REGION1,1,COMELCB02,2023,1.91967424
REGION1,1,COMELCB02,2024,1.97586928
REGION1,1,COMELCB02,2025,2.03012656
REGION1,1,COMELCB02,2026,2.08890528
REGION1,1,COMELCB02,2027,2.14994472
REGION1,1,COMELCB02,2028,2.19903464
REGION1,1,COMELCB02,2029,2.24069648
REGION1,1,COMELCB02,2030,2.27977464
REGION1,1,COMELCB02,2031,2.32175944
REGION1,1,COMELCB02,2032,2.36600496
REGION1,1,COMELCB02,2033,2.40572904
REGION1,1,COMELCB02,2034,2.446422
REGION1,1,COMELCB02,2035,2.48743792
REGION1,1,COMELCB02,2036,2.53103752
REGION1,1,COMELCB02,2037,2.5739912
REGION1,1,COMELCB02,2038,2.61468416
REGION1,1,COMELCB02,2039,2.65440824
REGION1,1,COMELCB02,2040,2.68928792
REGION1,1,COMELCB02,2041,2.72384464
REGION1,1,COMELCB02,2042,2.75678656
REGION1,1,COMELCB02,2043,2.78940552
REGION1,1,COMELCB02,2044,2.82073264
REGION1,1,COMELCB02,2045,2.85399752
REGION1,1,COMELCB02,2046,2.890492
REGION1,1,COMELCB02,2047,2.9292472
REGION1,1,COMELCB02,2048,2.97220088
REGION1,1,COMELCB02,2049,3.0164464
REGION1,1,COMELCB02,2050,3.06456744
REGION1,1,INDELCB02,2021,2.86530112
REGION1,1,INDELCB02,2022,3.02387448
REGION1,1,INDELCB02,2023,3.21958824
REGION1,1,INDELCB02,2024,3.32261248
REGION1,1,INDELCB02,2025,3.42531376
REGION1,1,INDELCB02,2026,3.53350536
REGION1,1,INDELCB02,2027,3.59163816
REGION1,1,INDELCB02,2028,3.72275992
REGION1,1,INDELCB02,2029,3.94431048
REGION1,1,INDELCB02,2030,4.11354152
REGION1,1,INDELCB02,2031,4.21172136
REGION1,1,INDELCB02,2032,4.44748216
REGION1,1,INDELCB02,2033,4.67936744
REGION1,1,INDELCB02,2034,4.74040688
REGION1,1,INDELCB02,2035,4.79369528
REGION1,1,INDELCB02,2036,4.8427852
REGION1,1,INDELCB02,2037,4.88735368
REGION1,1,INDELCB02,2038,4.93030736
REGION1,1,INDELCB02,2039,4.97649064
REGION1,1,INDELCB02,2040,5.022028
REGION1,1,INDELCB02,2041,5.06207504
REGION1,1,INDELCB02,2042,5.10147616
REGION1,1,INDELCB02,2043,5.13926248
REGION1,1,INDELCB02,2044,5.17640288
REGION1,1,INDELCB02,2045,5.21451216
REGION1,1,INDELCB02,2046,5.25262144
REGION1,1,INDELCB02,2047,5.28556336
REGION1,1,INDELCB02,2048,5.31656752
REGION1,1,INDELCB02,2049,5.34918648
REGION1,1,INDELCB02,2050,5.38115952
REGION1,1,RESELCB02,2021,2.12281608
REGION1,1,RESELCB02,2022,2.27331544
REGION1,1,RESELCB02,2023,2.3672968
REGION1,1,RESELCB02,2024,2.42478368
REGION1,1,RESELCB02,2025,2.48162464
REGION1,1,RESELCB02,2026,2.53588192
REGION1,1,RESELCB02,2027,2.58917032
REGION1,1,RESELCB02,2028,2.64052096
REGION1,1,RESELCB02,2029,2.68896496
REGION1,1,RESELCB02,2030,2.73676304
REGION1,1,RESELCB02,2031,2.78908256
REGION1,1,RESELCB02,2032,2.842048
REGION1,1,RESELCB02,2033,2.89339864
REGION1,1,RESELCB02,2034,2.9453952
REGION1,1,RESELCB02,2035,2.99609992
REGION1,1,RESELCB02,2036,3.04486688
REGION1,1,RESELCB02,2037,3.09105016
REGION1,1,RESELCB02,2038,3.13464976
REGION1,1,RESELCB02,2039,3.17501976
REGION1,1,RESELCB02,2040,3.21442088
REGION1,1,RESELCB02,2041,3.253822
REGION1,1,RESELCB02,2042,3.29225424
REGION1,1,RESELCB02,2043,3.33036352
REGION1,1,RESELCB02,2044,3.36782688
REGION1,1,RESELCB02,2045,3.40593616
REGION1,1,RESELCB02,2046,3.44404544
REGION1,1,RESELCB02,2047,3.48280064
REGION1,1,RESELCB02,2048,3.52284768
REGION1,1,RESELCB02,2049,3.5638636
REGION1,1,RESELCB02,2050,3.6058484
REGION1,1,TRAELCB02,2021,0.02163832
REGION1,1,TRAELCB02,2022,0.03423376
REGION1,1,TRAELCB02,2023,0.05619504
REGION1,1,TRAELCB02,2024,0.09172064
REGION1,1,TRAELCB02,2025,0.13984168
REGION1,1,TRAELCB02,2026,0.19280712
REGION1,1,TRAELCB02,2027,0.2454496
REGION1,1,TRAELCB02,2028,0.29776912
REGION1,1,TRAELCB02,2029,0.3504116
REGION1,1,TRAELCB02,2030,0.40176224
REGION1,1,TRAELCB02,2031,0.4489144
REGION1,1,TRAELCB02,2032,0.4989732
REGION1,1,TRAELCB02,2033,0.55032384
REGION1,1,TRAELCB02,2034,0.60296632
REGION1,1,TRAELCB02,2035,0.65690064
REGION1,1,TRAELCB02,2036,0.7072824
REGION1,1,TRAELCB02,2037,0.7541116
REGION1,1,TRAELCB02,2038,0.79706528
REGION1,1,TRAELCB02,2039,0.83678936
REGION1,1,TRAELCB02,2040,0.87425272
REGION1,1,TRAELCB02,2041,0.90945536
REGION1,1,TRAELCB02,2042,0.9430432
REGION1,1,TRAELCB02,2043,0.97469328
REGION1,1,TRAELCB02,2044,1.00537448
REGION1,1,TRAELCB02,2045,1.03476384
REGION1,1,TRAELCB02,2046,1.06350728
REGION1,1,TRAELCB02,2047,1.09192776
REGION1,1,TRAELCB02,2048,1.11970232
REGION1,1,TRAELCB02,2049,1.14747688
REGION1,1,TRAELCB02,2050,1.17428256
REGION1,2,COMELCB02,2021,1.941714662
REGION1,2,COMELCB02,2022,2.08890857
REGION1,2,COMELCB02,2023,2.176419376
REGION1,2,COMELCB02,2024,2.240130172
REGION1,2,COMELCB02,2025,2.301644044
REGION1,2,COMELCB02,2026,2.368284072
REGION1,2,COMELCB02,2027,2.437487178
REGION1,2,COMELCB02,2028,2.493142586
REGION1,2,COMELCB02,2029,2.540376452
REGION1,2,COMELCB02,2030,2.584681086
REGION1,2,COMELCB02,2031,2.632281106
REGION1,2,COMELCB02,2032,2.682444204
REGION1,2,COMELCB02,2033,2.727481146
REGION1,2,COMELCB02,2034,2.77361655
REGION1,2,COMELCB02,2035,2.820118108
REGION1,2,COMELCB02,2036,2.869548898
REGION1,2,COMELCB02,2037,2.91824738
REGION1,2,COMELCB02,2038,2.964382784
REGION1,2,COMELCB02,2039,3.009419726
REGION1,2,COMELCB02,2040,3.048964358
REGION1,2,COMELCB02,2041,3.088142836
REGION1,2,COMELCB02,2042,3.125490544
REGION1,2,COMELCB02,2043,3.162472098
REGION1,2,COMELCB02,2044,3.197989036
REGION1,2,COMELCB02,2045,3.235702898
REGION1,2,COMELCB02,2046,3.2770783
REGION1,2,COMELCB02,2047,3.32101678
REGION1,2,COMELCB02,2048,3.369715262
REGION1,2,COMELCB02,2049,3.41987836
REGION1,2,COMELCB02,2050,3.474435306
REGION1,2,INDELCB02,2021,3.248518288
REGION1,2,INDELCB02,2022,3.428299902
REGION1,2,INDELCB02,2023,3.650189226
REGION1,2,INDELCB02,2024,3.766992352
REGION1,2,INDELCB02,2025,3.883429324
REGION1,2,INDELCB02,2026,4.006090914
REGION1,2,INDELCB02,2027,4.071998634
REGION1,2,INDELCB02,2028,4.220657158
REGION1,2,INDELCB02,2029,4.471838802
REGION1,2,INDELCB02,2030,4.663703498
REGION1,2,INDELCB02,2031,4.775014314
REGION1,2,INDELCB02,2032,5.042306734
REGION1,2,INDELCB02,2033,5.305205306
REGION1,2,INDELCB02,2034,5.374408412
REGION1,2,INDELCB02,2035,5.434823822
REGION1,2,INDELCB02,2036,5.49047923
REGION1,2,INDELCB02,2037,5.541008482
REGION1,2,INDELCB02,2038,5.589706964
REGION1,2,INDELCB02,2039,5.642066986
REGION1,2,INDELCB02,2040,5.6936947
REGION1,2,INDELCB02,2041,5.739097796
REGION1,2,INDELCB02,2042,5.783768584
REGION1,2,INDELCB02,2043,5.826608602
REGION1,2,INDELCB02,2044,5.868716312
REGION1,2,INDELCB02,2045,5.911922484
REGION1,2,INDELCB02,2046,5.955128656
REGION1,2,INDELCB02,2047,5.992476364
REGION1,2,INDELCB02,2048,6.027627148
REGION1,2,INDELCB02,2049,6.064608702
REGION1,2,INDELCB02,2050,6.100857948
REGION1,2,RESELCB02,2021,2.406730242
REGION1,2,RESELCB02,2022,2.577358006
REGION1,2,RESELCB02,2023,2.68390882
REGION1,2,RESELCB02,2024,2.749084232
REGION1,2,RESELCB02,2025,2.813527336
REGION1,2,RESELCB02,2026,2.875041208
REGION1,2,RESELCB02,2027,2.935456618
REGION1,2,RESELCB02,2028,2.993675104
REGION1,2,RESELCB02,2029,3.048598204
REGION1,2,RESELCB02,2030,3.102788996
REGION1,2,RESELCB02,2031,3.162105944
REGION1,2,RESELCB02,2032,3.2221552
REGION1,2,RESELCB02,2033,3.280373686
REGION1,2,RESELCB02,2034,3.33932448
REGION1,2,RESELCB02,2035,3.396810658
REGION1,2,RESELCB02,2036,3.452099912
REGION1,2,RESELCB02,2037,3.504459934
REGION1,2,RESELCB02,2038,3.553890724
REGION1,2,RESELCB02,2039,3.599659974
REGION1,2,RESELCB02,2040,3.644330762
REGION1,2,RESELCB02,2041,3.68900155
REGION1,2,RESELCB02,2042,3.732573876
REGION1,2,RESELCB02,2043,3.775780048
REGION1,2,RESELCB02,2044,3.818253912
REGION1,2,RESELCB02,2045,3.861460084
REGION1,2,RESELCB02,2046,3.904666256
REGION1,2,RESELCB02,2047,3.948604736
REGION1,2,RESELCB02,2048,3.994007832
REGION1,2,RESELCB02,2049,4.04050939
REGION1,2,RESELCB02,2050,4.08810941
REGION1,2,TRAELCB02,2021,0.024532318
REGION1,2,TRAELCB02,2022,0.038812324
REGION1,2,TRAELCB02,2023,0.063710796
REGION1,2,TRAELCB02,2024,0.103987736
REGION1,2,TRAELCB02,2025,0.158544682
REGION1,2,TRAELCB02,2026,0.218593938
REGION1,2,TRAELCB02,2027,0.27827704
REGION1,2,TRAELCB02,2028,0.337593988
REGION1,2,TRAELCB02,2029,0.39727709
REGION1,2,TRAELCB02,2030,0.455495576
REGION1,2,TRAELCB02,2031,0.50895406
REGION1,2,TRAELCB02,2032,0.56570793
REGION1,2,TRAELCB02,2033,0.623926416
REGION1,2,TRAELCB02,2034,0.683609518
REGION1,2,TRAELCB02,2035,0.744757236
REGION1,2,TRAELCB02,2036,0.80187726
REGION1,2,TRAELCB02,2037,0.85496959
REGION1,2,TRAELCB02,2038,0.903668072
REGION1,2,TRAELCB02,2039,0.948705014
REGION1,2,TRAELCB02,2040,0.991178878
REGION1,2,TRAELCB02,2041,1.031089664
REGION1,2,TRAELCB02,2042,1.06916968
REGION1,2,TRAELCB02,2043,1.105052772
REGION1,2,TRAELCB02,2044,1.139837402
REGION1,2,TRAELCB02,2045,1.173157416
REGION1,2,TRAELCB02,2046,1.205745122
REGION1,2,TRAELCB02,2047,1.237966674
REGION1,2,TRAELCB02,2048,1.269455918
REGION1,2,TRAELCB02,2049,1.300945162
REGION1,2,TRAELCB02,2050,1.331335944
REGION1,3,COMELCB02,2021,2.29556264
REGION1,3,COMELCB02,2022,2.4695804
REGION1,3,COMELCB02,2023,2.57303872
REGION1,3,COMELCB02,2024,2.64835984
REGION1,3,COMELCB02,2025,2.72108368
REGION1,3,COMELCB02,2026,2.79986784
REGION1,3,COMELCB02,2027,2.88168216
REGION1,3,COMELCB02,2028,2.94747992
REGION1,3,COMELCB02,2029,3.00332144
REGION1,3,COMELCB02,2030,3.05569992
REGION1,3,COMELCB02,2031,3.11197432
REGION1,3,COMELCB02,2032,3.17127888
REGION1,3,COMELCB02,2033,3.22452312
REGION1,3,COMELCB02,2034,3.279066
REGION1,3,COMELCB02,2035,3.33404176
REGION1,3,COMELCB02,2036,3.39248056
REGION1,3,COMELCB02,2037,3.4500536
REGION1,3,COMELCB02,2038,3.50459648
REGION1,3,COMELCB02,2039,3.55784072
REGION1,3,COMELCB02,2040,3.60459176
REGION1,3,COMELCB02,2041,3.65090992
REGION1,3,COMELCB02,2042,3.69506368
REGION1,3,COMELCB02,2043,3.73878456
REGION1,3,COMELCB02,2044,3.78077392
REGION1,3,COMELCB02,2045,3.82536056
REGION1,3,COMELCB02,2046,3.874276
REGION1,3,COMELCB02,2047,3.9262216
REGION1,3,COMELCB02,2048,3.98379464
REGION1,3,COMELCB02,2049,4.0430992
REGION1,3,COMELCB02,2050,4.10759832
REGION1,3,INDELCB02,2021,3.84051136
REGION1,3,INDELCB02,2022,4.05305544
REGION1,3,INDELCB02,2023,4.31538072
REGION1,3,INDELCB02,2024,4.45346944
REGION1,3,INDELCB02,2025,4.59112528
REGION1,3,INDELCB02,2026,4.73614008
REGION1,3,INDELCB02,2027,4.81405848
REGION1,3,INDELCB02,2028,4.98980776
REGION1,3,INDELCB02,2029,5.28676344
REGION1,3,INDELCB02,2030,5.51359256
REGION1,3,INDELCB02,2031,5.64518808
REGION1,3,INDELCB02,2032,5.96119048
REGION1,3,INDELCB02,2033,6.27199832
REGION1,3,INDELCB02,2034,6.35381264
REGION1,3,INDELCB02,2035,6.42523784
REGION1,3,INDELCB02,2036,6.4910356
REGION1,3,INDELCB02,2037,6.55077304
REGION1,3,INDELCB02,2038,6.60834608
REGION1,3,INDELCB02,2039,6.67024792
REGION1,3,INDELCB02,2040,6.731284
REGION1,3,INDELCB02,2041,6.78496112
REGION1,3,INDELCB02,2042,6.83777248
REGION1,3,INDELCB02,2043,6.88841944
REGION1,3,INDELCB02,2044,6.93820064
REGION1,3,INDELCB02,2045,6.98928048
REGION1,3,INDELCB02,2046,7.04036032
REGION1,3,INDELCB02,2047,7.08451408
REGION1,3,INDELCB02,2048,7.12607056
REGION1,3,INDELCB02,2049,7.16979144
REGION1,3,INDELCB02,2050,7.21264656
REGION1,3,RESELCB02,2021,2.84532024
REGION1,3,RESELCB02,2022,3.04704232
REGION1,3,RESELCB02,2023,3.1730104
REGION1,3,RESELCB02,2024,3.25006304
REGION1,3,RESELCB02,2025,3.32624992
REGION1,3,RESELCB02,2026,3.39897376
REGION1,3,RESELCB02,2027,3.47039896
REGION1,3,RESELCB02,2028,3.53922688
REGION1,3,RESELCB02,2029,3.60415888
REGION1,3,RESELCB02,2030,3.66822512
REGION1,3,RESELCB02,2031,3.73835168
