REGION,TECHNOLOGY,YEAR,VALUE
REGION1,LNDAGRBC1C01,2041,6.043941035612297e-08
REGION1,LNDAGRBC1C01,2042,3.8389312309721406e-07
REGION1,LNDAGRBC1C01,2043,4.4582481883049766e-07
REGION1,LNDAGRBC1C01,2044,4.979735076654765e-07
REGION1,LNDAGRBC1C01,2045,5.576873462864037e-07
REGION1,LNDAGRBC1C01,2046,6.113138005014841e-07
REGION1,LNDAGRBC1C01,2047,6.693445384250163e-07
REGION1,LNDAGRBC1C01,2048,7.142154147527124e-07
REGION1,LNDAGRBC1C01,2049,7.702293998378676e-07
REGION1,LNDAGRBC1C01,2050,8.186395477492077e-07
REGION1,LNDAGRBC1C02,2043,1.3888435035711157e-07
REGION1,LNDAGRBC1C02,2044,3.2893662892247693e-07
REGION1,LNDAGRBC1C02,2045,3.717915641944252e-07
REGION1,LNDAGRBC1C02,2046,4.039037610440764e-07
REGION1,LNDAGRBC1C02,2047,4.4035824898115363e-07
REGION1,LNDAGRBC1C02,2048,4.761436098167268e-07
REGION1,LNDAGRBC1C02,2049,5.046330550691379e-07
REGION1,LNDAGRBC1C02,2050,5.457596984957637e-07
REGION1,LNDAGRBC1C03,2037,1.7998651721432193e-06
REGION1,LNDAGRBC1C03,2038,2.5121868710057655e-06
REGION1,LNDAGRBC1C03,2039,2.0119028696004967e-06
REGION1,LNDAGRBC1C03,2040,3.444397725662868e-06
REGION1,LNDAGRBC1C03,2041,1.1758888646759314e-05
REGION1,LNDAGRBC1C03,2042,1.1878416926090366e-05
REGION1,LNDAGRBC1C03,2043,2.3263333715216367e-05
REGION1,LNDAGRBC1C03,2044,1.8056666910673385e-05
REGION1,LNDAGRBC1C03,2045,1.7453988812256776e-05
REGION1,LNDAGRBC1C03,2046,2.468832410571038e-05
REGION1,LNDAGRBC1C03,2047,1.3848362294938845e-05
REGION1,LNDAGRBC1C03,2048,2.6124549175628793e-05
REGION1,LNDAGRBC1C03,2049,1.9581342979277545e-05
REGION1,LNDAGRBC1C03,2050,2.90008427733496e-05
REGION1,LNDAGRBC1C04,2046,1.7815963654862557e-07
REGION1,LNDAGRBC1C04,2047,6.458587651720319e-07
REGION1,LNDAGRBC1C04,2048,6.891552247344009e-07
REGION1,LNDAGRBC1C04,2049,1.0986964677681646e-06
REGION1,LNDAGRBC1C04,2050,3.7275204534393114e-06
REGION1,LNDAGRBC1C06,2037,2.7382681553641677e-08
REGION1,LNDAGRBC1C06,2039,2.8734554194182345e-08
REGION1,LNDAGRBC1C06,2040,4.4853405400419726e-07
REGION1,LNDAGRBC1C06,2041,1.5405558921093336e-07
REGION1,LNDAGRBC1C06,2042,6.534805300543637e-07
REGION1,LNDAGRBC1C06,2043,1.9225135770599883e-07
REGION1,LNDAGRBC1C06,2044,1.5742616270074252e-06
REGION1,LNDAGRBC1C06,2045,1.148280066819552e-06
