REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DEMCOMBIO,2021,5.191788388086216
REGION1,DEMCOMBIO,2022,7.807200583588278
REGION1,DEMCOMBIO,2023,10.099791231149904
REGION1,DEMCOMBIO,2024,14.221733489378392
REGION1,DEMCOMBIO,2025,20.288661488502772
REGION1,DEMCOMBIO,2026,25.74553799226968
REGION1,DEMCOMBIO,2027,32.47184971997979
REGION1,DEMCOMBIO,2028,38.11079020734718
REGION1,DEMCOMBIO,2029,45.12724445540905
REGION1,DEMCOMBIO,2030,51.34501076796139
REGION1,DEMCOMBIO,2031,48.31287462606512
REGION1,DEMCOMBIO,2032,45.45308475897997
REGION1,DEMCOMBIO,2033,43.09845596445239
REGION1,DEMCOMBIO,2034,40.937465002169766
REGION1,DEMCOMBIO,2035,38.85005106822011
REGION1,DEMCOMBIO,2036,36.9014694659657
REGION1,DEMCOMBIO,2037,34.987781760547485
REGION1,DEMCOMBIO,2038,33.23228270126109
REGION1,DEMCOMBIO,2039,31.593022119584617
REGION1,DEMCOMBIO,2040,30.03452494318956
REGION1,DEMCOMBIO,2041,28.578563016536265
REGION1,DEMCOMBIO,2042,27.19315863177927
REGION1,DEMCOMBIO,2043,25.921599107969406
REGION1,DEMCOMBIO,2044,24.731718754235967
REGION1,DEMCOMBIO,2045,23.59638120265407
REGION1,DEMCOMBIO,2046,22.55343608153137
REGION1,DEMCOMBIO,2047,21.575524933605543
REGION1,DEMCOMBIO,2048,20.676201649471626
REGION1,DEMCOMBIO,2049,19.79617789616496
REGION1,DEMCOMBIO,2050,19.002870297710324
REGION1,DEMCOMRPP,2021,43.88964193075085
REGION1,DEMCOMRPP,2022,42.597108755562566
REGION1,DEMCOMRPP,2023,41.074992322056445
REGION1,DEMCOMRPP,2024,39.54097140401944
REGION1,DEMCOMRPP,2025,38.00250155264349
REGION1,DEMCOMRPP,2026,36.630234556569086
REGION1,DEMCOMRPP,2027,35.45869187352316
REGION1,DEMCOMRPP,2028,34.21648471118242
REGION1,DEMCOMRPP,2029,32.9177223515447
REGION1,DEMCOMRPP,2030,31.710042027517943
REGION1,DEMCOMRPP,2031,30.62840938828139
REGION1,DEMCOMRPP,2032,29.659478688352447
REGION1,DEMCOMRPP,2033,28.63566619940493
REGION1,DEMCOMRPP,2034,27.642104608070664
REGION1,DEMCOMRPP,2035,26.71347650018173
REGION1,DEMCOMRPP,2036,25.810608655157388
REGION1,DEMCOMRPP,2037,24.933153447300462
REGION1,DEMCOMRPP,2038,24.080737944828662
REGION1,DEMCOMRPP,2039,23.223973383670742
REGION1,DEMCOMRPP,2040,22.366587528414875
REGION1,DEMCOMRPP,2041,21.53819539773283
REGION1,DEMCOMRPP,2042,20.737979870135216
REGION1,DEMCOMRPP,2043,19.965135899819604
REGION1,DEMCOMRPP,2044,19.24158856135544
REGION1,DEMCOMRPP,2045,18.541678076214794
REGION1,DEMCOMRPP,2046,17.885399311167852
REGION1,DEMCOMRPP,2047,17.269202758204692
REGION1,DEMCOMRPP,2048,16.70851435696425
REGION1,DEMCOMRPP,2049,16.162065661152166
REGION1,DEMCOMRPP,2050,15.663675971160671
REGION1,DEMCOMNGS,2021,363.74040288959606
REGION1,DEMCOMNGS,2022,365.353286881588
REGION1,DEMCOMNGS,2023,354.36697563178944
REGION1,DEMCOMNGS,2024,329.39321962052446
REGION1,DEMCOMNGS,2025,308.29628740413455
REGION1,DEMCOMNGS,2026,289.53858697036094
REGION1,DEMCOMNGS,2027,267.80231381766
REGION1,DEMCOMNGS,2028,246.2237243195244
REGION1,DEMCOMNGS,2029,226.75746784881105
REGION1,DEMCOMNGS,2030,208.87159187441125
REGION1,DEMCOMNGS,2031,196.5747460769705
