REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DEMAGRGWTBC1,2021,0.012609936188100027
REGION1,DEMAGRGWTBC1,2022,0.012434406759381317
REGION1,DEMAGRGWTBC1,2023,0.014187417579936116
REGION1,DEMAGRGWTBC1,2025,0.01479059231942564
REGION1,DEMAGRGWTBC1,2026,0.01487753718966242
REGION1,DEMAGRGWTBC1,2027,0.01522511747739466
REGION1,DEMAGRGWTBC1,2028,0.015948410475822627
REGION1,DEMAGRGWTBC1,2029,0.017132337494572273
REGION1,DEMAGRGWTBC1,2030,0.017533932724780665
REGION1,DEMAGRGWTBC1,2031,0.01576562061253025
REGION1,DEMAGRGWTBC1,2032,0.015433053113536864
REGION1,DEMAGRGWTBC1,2033,0.015645260492887274
REGION1,DEMAGRGWTBC1,2034,0.01583323509223964
REGION1,DEMAGRGWTBC1,2035,0.016055467560767974
REGION1,DEMAGRGWTBC1,2036,0.01660957673549313
REGION1,DEMAGRGWTBC1,2037,0.016848112285102846
REGION1,DEMAGRGWTBC1,2039,0.01720321535710509
REGION1,DEMAGRGWTBC1,2040,0.017364108280043585
REGION1,DEMAGRGWTBC1,2042,0.01753992647451135
REGION1,DEMAGRGWTBC1,2043,0.017795995671195674
REGION1,DEMAGRGWTBC1,2044,0.01798628882964546
REGION1,DEMAGRGWTBC1,2045,0.01819671323945335
REGION1,DEMAGRGWTBC1,2047,0.01860648502239082
REGION1,DEMAGRGWTBC1,2048,0.018816909432199797
REGION1,DEMAGRGWTBC1,2049,0.019034299770735827
REGION1,DEMAGRGWTBC1,2050,0.019254092638859768
REGION1,DEMAGRSURBC1,2024,0.0148192591120784
REGION1,DEMAGRSURBC1,2038,0.01709681506288112
REGION1,DEMAGRSURBC1,2041,0.017350808815406828
REGION1,DEMAGRSURBC1,2046,0.01841258847920912
REGION1,DEMCOMBIO,2021,0.024099437087773266
REGION1,DEMCOMBIO,2022,0.03899546800301816
REGION1,DEMCOMBIO,2023,0.0543159393012182
REGION1,DEMCOMBIO,2024,0.076420583396756
REGION1,DEMCOMBIO,2025,0.11731136624241272
REGION1,DEMCOMBIO,2026,0.1525240689370939
REGION1,DEMCOMBIO,2027,0.23153245418217683
REGION1,DEMCOMBIO,2028,0.26158289786169464
REGION1,DEMCOMBIO,2029,0.33371620018551096
REGION1,DEMCOMBIO,2030,0.420634793242669
REGION1,DEMCOMBIO,2031,0.4062980790961076
REGION1,DEMCOMBIO,2032,0.3815922795856841
REGION1,DEMCOMBIO,2033,0.4004098510700661
REGION1,DEMCOMBIO,2034,0.38130324494149453
REGION1,DEMCOMBIO,2035,0.4117663259468673
REGION1,DEMCOMBIO,2036,0.4413474433307282
REGION1,DEMCOMBIO,2037,0.436173419384507
