REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,1,BATTERY_STORAGE,ELCB02,2027,0.08716173134931579
REGION1,1,BATTERY_STORAGE,ELCB02,2033,1.1162700581709302
REGION1,1,BATTERY_STORAGE,ELCB02,2035,1.7180194927472532
REGION1,1,BATTERY_STORAGE,ELCB02,2039,2.752304099120751
REGION1,1,BATTERY_STORAGE,ELCB02,2042,3.6188265811210383
REGION1,1,BATTERY_STORAGE,ELCB02,2043,3.971435450045555
REGION1,1,BATTERY_STORAGE,ELCB02,2047,5.036618804858472
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2021,0.011984483353170244
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2022,0.01181766018411598
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2023,0.013483721667971259
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2025,0.0140569789403821
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2026,0.014139611345055135
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2027,0.014469951650515856
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2028,0.015157369316221794
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2029,0.016282573554841456
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2030,0.01666424966163151
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2031,0.01498364583014872
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2032,0.014667573679105407
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2033,0.014869255572440034
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2034,0.015047906631664524
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2035,0.015259116369753854
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2036,0.01578574172941264
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2037,0.016012445915761713
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2039,0.016349935875392643
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2040,0.01650284850935339
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2042,0.016669946121375553
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2043,0.016913314285904334
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2044,0.01709416890369501
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2045,0.017294156262776427
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2047,0.0176836033652802
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2048,0.01788359072436265
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2049,0.018090198502107295
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2050,0.018299089643972286
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2024,0.014084223860119283
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2038,0.01624881303576218
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2041,0.016490208698162617
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2046,0.017499324090640315
REGION1,1,DEMCOMBIO,COMBIO,2021,0.022904105008219666
REGION1,1,DEMCOMBIO,COMBIO,2022,0.03706129279006839
REGION1,1,DEMCOMBIO,COMBIO,2023,0.051621868711877676
REGION1,1,DEMCOMBIO,COMBIO,2024,0.07263012246027675
REGION1,1,DEMCOMBIO,COMBIO,2025,0.11149272247678883
REGION1,1,DEMCOMBIO,COMBIO,2026,0.14495887511781372
REGION1,1,DEMCOMBIO,COMBIO,2027,0.2200484444547404
REGION1,1,DEMCOMBIO,COMBIO,2028,0.2486083861277541
REGION1,1,DEMCOMBIO,COMBIO,2029,0.31716387665630896
REGION1,1,DEMCOMBIO,COMBIO,2030,0.3997713074978319
REGION1,1,DEMCOMBIO,COMBIO,2032,0.36266530251823353
REGION1,1,DEMCOMBIO,COMBIO,2033,0.38054952245699003
REGION1,1,DEMCOMBIO,COMBIO,2034,0.36239060399239575
REGION1,1,DEMCOMBIO,COMBIO,2035,0.3913427161799019
REGION1,1,DEMCOMBIO,COMBIO,2037,0.4145392177830346
REGION1,1,DEMCOMBIO,COMBIO,2039,0.3354245904493279
REGION1,1,DEMCOMBIO,COMBIO,2040,0.3348218508438483
REGION1,1,DEMCOMBIO,COMBIO,2041,0.3449151879823927
REGION1,1,DEMCOMBIO,COMBIO,2042,0.3650572825045809
REGION1,1,DEMCOMBIO,COMBIO,2044,0.055608855574773054
REGION1,1,DEMCOMBIO,COMBIO,2045,0.3620087690523852
REGION1,1,DEMCOMBIO,COMBIO,2046,0.33693143946302656
REGION1,1,DEMCOMBIO,COMBIO,2047,0.34838520154526764
REGION1,1,DEMCOMBIO,COMBIO,2048,0.34636820820717684
REGION1,1,DEMCOMBIO,COMBIO,2049,0.3423560959123418
REGION1,1,DEMCOMBIO,COMBIO,2050,0.34506842413699956
