REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
REGION1,22,LNDAGRBC1C01,52,2023,0.15638411908423677
REGION1,19,LNDAGRBC1C01,52,2036,0.6978017941995631
REGION1,24,LNDAGRBC1C02,52,2023,0.2259745150961905
REGION1,23,LNDAGRBC1C02,52,2036,0.02560075865813971
REGION1,1,LNDAGRBC1C05,52,2021,547.3862508823012
REGION1,2,LNDAGRBC1C05,52,2021,547.3862508823012
REGION1,3,LNDAGRBC1C05,52,2021,547.3862508823012
REGION1,4,LNDAGRBC1C05,52,2021,547.3862508823012
REGION1,5,LNDAGRBC1C05,52,2021,547.3862508823012
REGION1,6,LNDAGRBC1C05,52,2021,547.3862508823012
REGION1,7,LNDAGRBC1C05,52,2021,547.386250882301
REGION1,8,LNDAGRBC1C05,52,2021,547.386250882301
REGION1,9,LNDAGRBC1C05,52,2021,547.386250882301
REGION1,10,LNDAGRBC1C05,52,2021,547.386250882301
REGION1,11,LNDAGRBC1C05,52,2021,547.386250882301
REGION1,12,LNDAGRBC1C05,52,2021,547.386250882301
REGION1,13,LNDAGRBC1C05,52,2021,547.386250882301
REGION1,14,LNDAGRBC1C05,52,2021,547.386250882301
REGION1,15,LNDAGRBC1C05,52,2021,547.386250882301
REGION1,16,LNDAGRBC1C05,52,2021,547.386250882301
REGION1,17,LNDAGRBC1C05,52,2021,547.386250882301
REGION1,18,LNDAGRBC1C05,52,2021,547.386250882301
REGION1,19,LNDAGRBC1C05,52,2021,547.386250882301
REGION1,20,LNDAGRBC1C05,52,2021,547.386250882301
REGION1,21,LNDAGRBC1C05,52,2021,547.386250882301
REGION1,22,LNDAGRBC1C05,52,2021,547.386250882301
REGION1,23,LNDAGRBC1C05,52,2021,547.386250882301
REGION1,24,LNDAGRBC1C05,52,2021,547.386250882301
REGION1,1,LNDAGRBC1C05,52,2022,547.4807802828168
REGION1,2,LNDAGRBC1C05,52,2022,547.4807802828168
REGION1,3,LNDAGRBC1C05,52,2022,547.4807802828168
REGION1,4,LNDAGRBC1C05,52,2022,547.4807802828168
REGION1,5,LNDAGRBC1C05,52,2022,547.4807802828168
REGION1,6,LNDAGRBC1C05,52,2022,547.4807802828168
REGION1,7,LNDAGRBC1C05,52,2022,547.4807802828167
REGION1,8,LNDAGRBC1C05,52,2022,547.4807802828167
REGION1,9,LNDAGRBC1C05,52,2022,547.4807802828167
REGION1,10,LNDAGRBC1C05,52,2022,547.4807802828167
REGION1,11,LNDAGRBC1C05,52,2022,547.4807802828167
REGION1,12,LNDAGRBC1C05,52,2022,547.4807802828167
REGION1,13,LNDAGRBC1C05,52,2022,547.4807802828167
REGION1,14,LNDAGRBC1C05,52,2022,547.4807802828167
