REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
REGION1,1,BATTERY_STORAGE,57,ELCB02,2027,2.8921847220454846
REGION1,1,BATTERY_STORAGE,57,ELCB02,2033,37.03987011203549
REGION1,1,BATTERY_STORAGE,57,ELCB02,2035,57.007010441158975
REGION1,1,BATTERY_STORAGE,57,ELCB02,2039,91.32645419809782
REGION1,1,BATTERY_STORAGE,57,ELCB02,2042,120.07924564628924
REGION1,1,BATTERY_STORAGE,57,ELCB02,2043,131.77944902423914
REGION1,1,BATTERY_STORAGE,57,ELCB02,2047,167.12416943394055
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2021,0.39766694762792254
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2022,0.3921314515638492
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2023,0.4474144008008654
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2025,0.46643611938540697
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2026,0.4691780128131941
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2027,0.480139304767118
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2028,0.5029490727655423
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2029,0.5402853952288312
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2030,0.552950102408683
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2031,0.497184611636754
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2032,0.48669676298849857
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2033,0.49338893490369307
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2034,0.49931690186886935
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2035,0.5063252249963789
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2036,0.5237996119305114
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2037,0.5313220690230034
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2039,0.5425205995016661
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2040,0.5475945187194545
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2042,0.5531391213001899
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2043,0.5612145194868268
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2044,0.5672156045316993
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2045,0.5738515487194008
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2047,0.5867741116661169
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2048,0.5934100558538528
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2049,0.6002656775699251
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2050,0.6071970654590817
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2024,0.4673401553585044
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2038,0.5391651598230188
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2041,0.5471751068026698
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2046,0.5806593902803389
REGION1,1,DEMCOMBIO,1,COMBIO,2021,0.7599998480000177
REGION1,1,DEMCOMBIO,1,COMBIO,2022,1.2297610789431808
REGION1,1,DEMCOMBIO,1,COMBIO,2023,1.7129074618032172
REGION1,1,DEMCOMBIO,1,COMBIO,2024,2.409999518000097
REGION1,1,DEMCOMBIO,1,COMBIO,2025,3.699531245820728
REGION1,1,DEMCOMBIO,1,COMBIO,2026,4.809999038000193
REGION1,1,DEMCOMBIO,1,COMBIO,2027,7.301607475089128
REGION1,1,DEMCOMBIO,1,COMBIO,2028,8.249278266966403
REGION1,1,DEMCOMBIO,1,COMBIO,2029,10.524074089050274
REGION1,1,DEMCOMBIO,1,COMBIO,2030,13.265138839700812
REGION1,1,DEMCOMBIO,1,COMBIO,2032,12.033894129014136
