REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,1,BATTERY_STORAGE,ELCB02,2024,19.222220285275007
REGION1,1,BATTERY_STORAGE,ELCB02,2027,63.202357191352526
REGION1,1,BATTERY_STORAGE,ELCB02,2028,77.16257556351091
REGION1,1,BATTERY_STORAGE,ELCB02,2029,29.20948419907252
REGION1,1,BATTERY_STORAGE,ELCB02,2030,115.8219610033252
REGION1,1,BATTERY_STORAGE,ELCB02,2031,143.10381315396612
REGION1,1,BATTERY_STORAGE,ELCB02,2032,130.3941685310772
REGION1,1,BATTERY_STORAGE,ELCB02,2033,155.0137366887044
REGION1,1,BATTERY_STORAGE,ELCB02,2034,110.57539595904102
REGION1,1,BATTERY_STORAGE,ELCB02,2035,160.98110700079062
REGION1,1,BATTERY_STORAGE,ELCB02,2036,97.558494750308
REGION1,1,BATTERY_STORAGE,ELCB02,2037,91.56802987324654
REGION1,1,BATTERY_STORAGE,ELCB02,2038,85.92048964031035
REGION1,1,BATTERY_STORAGE,ELCB02,2039,171.4133065742705
REGION1,1,BATTERY_STORAGE,ELCB02,2040,72.64015987600341
REGION1,1,BATTERY_STORAGE,ELCB02,2041,65.76853248984648
REGION1,1,BATTERY_STORAGE,ELCB02,2042,178.05111450707727
REGION1,1,BATTERY_STORAGE,ELCB02,2043,180.11473101340832
REGION1,1,BATTERY_STORAGE,ELCB02,2044,42.39924384663666
REGION1,1,BATTERY_STORAGE,ELCB02,2045,34.784758934769826
REGION1,1,BATTERY_STORAGE,ELCB02,2046,25.78175435908324
REGION1,1,BATTERY_STORAGE,ELCB02,2047,188.29787388759195
REGION1,1,BATTERY_STORAGE,ELCB02,2048,16.469206992059366
REGION1,1,BATTERY_STORAGE,ELCB02,2049,11.636112788920254
REGION1,1,BATTERY_STORAGE,ELCB02,2050,6.695854634492233
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2024,0.4673401553585044
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2038,0.5391651598230188
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2041,0.5471751068026698
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2046,0.5806593902803389
REGION1,1,DEMCOMBIO,BIO,2021,0.7599998480000177
REGION1,1,DEMCOMBIO,BIO,2022,1.2297610789431808
REGION1,1,DEMCOMBIO,BIO,2023,1.7129074618032172
REGION1,1,DEMCOMBIO,BIO,2024,2.409999518000097
REGION1,1,DEMCOMBIO,BIO,2025,3.699531245820728
REGION1,1,DEMCOMBIO,BIO,2026,4.809999038000193
REGION1,1,DEMCOMBIO,BIO,2027,7.301607475089128
REGION1,1,DEMCOMBIO,BIO,2028,8.249278266966403
REGION1,1,DEMCOMBIO,BIO,2029,10.524074089050274
REGION1,1,DEMCOMBIO,BIO,2030,13.265138839700812
REGION1,1,DEMCOMBIO,BIO,2032,12.033894129014136
REGION1,1,DEMCOMBIO,BIO,2033,12.627325063345603
REGION1,1,DEMCOMBIO,BIO,2034,12.024779132474974
REGION1,1,DEMCOMBIO,BIO,2035,12.985462855060408
REGION1,1,DEMCOMBIO,BIO,2037,13.755164953709812
REGION1,1,DEMCOMBIO,BIO,2039,11.129997774000447
REGION1,1,DEMCOMBIO,BIO,2040,11.109997778000444
REGION1,1,DEMCOMBIO,BIO,2041,11.444913055779416
REGION1,1,DEMCOMBIO,BIO,2042,12.113264374015664
REGION1,1,DEMCOMBIO,BIO,2044,1.8452029349811097
REGION1,1,DEMCOMBIO,BIO,2045,12.01210915492008
REGION1,1,DEMCOMBIO,BIO,2046,11.179997764000449
REGION1,1,DEMCOMBIO,BIO,2047,11.560054414911177
REGION1,1,DEMCOMBIO,BIO,2048,11.493126908692709
REGION1,1,DEMCOMBIO,BIO,2049,11.359997728000454
REGION1,1,DEMCOMBIO,BIO,2050,11.449997710000464
REGION1,1,DEMCOMELCB02,ELCB02,2021,56.829043368616645
REGION1,1,DEMCOMELCB02,ELCB02,2022,61.137034210439
REGION1,1,DEMCOMELCB02,ELCB02,2023,63.6982526462488
REGION1,1,DEMCOMELCB02,ELCB02,2024,65.56290539867936
REGION1,1,DEMCOMELCB02,ELCB02,2025,67.36325978033645
REGION1,1,DEMCOMELCB02,ELCB02,2026,69.31364369379833
REGION1,1,DEMCOMELCB02,ELCB02,2027,71.33904237316256
REGION1,1,DEMCOMELCB02,ELCB02,2028,72.96793443275706
REGION1,1,DEMCOMELCB02,ELCB02,2029,74.35034940438662
REGION1,1,DEMCOMELCB02,ELCB02,2030,75.6470332149849
REGION1,1,DEMCOMELCB02,ELCB02,2031,77.04016458174337
REGION1,1,DEMCOMELCB02,ELCB02,2032,78.5083107144042
REGION1,1,DEMCOMELCB02,ELCB02,2033,79.82642731526032
REGION1,1,DEMCOMELCB02,ELCB02,2034,81.17669310150313
REGION1,1,DEMCOMELCB02,ELCB02,2035,82.53767528287486
REGION1,1,DEMCOMELCB02,ELCB02,2036,83.98438862527789
REGION1,1,DEMCOMELCB02,ELCB02,2037,85.4096691774231
REGION1,1,DEMCOMELCB02,ELCB02,2038,86.75993496366593
REGION1,1,DEMCOMELCB02,ELCB02,2039,88.07805156452201
REGION1,1,DEMCOMELCB02,ELCB02,2040,89.23542223844441
REGION1,1,DEMCOMELCB02,ELCB02,2041,90.38207651723792
REGION1,1,DEMCOMELCB02,ELCB02,2042,91.4751488203869
REGION1,1,DEMCOMELCB02,ELCB02,2043,92.55750472840694
REGION1,1,DEMCOMELCB02,ELCB02,2044,93.59699505591132
REGION1,1,DEMCOMELCB02,ELCB02,2045,94.7007837541892
REGION1,1,DEMCOMELCB02,ELCB02,2046,95.91173640375618
REGION1,1,DEMCOMELCB02,ELCB02,2047,97.19770381922552
REGION1,1,DEMCOMELCB02,ELCB02,2048,98.62298437137072
REGION1,1,DEMCOMELCB02,ELCB02,2049,100.09113050403158
REGION1,1,DEMCOMELCB02,ELCB02,2050,101.68787337823936
REGION1,1,DEMCOMNGS,NGS,2021,74.09998518000299
REGION1,1,DEMCOMNGS,NGS,2022,78.14998437000315
REGION1,1,DEMCOMNGS,NGS,2023,80.42044785340671
REGION1,1,DEMCOMNGS,NGS,2024,77.67998446400314
REGION1,1,DEMCOMNGS,NGS,2025,76.33998473200309
REGION1,1,DEMCOMNGS,NGS,2026,75.27998494400302
REGION1,1,DEMCOMNGS,NGS,2027,73.10998537800295
REGION1,1,DEMCOMNGS,NGS,2028,70.57998588400284
REGION1,1,DEMCOMNGS,NGS,2029,68.24998635000276
REGION1,1,DEMCOMNGS,NGS,2030,66.00998679800267
REGION1,1,DEMCOMNGS,NGS,2031,65.22998695400264
REGION1,1,DEMCOMNGS,NGS,2032,64.4499871100026
REGION1,1,DEMCOMNGS,NGS,2033,64.16998716600258
REGION1,1,DEMCOMNGS,NGS,2034,63.989987202002574
REGION1,1,DEMCOMNGS,NGS,2035,63.799987240002565
REGION1,1,DEMCOMNGS,NGS,2036,63.57998728400256
REGION1,1,DEMCOMNGS,NGS,2037,63.31998733600256
REGION1,1,DEMCOMNGS,NGS,2038,63.12998737400255
REGION1,1,DEMCOMNGS,NGS,2039,63.04998739000254
REGION1,1,DEMCOMNGS,NGS,2040,62.93998741200254
REGION1,1,DEMCOMNGS,NGS,2041,62.86998742600253
REGION1,1,DEMCOMNGS,NGS,2042,62.829987434002526
REGION1,1,DEMCOMNGS,NGS,2043,62.86998742600254
REGION1,1,DEMCOMNGS,NGS,2044,62.96998740600254
REGION1,1,DEMCOMNGS,NGS,2045,63.10998737800254
REGION1,1,DEMCOMNGS,NGS,2046,63.31998733600256
REGION1,1,DEMCOMNGS,NGS,2047,63.6099872780026
REGION1,1,DEMCOMNGS,NGS,2048,63.96998720600258
REGION1,1,DEMCOMNGS,NGS,2049,64.35998712800391
REGION1,1,DEMCOMNGS,NGS,2050,64.8199870360026
REGION1,1,DEMCOMRPP,RPP,2021,6.28999874200025
REGION1,1,DEMCOMRPP,RPP,2022,6.409998718000256
REGION1,1,DEMCOMRPP,RPP,2023,6.48999870200026
REGION1,1,DEMCOMRPP,RPP,2024,6.559998688000262
REGION1,1,DEMCOMRPP,RPP,2025,6.619998676000264
REGION1,1,DEMCOMRPP,RPP,2026,6.69999866000027
REGION1,1,DEMCOMRPP,RPP,2027,6.809998638000272
REGION1,1,DEMCOMRPP,RPP,2028,6.899998620000275
REGION1,1,DEMCOMRPP,RPP,2029,6.969998606000279
REGION1,1,DEMCOMRPP,RPP,2030,7.049998590000279
REGION1,1,DEMCOMRPP,RPP,2031,7.149998570000284
REGION1,1,DEMCOMRPP,RPP,2032,7.26999854600029
REGION1,1,DEMCOMRPP,RPP,2033,7.369998526000295
REGION1,1,DEMCOMRPP,RPP,2034,7.469998506000298
REGION1,1,DEMCOMRPP,RPP,2035,7.579998484000301
REGION1,1,DEMCOMRPP,RPP,2036,7.689998462000309
REGION1,1,DEMCOMRPP,RPP,2037,7.799998440000314
REGION1,1,DEMCOMRPP,RPP,2038,7.909998418000317
REGION1,1,DEMCOMRPP,RPP,2039,8.00999839800032
REGION1,1,DEMCOMRPP,RPP,2040,8.09999838000032
REGION1,1,DEMCOMRPP,RPP,2041,8.18999836200033
REGION1,1,DEMCOMRPP,RPP,2042,8.279998344000331
REGION1,1,DEMCOMRPP,RPP,2043,8.369998326000333
REGION1,1,DEMCOMRPP,RPP,2044,8.46999830600034
REGION1,1,DEMCOMRPP,RPP,2045,8.569998286000342
REGION1,1,DEMCOMRPP,RPP,2046,8.679998264000346
REGION1,1,DEMCOMRPP,RPP,2047,8.799998240000354
REGION1,1,DEMCOMRPP,RPP,2048,8.939998212000356
REGION1,1,DEMCOMRPP,RPP,2049,9.07999818400036
REGION1,1,DEMCOMRPP,RPP,2050,9.239998152000368
REGION1,1,DEMINDBIO,BIO,2021,185.8299628340074
REGION1,1,DEMINDBIO,BIO,2022,198.79137631634688
REGION1,1,DEMINDBIO,BIO,2023,201.09603979152487
REGION1,1,DEMINDBIO,BIO,2024,204.66349683702205
REGION1,1,DEMINDBIO,BIO,2025,207.64537935022568
REGION1,1,DEMINDBIO,BIO,2026,213.74782906506977
REGION1,1,DEMINDBIO,BIO,2027,223.9763581832524
REGION1,1,DEMINDBIO,BIO,2028,231.22105013078905
REGION1,1,DEMINDBIO,BIO,2029,244.43896754671195
REGION1,1,DEMINDBIO,BIO,2030,253.87488304257283
REGION1,1,DEMINDBIO,BIO,2031,254.8032660493372
REGION1,1,DEMINDBIO,BIO,2032,255.21716955003944
REGION1,1,DEMINDBIO,BIO,2033,257.0723045703362
REGION1,1,DEMINDBIO,BIO,2034,257.377048184755
REGION1,1,DEMINDBIO,BIO,2035,243.52213663862207
REGION1,1,DEMINDBIO,BIO,2036,266.37369869857145
REGION1,1,DEMINDBIO,BIO,2037,265.50253904704823
REGION1,1,DEMINDBIO,BIO,2038,264.7748582663134
REGION1,1,DEMINDBIO,BIO,2039,212.57971065075537
REGION1,1,DEMINDBIO,BIO,2040,229.0833239748476
REGION1,1,DEMINDBIO,BIO,2041,264.6025251922072
REGION1,1,DEMINDBIO,BIO,2042,235.29839172306643
REGION1,1,DEMINDBIO,BIO,2043,264.05646002393934
REGION1,1,DEMINDBIO,BIO,2044,267.3828833710079
REGION1,1,DEMINDBIO,BIO,2045,266.07932490727046
REGION1,1,DEMINDBIO,BIO,2046,266.45994670801053
REGION1,1,DEMINDBIO,BIO,2047,267.4199465160108
REGION1,1,DEMINDBIO,BIO,2048,268.5304534224998
REGION1,1,DEMINDBIO,BIO,2049,269.53994609201084
REGION1,1,DEMINDBIO,BIO,2050,270.7099458580109
REGION1,1,DEMINDDSL,DSL,2021,96.38998072200387
REGION1,1,DEMINDDSL,DSL,2022,95.7699808460038
REGION1,1,DEMINDDSL,DSL,2023,98.44998031000397
REGION1,1,DEMINDDSL,DSL,2024,100.59997988000404
REGION1,1,DEMINDDSL,DSL,2025,102.66997946600412
REGION1,1,DEMINDDSL,DSL,2026,104.4199791160042
REGION1,1,DEMINDDSL,DSL,2027,104.0399791920042
REGION1,1,DEMINDDSL,DSL,2028,103.6099792780041
REGION1,1,DEMINDDSL,DSL,2029,105.75997884800432
REGION1,1,DEMINDDSL,DSL,2030,107.92997841400437
REGION1,1,DEMINDDSL,DSL,2031,108.73997825200436
REGION1,1,DEMINDDSL,DSL,2032,108.71997825600435
REGION1,1,DEMINDDSL,DSL,2033,109.54997809000436
REGION1,1,DEMINDDSL,DSL,2034,110.37997792400444
REGION1,1,DEMINDDSL,DSL,2035,110.97997780400443
REGION1,1,DEMINDDSL,DSL,2036,111.43997771200446
REGION1,1,DEMINDDSL,DSL,2037,111.8199776360045
REGION1,1,DEMINDDSL,DSL,2038,112.16997756600448
REGION1,1,DEMINDDSL,DSL,2039,112.68997746200456
REGION1,1,DEMINDDSL,DSL,2040,113.44997731000456
REGION1,1,DEMINDDSL,DSL,2041,114.3799771240046
REGION1,1,DEMINDDSL,DSL,2042,115.3899769220046
REGION1,1,DEMINDDSL,DSL,2043,116.53997669200469
REGION1,1,DEMINDDSL,DSL,2044,117.84997643000472
REGION1,1,DEMINDDSL,DSL,2045,119.36997612600476
REGION1,1,DEMINDDSL,DSL,2046,120.97997580400482
REGION1,1,DEMINDDSL,DSL,2047,122.58997548200485
REGION1,1,DEMINDDSL,DSL,2048,124.22997515400502
REGION1,1,DEMINDDSL,DSL,2049,125.91997481600504
REGION1,1,DEMINDDSL,DSL,2050,127.59997448000507
REGION1,1,DEMINDELCB02,ELCB02,2021,95.0758575837011
REGION1,1,DEMINDELCB02,ELCB02,2022,100.33760759199654
REGION1,1,DEMINDELCB02,ELCB02,2023,106.8317430401168
