REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,TIMESLICE,VALUE
REGION1,BATTERY_STORAGE,ELCB02,1,2024,1,19.222220285275007
REGION1,BATTERY_STORAGE,ELCB02,1,2024,2,15.655155181185142
REGION1,BATTERY_STORAGE,ELCB02,1,2024,3,19.222220285275007
REGION1,BATTERY_STORAGE,ELCB02,1,2024,8,19.222220285275007
REGION1,BATTERY_STORAGE,ELCB02,1,2024,9,19.222220285275007
REGION1,BATTERY_STORAGE,ELCB02,1,2024,10,19.222220285275007
REGION1,BATTERY_STORAGE,ELCB02,1,2024,13,19.222220285275007
REGION1,BATTERY_STORAGE,ELCB02,1,2024,14,19.222220285275007
REGION1,BATTERY_STORAGE,ELCB02,1,2024,18,17.21028916653597
REGION1,BATTERY_STORAGE,ELCB02,1,2024,21,19.222220285275007
REGION1,BATTERY_STORAGE,ELCB02,1,2025,3,23.546880893042367
REGION1,BATTERY_STORAGE,ELCB02,1,2025,5,35.65052673331098
REGION1,BATTERY_STORAGE,ELCB02,1,2025,7,35.65052673331098
REGION1,BATTERY_STORAGE,ELCB02,1,2025,11,35.65052673331098
REGION1,BATTERY_STORAGE,ELCB02,1,2025,12,35.65052673331098
REGION1,BATTERY_STORAGE,ELCB02,1,2025,13,35.65052673331098
REGION1,BATTERY_STORAGE,ELCB02,1,2025,14,12.133584477853455
REGION1,BATTERY_STORAGE,ELCB02,1,2025,18,18.638350654296215
REGION1,BATTERY_STORAGE,ELCB02,1,2025,20,35.65052673331098
REGION1,BATTERY_STORAGE,ELCB02,1,2025,23,35.65052673331098
REGION1,BATTERY_STORAGE,ELCB02,1,2026,2,19.07266130106021
REGION1,BATTERY_STORAGE,ELCB02,1,2026,3,52.4100837279444
REGION1,BATTERY_STORAGE,ELCB02,1,2026,9,52.4100837279444
REGION1,BATTERY_STORAGE,ELCB02,1,2026,10,24.825911320596667
REGION1,BATTERY_STORAGE,ELCB02,1,2026,12,52.4100837279444
REGION1,BATTERY_STORAGE,ELCB02,1,2026,13,52.4100837279444
REGION1,BATTERY_STORAGE,ELCB02,1,2026,14,14.6924834029997
REGION1,BATTERY_STORAGE,ELCB02,1,2026,18,5.844222294308886
REGION1,BATTERY_STORAGE,ELCB02,1,2026,23,52.4100837279444
REGION1,BATTERY_STORAGE,ELCB02,1,2027,1,63.202357191352526
REGION1,BATTERY_STORAGE,ELCB02,1,2027,4,51.36199159751913
REGION1,BATTERY_STORAGE,ELCB02,1,2027,5,41.535933197156176
REGION1,BATTERY_STORAGE,ELCB02,1,2027,11,66.094541913398
REGION1,BATTERY_STORAGE,ELCB02,1,2027,12,66.094541913398
REGION1,BATTERY_STORAGE,ELCB02,1,2027,13,65.39935420526662
REGION1,BATTERY_STORAGE,ELCB02,1,2027,14,31.166632081150475
REGION1,BATTERY_STORAGE,ELCB02,1,2027,15,9.278371097848817
