REGION,TECHNOLOGY,DAYTYPE,YEAR,VALUE
REGION1,BATTERY,1,2021,0.5652320875061037
REGION1,BATTERY,1,2022,0.5652320875061001
REGION1,BATTERY,1,2023,0.5652320875061001
REGION1,BATTERY,1,2024,0.5652320875061001
REGION1,BATTERY,1,2025,0.09665859961144224
REGION1,BATTERY,1,2026,0.13672686945170107
REGION1,BATTERY,1,2027,0.14381520328021077
REGION1,BATTERY,1,2028,0.1062418347222428
REGION1,BATTERY,1,2029,0.35646125224744635
REGION1,BATTERY,1,2030,0.5418517240042834
REGION1,BATTERY,1,2031,0.6627090619887028
REGION1,BATTERY,1,2032,1.540975360770017
REGION1,BATTERY,1,2033,2.4924673587987813
REGION1,BATTERY,1,2034,3.178754220326116
REGION1,BATTERY,1,2035,3.7406357472189704
REGION1,BATTERY,1,2036,4.271166242609967
REGION1,BATTERY,1,2037,4.768157499495911
REGION1,BATTERY,1,2038,5.247270146650765
REGION1,BATTERY,1,2039,5.779252693615744
REGION1,BATTERY,1,2040,6.4027415892695805
REGION1,BATTERY,1,2041,6.9845614022867455
REGION1,BATTERY,1,2042,7.622508669312324
REGION1,BATTERY,1,2043,8.364453596344214
REGION1,BATTERY,1,2044,8.854397387044662
REGION1,BATTERY,1,2045,9.208056136090416
REGION1,BATTERY,1,2046,9.61447472895855
REGION1,BATTERY,1,2047,9.87461765540255
REGION1,BATTERY,1,2048,10.1407163417471
REGION1,BATTERY,1,2049,10.397738507530612
REGION1,BATTERY,1,2050,11.130494613738977
REGION1,BATTERY,2,2021,0.5652320875061037
REGION1,BATTERY,2,2022,0.5652320875061001
REGION1,BATTERY,2,2023,0.5652320875061037
REGION1,BATTERY,2,2024,0.5652320875061037
REGION1,BATTERY,2,2025,0.09665859961144224
REGION1,BATTERY,2,2026,0.1367486673114032
REGION1,BATTERY,2,2027,0.14414029170714734
REGION1,BATTERY,2,2028,0.10811404841523424
REGION1,BATTERY,2,2029,0.3553980580461873
REGION1,BATTERY,2,2030,0.5413156185893182
REGION1,BATTERY,2,2031,0.6571518076055084
REGION1,BATTERY,2,2032,1.7132664632257528
REGION1,BATTERY,2,2033,2.7895117754783647
REGION1,BATTERY,2,2034,3.5411488720542303
REGION1,BATTERY,2,2035,4.143437529587144
REGION1,BATTERY,2,2036,4.7087839297432685
REGION1,BATTERY,2,2037,5.238633767467039
REGION1,BATTERY,2,2038,5.752649109076248
REGION1,BATTERY,2,2039,6.334268006302024
REGION1,BATTERY,2,2040,7.013424978072502
REGION1,BATTERY,2,2041,7.648744158991115
REGION1,BATTERY,2,2042,8.346000116489488
REGION1,BATTERY,2,2043,9.150790949054407
REGION1,BATTERY,2,2044,9.679684141104351
REGION1,BATTERY,2,2045,10.009359277177964
REGION1,BATTERY,2,2046,10.38622398938297
REGION1,BATTERY,2,2047,10.63473851521004
REGION1,BATTERY,2,2048,10.888965415808467
REGION1,BATTERY,2,2049,11.133791282340272
REGION1,BATTERY,2,2050,11.520324548092342
REGION1,BATTERY,3,2021,0.5652320875061037
REGION1,BATTERY,3,2022,0.5652320875061001
REGION1,BATTERY,3,2023,0.5652320875061037
REGION1,BATTERY,3,2024,0.5652320875061037
REGION1,BATTERY,3,2025,0.09665859961144224
REGION1,BATTERY,3,2026,0.13485944738897096
REGION1,BATTERY,3,2027,0.14201710477570564
REGION1,BATTERY,3,2028,0.10314858294416294
REGION1,BATTERY,3,2029,0.3509768670887136
REGION1,BATTERY,3,2030,0.5341088244770958
REGION1,BATTERY,3,2031,0.6505441240187168
REGION1,BATTERY,3,2032,1.4855771880086726
REGION1,BATTERY,3,2033,2.4358471891621334
REGION1,BATTERY,3,2034,3.1273527599482214
REGION1,BATTERY,3,2035,3.7096038015145822
REGION1,BATTERY,3,2036,4.263183596153132
REGION1,BATTERY,3,2037,4.7816889954455375
REGION1,BATTERY,3,2038,5.278868676507605
REGION1,BATTERY,3,2039,5.818794429729604
REGION1,BATTERY,3,2040,6.452313594859305
REGION1,BATTERY,3,2041,7.0431377971514335
REGION1,BATTERY,3,2042,7.690898577871718
REGION1,BATTERY,3,2043,8.445741187671054
REGION1,BATTERY,3,2044,8.94753330930825
REGION1,BATTERY,3,2045,9.372645051577305
REGION1,BATTERY,3,2046,9.86036489800436
REGION1,BATTERY,3,2047,10.165475100881253
REGION1,BATTERY,3,2048,10.47731193656136
REGION1,BATTERY,3,2049,10.786772593471278
REGION1,BATTERY,3,2050,11.695726701244883
REGION1,BATTERY,4,2021,0.5652320875061037
REGION1,BATTERY,4,2022,0.5652320875061001
REGION1,BATTERY,4,2023,0.5652320875061037
REGION1,BATTERY,4,2024,0.5603456969525559
REGION1,BATTERY,4,2025,0.12891460083478795
REGION1,BATTERY,4,2026,0.18382023165541247
REGION1,BATTERY,4,2027,0.19159313562139427
REGION1,BATTERY,4,2028,0.1467926698454666
REGION1,BATTERY,4,2029,0.48575087575053394
