REGION,STORAGE,DAYTYPE,YEAR,VALUE
REGION1,BATTERY,1,2024,-0.0048863905535477615
REGION1,BATTERY,1,2025,0.03225600122334571
REGION1,BATTERY,1,2026,0.048960784266441515
REGION1,BATTERY,1,2027,0.04957603084568867
REGION1,BATTERY,1,2028,0.0436440869013037
REGION1,BATTERY,1,2029,0.13477400866182032
REGION1,BATTERY,1,2030,0.1979944068280508
REGION1,BATTERY,1,2031,0.27335096940032844
REGION1,BATTERY,1,2032,0.2193035317739956
REGION1,BATTERY,1,2033,0.15659220389278117
REGION1,BATTERY,1,2034,0.1197539793869578
REGION1,BATTERY,1,2035,0.08642336853723559
REGION1,BATTERY,1,2036,0.05407739786800548
REGION1,BATTERY,1,2037,0.023830950684572548
REGION1,BATTERY,1,2038,-0.0046840361949788125
REGION1,BATTERY,1,2039,-0.03383291938584762
REGION1,BATTERY,1,2040,-0.06933895652550359
REGION1,BATTERY,1,2041,-0.10223000851183664
REGION1,BATTERY,1,2042,-0.1387715569868962
REGION1,BATTERY,1,2043,-0.18274354784735175
REGION1,BATTERY,1,2044,-0.21139705450505375
REGION1,BATTERY,1,2045,-0.24701876469367592
REGION1,BATTERY,1,2046,-0.2884272653121941
REGION1,BATTERY,1,2047,-0.31169376314560204
REGION1,BATTERY,1,2048,-0.33544723418948086
REGION1,BATTERY,1,2049,-0.359850002847313
REGION1,BATTERY,1,2050,-0.38479385285004175
REGION1,BATTERY,2,2026,-0.0018892199224322327
REGION1,BATTERY,2,2027,-0.002123186931441713
REGION1,BATTERY,2,2028,-0.004965465471071315
REGION1,BATTERY,2,2029,-0.004421190957473748
REGION1,BATTERY,2,2030,-0.007206794112222411
REGION1,BATTERY,2,2031,-0.0066076835867914
REGION1,BATTERY,2,2032,-0.22768927521708016
REGION1,BATTERY,2,2033,-0.35366458631623165
REGION1,BATTERY,2,2034,-0.41379611210600886
REGION1,BATTERY,2,2035,-0.4338337280725605
REGION1,BATTERY,2,2036,-0.445600333590138
REGION1,BATTERY,2,2037,-0.45694477202150174
REGION1,BATTERY,2,2038,-0.4737804325686432
REGION1,BATTERY,2,2039,-0.5154735765724184
REGION1,BATTERY,2,2040,-0.5611113832131965
REGION1,BATTERY,2,2041,-0.6056063618396818
REGION1,BATTERY,2,2042,-0.6551015386177684
REGION1,BATTERY,2,2043,-0.705049761383352
REGION1,BATTERY,2,2044,-0.732150831796103
REGION1,BATTERY,2,2045,-0.6367142256006586
REGION1,BATTERY,2,2046,-0.5258590913786103
REGION1,BATTERY,2,2047,-0.46926341432878943
REGION1,BATTERY,2,2048,-0.4116534792471085
REGION1,BATTERY,2,2049,-0.34701868886899234
REGION1,BATTERY,2,2050,0.17540215315254395
REGION1,BATTERY,3,2024,-0.002756070025669917
REGION1,BATTERY,3,2025,-0.03941184548868977
REGION1,BATTERY,3,2026,-0.05772839846478096
REGION1,BATTERY,3,2027,-0.059842766990644475
REGION1,BATTERY,3,2028,-0.04683587624217261
REGION1,BATTERY,3,2029,-0.1537601248134054
REGION1,BATTERY,3,2030,-0.23058868465150256
REGION1,BATTERY,3,2031,-0.29627028121234694
REGION1,BATTERY,3,2032,-0.3831678998167044
REGION1,BATTERY,3,2033,-0.4680872421121932
REGION1,BATTERY,3,2034,-0.5171695746514259
REGION1,BATTERY,3,2035,-0.5623035822907885
REGION1,BATTERY,3,2036,-0.6060313998643146
REGION1,BATTERY,3,2037,-0.6469890464071775
REGION1,BATTERY,3,2038,-0.6856020691765673
REGION1,BATTERY,3,2039,-0.7245998905977523
REGION1,BATTERY,3,2040,-0.7694375092902579
REGION1,BATTERY,3,2041,-0.8111811088688208
REGION1,BATTERY,3,2042,-0.8562877845597393
REGION1,BATTERY,3,2043,-0.908575804976533
REGION1,BATTERY,3,2044,-0.9453345662479001
REGION1,BATTERY,3,2045,-0.989195660559161
REGION1,BATTERY,3,2046,-1.038996836167715
REGION1,BATTERY,3,2047,-1.070502718123764
REGION1,BATTERY,3,2048,-1.1026680255160948
REGION1,BATTERY,3,2049,-1.1357125668234926
REGION1,BATTERY,3,2050,-1.169489803060093
REGION1,BATTERY,4,2026,2.1797859702100085e-05
REGION1,BATTERY,4,2027,0.00032508842693661645
REGION1,BATTERY,4,2028,0.001872213692991441
REGION1,BATTERY,4,2029,-0.0010631942012589537
REGION1,BATTERY,4,2030,-0.0005361054149649795
REGION1,BATTERY,4,2031,-0.0055572543831944815
REGION1,BATTERY,4,2032,0.1722911024557358
REGION1,BATTERY,4,2033,0.2970444166795837
REGION1,BATTERY,4,2034,0.3623946517281146
REGION1,BATTERY,4,2035,0.4028017823681727
REGION1,BATTERY,4,2036,0.43761768713330296
REGION1,BATTERY,4,2037,0.4704762679711282
REGION1,BATTERY,4,2038,0.5053789624254834
REGION1,BATTERY,4,2039,0.5550153126862798
REGION1,BATTERY,4,2040,0.6106833888029205
REGION1,BATTERY,4,2041,0.6641827567043693
REGION1,BATTERY,4,2042,0.7234914471771632
REGION1,BATTERY,4,2043,0.7863373527101924
REGION1,BATTERY,4,2044,0.8252867540596891
REGION1,BATTERY,4,2045,0.8013031410875472
REGION1,BATTERY,4,2046,0.7717492604244206
REGION1,BATTERY,4,2047,0.7601208598074906
REGION1,BATTERY,4,2048,0.7482490740613691
REGION1,BATTERY,4,2049,0.7360527748096589
REGION1,BATTERY,4,2050,0.3898299343533644
REGION1,HYDRODAM01,1,2029,2.803047277781819e-06
REGION1,HYDRODAM01,1,2030,0.0002131561729904319
REGION1,HYDRODAM01,1,2031,-0.02083647662200418
REGION1,HYDRODAM01,1,2032,-0.29005294857605857
REGION1,HYDRODAM01,1,2033,-1.6101503999999995
REGION1,HYDRODAM01,1,2034,-1.6101503999999995
REGION1,HYDRODAM01,1,2035,-0.08259346747087297
REGION1,HYDRODAM01,1,2036,-0.046457499069734384
REGION1,HYDRODAM01,1,2037,0.008896905575904644
REGION1,HYDRODAM01,1,2038,0.0004143872717387708
REGION1,HYDRODAM01,1,2039,-0.0001945922038834968
REGION1,HYDRODAM01,1,2040,0.007553867109721567
REGION1,HYDRODAM01,1,2041,-0.042639906643471594
REGION1,HYDRODAM01,1,2042,-0.6947886691112407
REGION1,HYDRODAM01,1,2043,1.1941048268456371
REGION1,HYDRODAM01,1,2044,-0.0953192930477056
REGION1,HYDRODAM01,1,2045,-0.9559503719702424
REGION1,HYDRODAM01,1,2046,-0.9904699609485784
REGION1,HYDRODAM01,2,2029,2.055568003706677e-05
REGION1,HYDRODAM01,2,2030,-0.0014920932109330231
REGION1,HYDRODAM01,2,2031,-0.0023441036199754
REGION1,HYDRODAM01,2,2032,0.2400438195112209
REGION1,HYDRODAM01,2,2033,-0.28880228968177435
REGION1,HYDRODAM01,2,2034,-1.427789633501538
REGION1,HYDRODAM01,2,2035,1.44232666342655
REGION1,HYDRODAM01,2,2036,0.10292122870833464
REGION1,HYDRODAM01,2,2037,0.0018432563347002449
REGION1,HYDRODAM01,2,2038,0.00029249545778744243
REGION1,HYDRODAM01,2,2039,0.00011945714856186584
REGION1,HYDRODAM01,2,2040,-0.00112236189417213
REGION1,HYDRODAM01,2,2041,-0.0191528484696116
REGION1,HYDRODAM01,2,2042,0.42652003322195503
REGION1,HYDRODAM01,2,2043,1.6101503999999995
REGION1,HYDRODAM01,2,2044,0.03563557715515511
REGION1,HYDRODAM01,2,2045,0.9959204223662106
REGION1,HYDRODAM01,3,2029,-1.2457987901252562e-05
REGION1,HYDRODAM01,3,2030,0.0004263123459808637
REGION1,HYDRODAM01,3,2031,0.03779867087210446
REGION1,HYDRODAM01,3,2032,0.9201679747930132
REGION1,HYDRODAM01,3,2033,1.670705718804243
REGION1,HYDRODAM01,3,2034,0.43235736825323673
REGION1,HYDRODAM01,3,2035,0.8871150209834556
REGION1,HYDRODAM01,3,2036,0.07147307549189906
REGION1,HYDRODAM01,3,2037,-0.026690716727713927
REGION1,HYDRODAM01,3,2038,-0.00012032046460020628
