REGION,STORAGE,YEAR,VALUE
REGION1,BATTERY,2021,0.5652320875061037
REGION1,BATTERY,2022,0.5652320875061001
REGION1,BATTERY,2023,0.5652320875061001
REGION1,BATTERY,2024,0.5652320875061001
REGION1,BATTERY,2025,0.09665859961144224
REGION1,BATTERY,2026,0.13672686945170107
REGION1,BATTERY,2027,0.14381520328021077
REGION1,BATTERY,2028,0.1062418347222428
REGION1,BATTERY,2029,0.35646125224744635
REGION1,BATTERY,2030,0.5418517240042834
REGION1,BATTERY,2031,0.6627090619887028
REGION1,BATTERY,2032,1.540975360770017
REGION1,BATTERY,2033,2.4924673587987813
REGION1,BATTERY,2034,3.178754220326116
REGION1,BATTERY,2035,3.7406357472189704
REGION1,BATTERY,2036,4.271166242609967
REGION1,BATTERY,2037,4.768157499495911
REGION1,BATTERY,2038,5.247270146650765
REGION1,BATTERY,2039,5.779252693615744
REGION1,BATTERY,2040,6.4027415892695805
REGION1,BATTERY,2041,6.9845614022867455
REGION1,BATTERY,2042,7.622508669312324
REGION1,BATTERY,2043,8.364453596344214
REGION1,BATTERY,2044,8.854397387044662
REGION1,BATTERY,2045,9.208056136090416
REGION1,BATTERY,2046,9.61447472895855
REGION1,BATTERY,2047,9.87461765540255
REGION1,BATTERY,2048,10.1407163417471
REGION1,BATTERY,2049,10.397738507530612
REGION1,BATTERY,2050,11.130494613738977
REGION1,HYDRODAM01,2030,0.0015986712974282375
REGION1,HYDRODAM01,2031,0.022594554336985782
REGION1,HYDRODAM01,2032,0.5340974984124666
REGION1,HYDRODAM01,2033,13.522468499132104
REGION1,HYDRODAM01,2034,11.781891258630656
REGION1,HYDRODAM01,2035,20.253753634246426
REGION1,HYDRODAM01,2036,1.442326663426523
REGION1,HYDRODAM01,2037,0.10292122870833688
REGION1,HYDRODAM01,2038,0.0054476437218614615
REGION1,HYDRODAM01,2039,0.00029249545778744016
REGION1,HYDRODAM01,2040,0.006809816407979091
REGION1,HYDRODAM01,2041,0.044625410530333975
REGION1,HYDRODAM01,2042,1.0443508310275824
REGION1,HYDRODAM01,2043,24.31435167785234
REGION1,HYDRODAM01,2044,1.6101504000000233
REGION1,HYDRODAM01,2045,1.8885848812095043
REGION1,HYDRODAM01,2046,65.37101742260619
