REGION,EMISSION,YEAR,VALUE
REGION1,CO2,2021,56.388900000000014
REGION1,CO2,2022,58.065210000000015
REGION1,CO2,2023,59.054767000000005
REGION1,CO2,2024,58.641237036076205
REGION1,CO2,2025,59.79890403607621
REGION1,CO2,2026,60.977421036076166
REGION1,CO2,2027,60.43345503607624
REGION1,CO2,2028,59.84214303607624
REGION1,CO2,2029,61.224989000000015
REGION1,CO2,2030,62.730873
REGION1,CO2,2031,62.57659099999999
REGION1,CO2,2032,62.170067000000046
REGION1,CO2,2033,62.334274999999984
REGION1,CO2,2034,62.57377699999999
REGION1,CO2,2035,62.60954099999999
REGION1,CO2,2036,62.52461300000001
REGION1,CO2,2037,62.339698000000006
REGION1,CO2,2038,62.160993000000026
REGION1,CO2,2039,62.06275800000002
REGION1,CO2,2040,62.05156899999999
REGION1,CO2,2041,62.098365
REGION1,CO2,2042,62.181779000000006
REGION1,CO2,2043,62.321806
REGION1,CO2,2044,62.550298
REGION1,CO2,2045,62.86562899999999
REGION1,CO2,2046,63.24908099999999
REGION1,CO2,2047,63.67623100000001
REGION1,CO2,2048,64.14814499999996
REGION1,CO2,2049,64.67029799999997
REGION1,CO2,2050,65.22924299999998
