REGION,TIMESLICE,FUEL,YEAR,VALUE
REGION1,1,COMELCB02,2021,5.94991297
REGION1,1,COMELCB02,2022,6.40095295
REGION1,1,COMELCB02,2023,6.66910856
REGION1,1,COMELCB02,2024,6.86433482
REGION1,1,COMELCB02,2025,7.05282914
REGION1,1,COMELCB02,2026,7.25703132
REGION1,1,COMELCB02,2027,7.46908743
REGION1,1,COMELCB02,2028,7.63962991
REGION1,1,COMELCB02,2029,7.78436662
REGION1,1,COMELCB02,2030,7.92012741
REGION1,1,COMELCB02,2031,8.06598611
REGION1,1,COMELCB02,2032,8.21969874
REGION1,1,COMELCB02,2033,8.35770351
REGION1,1,COMELCB02,2034,8.49907425
REGION1,1,COMELCB02,2035,8.64156698
REGION1,1,COMELCB02,2036,8.79303563
REGION1,1,COMELCB02,2037,8.9422603
REGION1,1,COMELCB02,2038,9.08363104
REGION1,1,COMELCB02,2039,9.22163581
REGION1,1,COMELCB02,2040,9.34281073
REGION1,1,COMELCB02,2041,9.46286366
REGION1,1,COMELCB02,2042,9.57730664
REGION1,1,COMELCB02,2043,9.69062763
REGION1,1,COMELCB02,2044,9.79946066
REGION1,1,COMELCB02,2045,9.91502563
REGION1,1,COMELCB02,2046,10.0418105
REGION1,1,COMELCB02,2047,10.1764493
REGION1,1,COMELCB02,2048,10.32567397
REGION1,1,COMELCB02,2049,10.4793866
REGION1,1,COMELCB02,2050,10.64656311
REGION1,1,INDELCB02,2021,9.95429528
REGION1,1,INDELCB02,2022,10.50519237
REGION1,1,INDELCB02,2023,11.18511831
REGION1,1,INDELCB02,2024,11.54303312
REGION1,1,INDELCB02,2025,11.89982594
REGION1,1,INDELCB02,2026,12.27569259
REGION1,1,INDELCB02,2027,12.47765079
REGION1,1,INDELCB02,2028,12.93317873
REGION1,1,INDELCB02,2029,13.70286387
REGION1,1,INDELCB02,2030,14.29078663
REGION1,1,INDELCB02,2031,14.63187159
REGION1,1,INDELCB02,2032,15.45092429
REGION1,1,INDELCB02,2033,16.25651311
REGION1,1,INDELCB02,2034,16.46856922
REGION1,1,INDELCB02,2035,16.65369757
REGION1,1,INDELCB02,2036,16.82424005
REGION1,1,INDELCB02,2037,16.97907467
REGION1,1,INDELCB02,2038,17.12829934
REGION1,1,INDELCB02,2039,17.28874391
REGION1,1,INDELCB02,2040,17.4469445
REGION1,1,INDELCB02,2041,17.58607126
REGION1,1,INDELCB02,2042,17.72295404
REGION1,1,INDELCB02,2043,17.85422687
REGION1,1,INDELCB02,2044,17.98325572
REGION1,1,INDELCB02,2045,18.11565054
REGION1,1,INDELCB02,2046,18.24804536
REGION1,1,INDELCB02,2047,18.36248834
REGION1,1,INDELCB02,2048,18.47019938
REGION1,1,INDELCB02,2049,18.58352037
REGION1,1,INDELCB02,2050,18.69459738
REGION1,1,RESELCB02,2021,7.37484027
REGION1,1,RESELCB02,2022,7.89768761
REGION1,1,RESELCB02,2023,8.2241867
REGION1,1,RESELCB02,2024,8.42390092
REGION1,1,RESELCB02,2025,8.62137116
REGION1,1,RESELCB02,2026,8.80986548
REGION1,1,RESELCB02,2027,8.99499383
REGION1,1,RESELCB02,2028,9.17339024
REGION1,1,RESELCB02,2029,9.34168874
REGION1,1,RESELCB02,2030,9.50774326
REGION1,1,RESELCB02,2031,9.68950564
REGION1,1,RESELCB02,2032,9.873512
REGION1,1,RESELCB02,2033,10.05190841
REGION1,1,RESELCB02,2034,10.2325488
REGION1,1,RESELCB02,2035,10.40870123
REGION1,1,RESELCB02,2036,10.57812172
REGION1,1,RESELCB02,2037,10.73856629
REGION1,1,RESELCB02,2038,10.89003494
REGION1,1,RESELCB02,2039,11.03028369
REGION1,1,RESELCB02,2040,11.16716647
REGION1,1,RESELCB02,2041,11.30404925
REGION1,1,RESELCB02,2042,11.43756606
REGION1,1,RESELCB02,2043,11.56996088
REGION1,1,RESELCB02,2044,11.70011172
REGION1,1,RESELCB02,2045,11.83250654
REGION1,1,RESELCB02,2046,11.96490136
REGION1,1,RESELCB02,2047,12.09954016
REGION1,1,RESELCB02,2048,12.23866692
REGION1,1,RESELCB02,2049,12.38115965
REGION1,1,RESELCB02,2050,12.52701835
REGION1,1,TRAELCB02,2021,0.07517333
REGION1,1,TRAELCB02,2022,0.11893094
REGION1,1,TRAELCB02,2023,0.19522626
REGION1,1,TRAELCB02,2024,0.31864516
REGION1,1,TRAELCB02,2025,0.48582167
REGION1,1,TRAELCB02,2026,0.66982803
REGION1,1,TRAELCB02,2027,0.8527124
REGION1,1,TRAELCB02,2028,1.03447478
REGION1,1,TRAELCB02,2029,1.21735915
REGION1,1,TRAELCB02,2030,1.39575556
REGION1,1,TRAELCB02,2031,1.5595661
REGION1,1,TRAELCB02,2032,1.73347455
REGION1,1,TRAELCB02,2033,1.91187096
REGION1,1,TRAELCB02,2034,2.09475533
REGION1,1,TRAELCB02,2035,2.28212766
REGION1,1,TRAELCB02,2036,2.4571581
REGION1,1,TRAELCB02,2037,2.61984665
REGION1,1,TRAELCB02,2038,2.76907132
REGION1,1,TRAELCB02,2039,2.90707609
REGION1,1,TRAELCB02,2040,3.03722693
REGION1,1,TRAELCB02,2041,3.15952384
REGION1,1,TRAELCB02,2042,3.2762108
REGION1,1,TRAELCB02,2043,3.38616582
REGION1,1,TRAELCB02,2044,3.49275487
REGION1,1,TRAELCB02,2045,3.59485596
REGION1,1,TRAELCB02,2046,3.69471307
REGION1,1,TRAELCB02,2047,3.79344819
REGION1,1,TRAELCB02,2048,3.88993933
REGION1,1,TRAELCB02,2049,3.98643047
REGION1,1,TRAELCB02,2050,4.07955564
REGION1,2,COMELCB02,2021,6.67520428
REGION1,2,COMELCB02,2022,7.1812258
REGION1,2,COMELCB02,2023,7.48206944
REGION1,2,COMELCB02,2024,7.70109368
REGION1,2,COMELCB02,2025,7.91256536
REGION1,2,COMELCB02,2026,8.14165968
REGION1,2,COMELCB02,2027,8.37956532
REGION1,2,COMELCB02,2028,8.57089684
REGION1,2,COMELCB02,2029,8.73327688
REGION1,2,COMELCB02,2030,8.88558684
REGION1,2,COMELCB02,2031,9.04922564
REGION1,2,COMELCB02,2032,9.22167576
REGION1,2,COMELCB02,2033,9.37650324
REGION1,2,COMELCB02,2034,9.535107
REGION1,2,COMELCB02,2035,9.69496952
REGION1,2,COMELCB02,2036,9.86490212
REGION1,2,COMELCB02,2037,10.0323172
REGION1,2,COMELCB02,2038,10.19092096
REGION1,2,COMELCB02,2039,10.34574844
REGION1,2,COMELCB02,2040,10.48169452
REGION1,2,COMELCB02,2041,10.61638184
REGION1,2,COMELCB02,2042,10.74477536
REGION1,2,COMELCB02,2043,10.87191012
REGION1,2,COMELCB02,2044,10.99400984
REGION1,2,COMELCB02,2045,11.12366212
REGION1,2,COMELCB02,2046,11.265902
