REGION,TECHNOLOGY,YEAR,VALUE
REGION1,LNDAGRBC1C01,2041,3.960634217534356e-08
REGION1,LNDAGRBC1C01,2042,3.838934302238902e-07
REGION1,LNDAGRBC1C01,2043,4.458251754741752e-07
REGION1,LNDAGRBC1C01,2044,4.979739060475244e-07
REGION1,LNDAGRBC1C01,2045,5.576877924420002e-07
REGION1,LNDAGRBC1C01,2046,6.113142895603402e-07
REGION1,LNDAGRBC1C01,2047,6.693450739210662e-07
REGION1,LNDAGRBC1C01,2048,7.142159860996833e-07
REGION1,LNDAGRBC1C01,2049,7.702300160270178e-07
REGION1,LNDAGRBC1C01,2050,8.186402026505547e-07
REGION1,LNDAGRBC1C02,2042,1.3633598456656536e-07
REGION1,LNDAGRBC1C02,2043,1.5951542975602477e-07
REGION1,LNDAGRBC1C02,2044,3.289368920721792e-07
REGION1,LNDAGRBC1C02,2045,3.717918616282961e-07
REGION1,LNDAGRBC1C02,2046,4.0390408416661e-07
REGION1,LNDAGRBC1C02,2047,4.40358601267436e-07
REGION1,LNDAGRBC1C02,2048,4.761439907315779e-07
REGION1,LNDAGRBC1C02,2049,5.046334587763987e-07
REGION1,LNDAGRBC1C02,2050,5.457601351029913e-07
REGION1,LNDAGRBC1C03,2037,1.7926474650628466e-06
REGION1,LNDAGRBC1C03,2038,2.521222963726453e-06
REGION1,LNDAGRBC1C03,2039,1.975354635581993e-06
REGION1,LNDAGRBC1C03,2040,3.501642568747604e-06
REGION1,LNDAGRBC1C03,2041,1.08148252402912e-05
REGION1,LNDAGRBC1C03,2042,1.2594948537856108e-05
REGION1,LNDAGRBC1C03,2043,2.100422097723069e-05
REGION1,LNDAGRBC1C03,2044,2.013340766191125e-05
REGION1,LNDAGRBC1C03,2045,1.9357678515967693e-05
REGION1,LNDAGRBC1C03,2046,2.3747621699270926e-05
REGION1,LNDAGRBC1C03,2047,1.307177213270261e-05
REGION1,LNDAGRBC1C03,2048,2.58175422929586e-05
REGION1,LNDAGRBC1C03,2049,2.0785001280687147e-05
REGION1,LNDAGRBC1C03,2050,2.775502459097605e-05
REGION1,LNDAGRBC1C04,2046,3.166482407340293e-07
REGION1,LNDAGRBC1C04,2047,6.458592818592863e-07
REGION1,LNDAGRBC1C04,2048,6.891557760590832e-07
REGION1,LNDAGRBC1C04,2049,9.302246544522331e-07
REGION1,LNDAGRBC1C04,2050,1.4623572850827707e-06
REGION1,LNDAGRBC1C06,2037,7.40516981237846e-09
REGION1,LNDAGRBC1C06,2038,1.4457712485646533e-08
REGION1,LNDAGRBC1C06,2039,3.6706157365299084e-08
REGION1,LNDAGRBC1C06,2040,9.853836038453521e-09
REGION1,LNDAGRBC1C06,2041,3.366353542944047e-08
REGION1,LNDAGRBC1C06,2042,3.946567974324077e-08
REGION1,LNDAGRBC1C06,2043,4.9081670694439296e-08
REGION1,LNDAGRBC1C06,2044,5.482281534540503e-08
REGION1,LNDAGRBC1C06,2045,1.2058114431168224e-07
REGION1,LNDAGRBC1C06,2047,1.4594265510292949e-06
REGION1,LNDAGRBC1C06,2048,5.990899095093427e-07
REGION1,LNDAGRBC1C06,2049,4.64793975192958e-08
REGION1,LNDAGRBC1C06,2050,1.950551080635777e-06
REGION1,LNDAGRBC1C07,2037,3.096707374970382e-08
REGION1,LNDAGRBC1C07,2038,6.17738624386588e-08
REGION1,LNDAGRBC1C07,2039,9.047252094667834e-08
REGION1,LNDAGRBC1C07,2040,1.1780457666869557e-07
REGION1,LNDAGRBC1C07,2041,1.4689542733048066e-07
REGION1,LNDAGRBC1C07,2042,1.7580166430921666e-07
REGION1,LNDAGRBC1C07,2043,2.0041682200163478e-07
REGION1,LNDAGRBC1C07,2044,2.2842839727188225e-07
REGION1,LNDAGRBC1C07,2045,2.5121071731649586e-07
REGION1,LNDAGRBC1C07,2046,2.783663282766507e-07
REGION1,LNDAGRBC1C07,2047,2.9944384886253145e-07
REGION1,LNDAGRBC1C07,2048,3.1951767799064636e-07
REGION1,LNDAGRBC1C07,2049,3.519154383570733e-07
REGION1,LNDAGRBC1C07,2050,3.7083701487740164e-07
REGION1,LNDALFHRBC1,2037,0.0012566348768006756
REGION1,LNDALFHRBC1,2038,0.002453429997562968
REGION1,LNDALFHRBC1,2039,0.0017966174372397775
REGION1,LNDALFHRBC1,2040,0.004678763328686332
REGION1,LNDALFHRBC1,2041,0.0057125999517382165
REGION1,LNDALFHRBC1,2042,0.006697206259410956
REGION1,LNDALFHRBC1,2043,0.003817463276214329
REGION1,LNDALFHRBC1,2044,0.008527993498161166
REGION1,LNDALFHRBC1,2045,0.009378533446475844
REGION1,LNDALFHRBC1,2046,0.005094285746246864
REGION1,LNDALFHRBC1,2047,0.010960036298223137
REGION1,LNDALFHRBC1,2048,0.9181043640184422
REGION1,LNDALFHRBC1,2049,4.052968840848091
REGION1,LNDALFHRBC1,2050,4.264355955893993
REGION1,LNDMAIHIBC1,2037,0.02328766271109019
REGION1,LNDMAIHIBC1,2038,0.5764045872937503
REGION1,LNDMAIHIBC1,2039,0.03104951909544986
REGION1,LNDMAIHIBC1,2040,0.016778934044366582
REGION1,LNDMAIHIBC1,2041,0.1073482119263294
REGION1,LNDMAIHIBC1,2042,0.05800703444419809
REGION1,LNDMAIHIBC1,2043,0.18222026259514712
REGION1,LNDMAIHIBC1,2044,0.14599945796560004
REGION1,LNDMAIHIBC1,2045,0.08897386033412667
REGION1,LNDMAIHIBC1,2046,0.19166489913565607
REGION1,LNDMAIHIBC1,2047,0.07416565916090341
REGION1,LNDMAIHIBC1,2048,0.1528875229610449
REGION1,LNDMAIHIBC1,2049,0.0966181506158328
REGION1,LNDMAIHIBC1,2050,0.17941227488824776
REGION1,LNDOATHIBC1,2037,0.00018359925148058595
REGION1,LNDOATHIBC1,2038,0.00035845568146210537
REGION1,LNDOATHIBC1,2039,0.001049971229555661
REGION1,LNDOATHIBC1,2040,0.0006835855512689718
REGION1,LNDOATHIBC1,2041,0.0465914407375617
REGION1,LNDOATHIBC1,2042,0.0038578025838959615
REGION1,LNDOATHIBC1,2043,0.005668235504792473
REGION1,LNDOATHIBC1,2044,0.006331256129181803
REGION1,LNDOATHIBC1,2045,0.005402331832343292
REGION1,LNDOATHIBC1,2046,0.006075493603246228
REGION1,LNDOATHIBC1,2047,0.009515935494315623
REGION1,LNDOATHIBC1,2048,0.006973643762062133
REGION1,LNDOATHIBC1,2049,0.007139627396887406
REGION1,LNDOATHIBC1,2050,0.009696544652829238
REGION1,LNDOTHHIBC1,2037,0.003365986277144161
REGION1,LNDOTHHIBC1,2038,0.005257349994777422
REGION1,LNDOTHHIBC1,2039,0.009624736270926852
REGION1,LNDOTHHIBC1,2040,0.01002592141861211
REGION1,LNDOTHHIBC1,2041,0.01530160701358662
REGION1,LNDOTHHIBC1,2042,0.014351156270162502
REGION1,LNDOTHHIBC1,2043,0.024540835347089715
REGION1,LNDOTHHIBC1,2044,0.018274271781773203
REGION1,LNDOTHHIBC1,2045,0.02512107173163575
REGION1,LNDOTHHIBC1,2046,0.027290816497820572
REGION1,LNDOTHHIBC1,2047,0.38698878429054734
REGION1,LNDOTHHIBC1,2048,0.670547984836487
REGION1,LNDOTHHIBC1,2049,0.7106693677755713
REGION1,LNDOTHHIBC1,2050,0.7488802086698627
REGION1,LNDPEAHIBC1,2037,0.000538557804343
REGION1,LNDPEAHIBC1,2038,0.011934693073365811
REGION1,LNDPEAHIBC1,2039,0.00388122292913734
REGION1,LNDPEAHIBC1,2040,0.0029537160881750063
REGION1,LNDPEAHIBC1,2041,0.003722192261792796
REGION1,LNDPEAHIBC1,2042,0.007233969223608688
REGION1,LNDPEAHIBC1,2043,0.004974733881750873
REGION1,LNDPEAHIBC1,2044,0.0092114891068432
REGION1,LNDPEAHIBC1,2045,0.0061108260540483515
REGION1,LNDPEAHIBC1,2046,0.006638627295533904
REGION1,LNDPEAHIBC1,2047,0.011616259309814863
REGION1,LNDPEAHIBC1,2048,0.007620026429361853
REGION1,LNDPEAHIBC1,2049,0.0133878921313175
REGION1,LNDPEAHIBC1,2050,0.008510184373876937
REGION1,LNDPTWHIBC1,2037,8.503544279100922e-07
REGION1,LNDPTWHIBC1,2040,3.166080447982721e-06
REGION1,LNDPTWHIBC1,2044,5.7708226679282575e-06
REGION1,LNDPTWHIBC1,2047,7.416565916090374e-06
REGION1,LNDPTWHIBC1,2050,0.00014141153298211523
REGION1,LNDRAPHIBC1,2037,0.0002183342450039368
REGION1,LNDRAPHIBC1,2038,0.000852543242396351
REGION1,LNDRAPHIBC1,2039,0.0006243072175736281
REGION1,LNDRAPHIBC1,2040,0.001625825094910036
REGION1,LNDRAPHIBC1,2041,0.0019850733423031537
REGION1,LNDRAPHIBC1,2042,0.0011636072651483008
REGION1,LNDRAPHIBC1,2043,0.1050581610851602
REGION1,LNDRAPHIBC1,2044,0.009557462509671212
REGION1,LNDRAPHIBC1,2045,0.008691069454829635
REGION1,LNDRAPHIBC1,2046,0.009648284442878
REGION1,LNDRAPHIBC1,2047,0.012060898609086514
REGION1,LNDRAPHIBC1,2048,0.011074606116567407
REGION1,LNDRAPHIBC1,2049,0.011485965600346771
REGION1,LNDRAPHIBC1,2050,0.014637594831398058
REGION1,LNDRYEHIBC1,2050,0.0035984184732056126
REGION1,LNDWHEHRBC1,2037,9.424761576003519e-05
REGION1,LNDWHEHRBC1,2038,0.00018400724981721195
REGION1,LNDWHEHRBC1,2039,0.0002694926155859571
REGION1,LNDWHEHRBC1,2040,0.0003509072496514
REGION1,LNDWHEHRBC1,2041,0.0004284449963804328
REGION1,LNDWHEHRBC1,2042,0.0005022904694556912
REGION1,LNDWHEHRBC1,2044,0.0006395995123620362
