REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DEMCOMBIO,2021,5.191788388086201
REGION1,DEMCOMBIO,2022,7.807200583588254
REGION1,DEMCOMBIO,2023,10.09979123114996
REGION1,DEMCOMBIO,2024,14.221733489378456
REGION1,DEMCOMBIO,2025,20.288661488502747
REGION1,DEMCOMBIO,2026,25.74553799226968
REGION1,DEMCOMBIO,2027,32.47184971997987
REGION1,DEMCOMBIO,2028,38.110790207347286
REGION1,DEMCOMBIO,2029,45.12724445540896
REGION1,DEMCOMBIO,2030,51.3450107679614
REGION1,DEMCOMBIO,2031,48.31287462606516
REGION1,DEMCOMBIO,2032,45.45308475897997
REGION1,DEMCOMBIO,2033,43.09845596445246
REGION1,DEMCOMBIO,2034,40.93746500216982
REGION1,DEMCOMBIO,2035,38.85005106822011
REGION1,DEMCOMBIO,2036,36.90146946596566
REGION1,DEMCOMBIO,2037,34.98778176054751
REGION1,DEMCOMBIO,2038,33.23228270126117
REGION1,DEMCOMBIO,2039,31.593022119584607
REGION1,DEMCOMBIO,2040,30.034524943189588
REGION1,DEMCOMBIO,2041,28.578563016536304
REGION1,DEMCOMBIO,2042,27.19315863177928
REGION1,DEMCOMBIO,2043,25.921599107969435
REGION1,DEMCOMBIO,2044,24.731718754235978
REGION1,DEMCOMBIO,2045,23.596381202654065
REGION1,DEMCOMBIO,2046,22.55343608153135
REGION1,DEMCOMBIO,2047,21.57552493360568
REGION1,DEMCOMBIO,2048,20.6762016494716
REGION1,DEMCOMBIO,2049,19.796177896164952
REGION1,DEMCOMBIO,2050,19.002870297710317
REGION1,DEMCOMRPP,2021,43.889641930750855
REGION1,DEMCOMRPP,2022,42.5971087555625
REGION1,DEMCOMRPP,2023,41.074992322056445
REGION1,DEMCOMRPP,2024,39.540971404019416
REGION1,DEMCOMRPP,2025,38.002501552643565
REGION1,DEMCOMRPP,2026,36.63023455656904
REGION1,DEMCOMRPP,2027,35.458691873523165
REGION1,DEMCOMRPP,2028,34.21648471118243
REGION1,DEMCOMRPP,2029,32.917722351544725
REGION1,DEMCOMRPP,2030,31.71004202751794
REGION1,DEMCOMRPP,2031,30.628409388281433
REGION1,DEMCOMRPP,2032,29.659478688352443
REGION1,DEMCOMRPP,2033,28.635666199404923
REGION1,DEMCOMRPP,2034,27.642104608070667
REGION1,DEMCOMRPP,2035,26.71347650018176
REGION1,DEMCOMRPP,2036,25.810608655157395
REGION1,DEMCOMRPP,2037,24.933153447300455
REGION1,DEMCOMRPP,2038,24.08073794482865
REGION1,DEMCOMRPP,2039,23.223973383670756
REGION1,DEMCOMRPP,2040,22.36658752841486
REGION1,DEMCOMRPP,2041,21.538195397732835
REGION1,DEMCOMRPP,2042,20.73797987013522
REGION1,DEMCOMRPP,2043,19.965135899819607
