REGION,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,BATTERY_STORAGE,ELCB02,2025,0.28566862275897775
REGION1,BATTERY_STORAGE,ELCB02,2026,8.207832589475116
REGION1,BATTERY_STORAGE,ELCB02,2027,6.653134075136521
REGION1,BATTERY_STORAGE,ELCB02,2028,11.692334364445614
REGION1,BATTERY_STORAGE,ELCB02,2029,5.806643211682397
REGION1,BATTERY_STORAGE,ELCB02,2030,8.631369188639995
REGION1,BATTERY_STORAGE,ELCB02,2031,11.442115043993766
REGION1,BATTERY_STORAGE,ELCB02,2032,27.04820065358901
REGION1,BATTERY_STORAGE,ELCB02,2033,37.522987530458764
REGION1,BATTERY_STORAGE,ELCB02,2034,42.825590859521114
REGION1,BATTERY_STORAGE,ELCB02,2035,46.023281946561426
REGION1,BATTERY_STORAGE,ELCB02,2036,49.01872365942112
REGION1,BATTERY_STORAGE,ELCB02,2037,53.14453255959114
REGION1,BATTERY_STORAGE,ELCB02,2038,57.62943865535381
REGION1,BATTERY_STORAGE,ELCB02,2039,59.396991897668805
REGION1,BATTERY_STORAGE,ELCB02,2040,64.50353520700378
REGION1,BATTERY_STORAGE,ELCB02,2041,69.37370933816717
REGION1,BATTERY_STORAGE,ELCB02,2042,75.23073766528036
REGION1,BATTERY_STORAGE,ELCB02,2043,81.97660060588984
REGION1,BATTERY_STORAGE,ELCB02,2044,86.14395089209819
REGION1,BATTERY_STORAGE,ELCB02,2045,83.59848958203546
REGION1,BATTERY_STORAGE,ELCB02,2046,80.60269719080566
REGION1,BATTERY_STORAGE,ELCB02,2047,79.38161757729239
REGION1,BATTERY_STORAGE,ELCB02,2048,78.14508271145375
REGION1,BATTERY_STORAGE,ELCB02,2049,76.55144369977032
REGION1,BATTERY_STORAGE,ELCB02,2050,58.25277971116332
REGION1,DEMAGRGWTBC1,AGRWATBC1,2025,0.4254029900784157
REGION1,DEMAGRSURBC1,AGRWATBC1,2021,0.3734761208929624
REGION1,DEMAGRSURBC1,AGRWATBC1,2022,0.37646033098218884
REGION1,DEMAGRSURBC1,AGRWATBC1,2023,0.4229277948559579
REGION1,DEMAGRSURBC1,AGRWATBC1,2024,0.4262957301678805
REGION1,DEMAGRSURBC1,AGRWATBC1,2026,0.4406927194543538
REGION1,DEMAGRSURBC1,AGRWATBC1,2027,0.44308500963561365
REGION1,DEMAGRSURBC1,AGRWATBC1,2028,0.4649198004148086
REGION1,DEMAGRSURBC1,AGRWATBC1,2029,0.4702822674101933
REGION1,DEMAGRSURBC1,AGRWATBC1,2030,0.4785983253854641
REGION1,DEMAGRSURBC1,AGRWATBC1,2031,0.48822048001353013
REGION1,DEMAGRSURBC1,AGRWATBC1,2032,0.4866746778473433
REGION1,DEMAGRSURBC1,AGRWATBC1,2033,0.4933767464976939
REGION1,DEMAGRSURBC1,AGRWATBC1,2034,0.4993159071622636
REGION1,DEMAGRSURBC1,AGRWATBC1,2035,0.5063256300568016
REGION1,DEMAGRSURBC1,AGRWATBC1,2036,0.5238000309704071
REGION1,DEMAGRSURBC1,AGRWATBC1,2037,0.5305492087976985
REGION1,DEMAGRSURBC1,AGRWATBC1,2038,0.5397127413202056
REGION1,DEMAGRSURBC1,AGRWATBC1,2039,0.5387178559109109
REGION1,DEMAGRSURBC1,AGRWATBC1,2040,0.5400690399989095
REGION1,DEMAGRSURBC1,AGRWATBC1,2041,0.5471755445430089
REGION1,DEMAGRSURBC1,AGRWATBC1,2042,0.5531395638117558
REGION1,DEMAGRSURBC1,AGRWATBC1,2043,0.5612149684587021
REGION1,DEMAGRSURBC1,AGRWATBC1,2044,0.5672160583044605
REGION1,DEMAGRSURBC1,AGRWATBC1,2045,0.5738520078009217
REGION1,DEMAGRSURBC1,AGRWATBC1,2046,0.580659854808153
REGION1,DEMAGRSURBC1,AGRWATBC1,2047,0.5867745810857001
REGION1,DEMAGRSURBC1,AGRWATBC1,2048,0.5934105305821668
REGION1,DEMAGRSURBC1,AGRWATBC1,2049,0.6002661577827463
REGION1,DEMAGRSURBC1,AGRWATBC1,2050,0.6071975512169805
REGION1,DEMCOMBIO,COMBIO,2021,0.7600004560002731
REGION1,DEMCOMBIO,COMBIO,2022,1.200000720000431
REGION1,DEMCOMBIO,COMBIO,2023,1.6300009780005935
REGION1,DEMCOMBIO,COMBIO,2024,2.4100014559683824
REGION1,DEMCOMBIO,COMBIO,2025,3.6100021660012978
REGION1,DEMCOMBIO,COMBIO,2026,4.8100029058954
REGION1,DEMCOMBIO,COMBIO,2027,6.370003848347963
REGION1,DEMCOMBIO,COMBIO,2028,7.850004710002834
REGION1,DEMCOMBIO,COMBIO,2029,9.76000589636988
REGION1,DEMCOMBIO,COMBIO,2030,11.66000707233391
REGION1,DEMCOMBIO,COMBIO,2031,11.520006912004138
REGION1,DEMCOMBIO,COMBIO,2032,11.380008020849022
REGION1,DEMCOMBIO,COMBIO,2033,11.330007985608033
REGION1,DEMCOMBIO,COMBIO,2034,11.300006826739718
REGION1,DEMCOMBIO,COMBIO,2035,11.260008090251304
REGION1,DEMCOMBIO,COMBIO,2036,11.230007915126054
REGION1,DEMCOMBIO,COMBIO,2037,11.180007879885064
REGION1,DEMCOMBIO,COMBIO,2038,11.150007858740473
REGION1,DEMCOMBIO,COMBIO,2039,11.130007844644076
REGION1,DEMCOMBIO,COMBIO,2040,11.11000783054768
REGION1,DEMCOMBIO,COMBIO,2041,11.100007823499483
