REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
REGION1,8,LNDAGRBC1C01,52,2023,0.06740795038462366
REGION1,7,LNDAGRBC1C01,52,2036,0.23576641353336136
REGION1,8,LNDAGRBC1C02,52,2023,0.07532501348408971
REGION1,7,LNDAGRBC1C02,52,2036,0.1906373798054503
REGION1,1,LNDAGRBC1C05,52,2021,547.3866892165552
REGION1,2,LNDAGRBC1C05,52,2021,547.3866892165552
REGION1,3,LNDAGRBC1C05,52,2021,547.3866892165552
REGION1,4,LNDAGRBC1C05,52,2021,547.3866892165552
REGION1,5,LNDAGRBC1C05,52,2021,547.3866892165552
REGION1,6,LNDAGRBC1C05,52,2021,547.3866892165552
REGION1,7,LNDAGRBC1C05,52,2021,547.3866892165552
REGION1,8,LNDAGRBC1C05,52,2021,547.3866892165552
REGION1,1,LNDAGRBC1C05,52,2022,547.4812186623356
REGION1,2,LNDAGRBC1C05,52,2022,547.4812186623353
REGION1,3,LNDAGRBC1C05,52,2022,547.4812186623353
REGION1,4,LNDAGRBC1C05,52,2022,547.4812186623353
REGION1,5,LNDAGRBC1C05,52,2022,547.4812186623353
REGION1,6,LNDAGRBC1C05,52,2022,547.4812186623353
REGION1,7,LNDAGRBC1C05,52,2022,547.4812186623353
REGION1,8,LNDAGRBC1C05,52,2022,547.4812186623353
REGION1,1,LNDAGRBC1C05,52,2023,547.7198549612857
REGION1,2,LNDAGRBC1C05,52,2023,547.7198549612859
REGION1,3,LNDAGRBC1C05,52,2023,547.7198549612859
REGION1,4,LNDAGRBC1C05,52,2023,547.7198549612859
REGION1,5,LNDAGRBC1C05,52,2023,547.7198549612859
REGION1,6,LNDAGRBC1C05,52,2023,547.7198549612859
REGION1,7,LNDAGRBC1C05,52,2023,547.7198549612859
REGION1,8,LNDAGRBC1C05,52,2023,547.5771219974172
REGION1,1,LNDAGRBC1C05,52,2024,547.4850556650424
REGION1,2,LNDAGRBC1C05,52,2024,547.4850556650424
REGION1,3,LNDAGRBC1C05,52,2024,547.4850556650424
REGION1,4,LNDAGRBC1C05,52,2024,547.4850556650424
REGION1,5,LNDAGRBC1C05,52,2024,547.4850556650424
REGION1,6,LNDAGRBC1C05,52,2024,547.4850556650425
REGION1,7,LNDAGRBC1C05,52,2024,547.4850556650424
REGION1,8,LNDAGRBC1C05,52,2024,547.4850556650424
REGION1,1,LNDAGRBC1C05,52,2025,547.4198455466116
REGION1,2,LNDAGRBC1C05,52,2025,547.4198455466116
REGION1,3,LNDAGRBC1C05,52,2025,547.4198455466116
