REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,1,BATTERY_STORAGE,ELCB02,2027,0.917996835139639
REGION1,1,BATTERY_STORAGE,ELCB02,2028,1.1956030064091885
REGION1,1,BATTERY_STORAGE,ELCB02,2042,5.442506159950465
REGION1,1,BATTERY_STORAGE,ELCB02,2043,15.81406709445996
REGION1,1,BATTERY_STORAGE,ELCB02,2044,22.46645092501704
REGION1,1,BATTERY_STORAGE,ELCB02,2045,30.809135945277887
REGION1,1,BATTERY_STORAGE,ELCB02,2046,40.55388853835164
REGION1,1,BATTERY_STORAGE,ELCB02,2047,45.890138552177405
REGION1,1,BATTERY_STORAGE,ELCB02,2048,51.33807751978093
REGION1,1,BATTERY_STORAGE,ELCB02,2049,56.93493509242148
REGION1,1,BATTERY_STORAGE,ELCB02,2050,62.65589150259287
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2025,0.425402990078416
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2021,0.3734761208929626
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2022,0.37646033098218906
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2023,0.42292779485595816
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2024,0.4262957301678808
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2026,0.44069271945435406
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2027,0.4430850096356139
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2028,0.4649198004148089
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2029,0.4702822674101936
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2030,0.4785983253854644
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2031,0.4882204800135304
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2032,0.4866746778473436
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2033,0.49337674649769425
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2034,0.49931590716226393
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2035,0.506325630056802
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2036,0.5238000309704074
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2037,0.5305492087976988
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2038,0.539712741320206
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2039,0.5387178559109113
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2040,0.5400690399989099
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2041,0.5471755445430092
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2042,0.5531395638117561
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2043,0.5612149684587024
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2044,0.5672160583044609
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2045,0.573852007800922
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2046,0.5806598548081533
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2047,0.5867745810856996
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2048,0.5934105305821683
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2049,0.6002661577827448
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2050,0.6071975512169808
REGION1,1,DEMCOMBIO,COMBIO,2021,0.7600004560002735
REGION1,1,DEMCOMBIO,COMBIO,2022,1.200000720000432
REGION1,1,DEMCOMBIO,COMBIO,2023,1.6300009780005766
REGION1,1,DEMCOMBIO,COMBIO,2024,2.598672175564136
REGION1,1,DEMCOMBIO,COMBIO,2025,3.6100021660013
REGION1,1,DEMCOMBIO,COMBIO,2026,5.186561479030494
REGION1,1,DEMCOMBIO,COMBIO,2027,6.868689526283627
REGION1,1,DEMCOMBIO,COMBIO,2028,7.850004710002834
REGION1,1,DEMCOMBIO,COMBIO,2029,10.524083167429772
REGION1,1,DEMCOMBIO,COMBIO,2030,13.104818722873036
REGION1,1,DEMCOMBIO,COMBIO,2031,11.520006912004146
REGION1,1,DEMCOMBIO,COMBIO,2032,12.511153396415349
REGION1,1,DEMCOMBIO,COMBIO,2033,12.456183478153417
REGION1,1,DEMCOMBIO,COMBIO,2034,12.184645470487444
REGION1,1,DEMCOMBIO,COMBIO,2043,11.100006660003997
REGION1,1,DEMCOMBIO,COMBIO,2044,12.225309821453306
REGION1,1,DEMCOMBIO,COMBIO,2045,5.472777402813759
REGION1,1,DEMCOMBIO,COMBIO,2046,11.180006708004042
REGION1,1,DEMCOMBIO,COMBIO,2047,11.230006738004034
REGION1,1,DEMCOMBIO,COMBIO,2048,11.300006780004066
REGION1,1,DEMCOMBIO,COMBIO,2049,11.360006816004088
REGION1,1,DEMCOMBIO,COMBIO,2050,11.45000687000412
REGION1,1,DEMCOMELCB02,COMELCB02,2021,65.8096135425999
REGION1,1,DEMCOMELCB02,COMELCB02,2022,70.79838681133933
REGION1,1,DEMCOMELCB02,COMELCB02,2023,73.7643490283262
REGION1,1,DEMCOMELCB02,COMELCB02,2024,75.92366880136265
REGION1,1,DEMCOMELCB02,COMELCB02,2025,78.00852927188062
REGION1,1,DEMCOMELCB02,COMELCB02,2026,80.26712811494177
REGION1,1,DEMCOMELCB02,COMELCB02,2027,82.61259614427446
REGION1,1,DEMCOMELCB02,COMELCB02,2028,84.4988984747431
REGION1,1,DEMCOMELCB02,COMELCB02,2029,86.09977347889085
REGION1,1,DEMCOMELCB02,COMELCB02,2030,87.6013694130139
REGION1,1,DEMCOMELCB02,COMELCB02,2031,89.2146543009147
REGION1,1,DEMCOMELCB02,COMELCB02,2032,90.9148083750871
REGION1,1,DEMCOMELCB02,COMELCB02,2033,92.44122407671632
REGION1,1,DEMCOMELCB02,COMELCB02,2034,94.0048694296048
REGION1,1,DEMCOMELCB02,COMELCB02,2035,95.58092466624637
REGION1,1,DEMCOMELCB02,COMELCB02,2036,97.2562589729126
REGION1,1,DEMCOMELCB02,COMELCB02,2037,98.90677351207265
REGION1,1,DEMCOMELCB02,COMELCB02,2038,100.47041886496112
REGION1,1,DEMCOMELCB02,COMELCB02,2039,101.99683456659037
REGION1,1,DEMCOMELCB02,COMELCB02,2040,103.33710201192332
REGION1,1,DEMCOMELCB02,COMELCB02,2041,104.66495957350322
REGION1,1,DEMCOMELCB02,COMELCB02,2042,105.93076771631767
REGION1,1,DEMCOMELCB02,COMELCB02,2043,107.18416597537907
REGION1,1,DEMCOMELCB02,COMELCB02,2044,108.38792469942815
REGION1,1,DEMCOMELCB02,COMELCB02,2045,109.66614272599573
REGION1,1,DEMCOMELCB02,COMELCB02,2046,111.06845959009412
REGION1,1,DEMCOMELCB02,COMELCB02,2047,112.55764564046407
REGION1,1,DEMCOMELCB02,COMELCB02,2048,114.20816017962416
REGION1,1,DEMCOMELCB02,COMELCB02,2049,115.90831425379656
REGION1,1,DEMCOMELCB02,COMELCB02,2050,117.75738693300596
REGION1,1,DEMCOMNGS,COMNGS,2021,74.10004446002665
REGION1,1,DEMCOMNGS,COMNGS,2022,78.15004689002815
REGION1,1,DEMCOMNGS,COMNGS,2023,79.59004775402866
REGION1,1,DEMCOMNGS,COMNGS,2024,77.68004660802798
REGION1,1,DEMCOMNGS,COMNGS,2025,76.3400458040275
REGION1,1,DEMCOMNGS,COMNGS,2026,75.2800451680271
REGION1,1,DEMCOMNGS,COMNGS,2027,73.11004386602633
REGION1,1,DEMCOMNGS,COMNGS,2028,70.58004234802542
REGION1,1,DEMCOMNGS,COMNGS,2029,68.25004095002457
REGION1,1,DEMCOMNGS,COMNGS,2030,66.01003960602377
REGION1,1,DEMCOMNGS,COMNGS,2031,65.2300391380235
REGION1,1,DEMCOMNGS,COMNGS,2032,64.45003867002322
REGION1,1,DEMCOMNGS,COMNGS,2033,64.17003850202312
REGION1,1,DEMCOMNGS,COMNGS,2034,63.990038394023045
REGION1,1,DEMCOMNGS,COMNGS,2035,63.800038280022974
REGION1,1,DEMCOMNGS,COMNGS,2036,63.5800381480229
REGION1,1,DEMCOMNGS,COMNGS,2037,63.3200379920228
REGION1,1,DEMCOMNGS,COMNGS,2038,63.13003787802273
REGION1,1,DEMCOMNGS,COMNGS,2039,63.0500378300227
REGION1,1,DEMCOMNGS,COMNGS,2040,62.940037764022655
REGION1,1,DEMCOMNGS,COMNGS,2041,62.87003772202264
REGION1,1,DEMCOMNGS,COMNGS,2042,62.83003769802262
REGION1,1,DEMCOMNGS,COMNGS,2043,62.87003772202264
REGION1,1,DEMCOMNGS,COMNGS,2044,62.97003778202268
REGION1,1,DEMCOMNGS,COMNGS,2045,63.11003786602273
REGION1,1,DEMCOMNGS,COMNGS,2046,63.3200379920228
REGION1,1,DEMCOMNGS,COMNGS,2047,63.61003816602291
REGION1,1,DEMCOMNGS,COMNGS,2048,63.97003838202304
REGION1,1,DEMCOMNGS,COMNGS,2049,64.36003861602317
REGION1,1,DEMCOMNGS,COMNGS,2050,64.82003889202333
REGION1,1,DEMCOMRPP,COMRPP,2021,6.290003774002265
REGION1,1,DEMCOMRPP,COMRPP,2022,6.410003846002308
REGION1,1,DEMCOMRPP,COMRPP,2023,6.490003894002336
REGION1,1,DEMCOMRPP,COMRPP,2024,6.560003936002361
REGION1,1,DEMCOMRPP,COMRPP,2025,6.620003972002383
REGION1,1,DEMCOMRPP,COMRPP,2026,6.700004020002411
REGION1,1,DEMCOMRPP,COMRPP,2027,6.810004086002451
REGION1,1,DEMCOMRPP,COMRPP,2028,6.900004140002483
REGION1,1,DEMCOMRPP,COMRPP,2029,6.9700041820025085
REGION1,1,DEMCOMRPP,COMRPP,2030,7.050004230002537
REGION1,1,DEMCOMRPP,COMRPP,2031,7.150004290002573
REGION1,1,DEMCOMRPP,COMRPP,2032,7.270004362002615
REGION1,1,DEMCOMRPP,COMRPP,2033,7.370004422002653
REGION1,1,DEMCOMRPP,COMRPP,2034,7.470004482002688
REGION1,1,DEMCOMRPP,COMRPP,2035,7.580004548002729
REGION1,1,DEMCOMRPP,COMRPP,2036,7.690004614002768
REGION1,1,DEMCOMRPP,COMRPP,2037,7.8000046800028064
REGION1,1,DEMCOMRPP,COMRPP,2038,7.9100047460028495
REGION1,1,DEMCOMRPP,COMRPP,2039,8.01000480600288
REGION1,1,DEMCOMRPP,COMRPP,2040,8.100004860002917
REGION1,1,DEMCOMRPP,COMRPP,2041,8.19000491400295
REGION1,1,DEMCOMRPP,COMRPP,2042,8.28000496800298
REGION1,1,DEMCOMRPP,COMRPP,2043,8.370005022003012
REGION1,1,DEMCOMRPP,COMRPP,2044,8.47000508200305
REGION1,1,DEMCOMRPP,COMRPP,2045,8.570005142003083
REGION1,1,DEMCOMRPP,COMRPP,2046,8.680005208003124
REGION1,1,DEMCOMRPP,COMRPP,2047,8.800005280003168
REGION1,1,DEMCOMRPP,COMRPP,2048,8.940005364003214
REGION1,1,DEMCOMRPP,COMRPP,2049,9.080005448003266
REGION1,1,DEMCOMRPP,COMRPP,2050,9.240005544003322
REGION1,1,DEMINDBIO,INDBIO,2021,185.83011149806688
REGION1,1,DEMINDBIO,INDBIO,2022,195.71011742607047
REGION1,1,DEMINDBIO,INDBIO,2023,200.54632075777957
REGION1,1,DEMINDBIO,INDBIO,2024,206.33357914941385
REGION1,1,DEMINDBIO,INDBIO,2025,209.82609201731552
REGION1,1,DEMINDBIO,INDBIO,2026,211.16966719244425
REGION1,1,DEMINDBIO,INDBIO,2027,225.1593088436045
REGION1,1,DEMINDBIO,INDBIO,2028,235.14424500596567
REGION1,1,DEMINDBIO,INDBIO,2029,244.2084722894893
REGION1,1,DEMINDBIO,INDBIO,2030,245.74014744408848
REGION1,1,DEMINDBIO,INDBIO,2031,241.51780057916605
REGION1,1,DEMINDBIO,INDBIO,2032,221.39077814962369
REGION1,1,DEMINDBIO,INDBIO,2033,215.9832162154121
REGION1,1,DEMINDBIO,INDBIO,2034,202.7167935927662
REGION1,1,DEMINDBIO,INDBIO,2035,217.237680856896
REGION1,1,DEMINDBIO,INDBIO,2036,217.70991210841487
REGION1,1,DEMINDBIO,INDBIO,2037,218.78708112108717
REGION1,1,DEMINDBIO,INDBIO,2038,220.8210281222775
REGION1,1,DEMINDBIO,INDBIO,2039,222.28861260624865
REGION1,1,DEMINDBIO,INDBIO,2040,228.7224602505432
REGION1,1,DEMINDBIO,INDBIO,2041,235.48236230413667
REGION1,1,DEMINDBIO,INDBIO,2042,244.27899870131128
REGION1,1,DEMINDBIO,INDBIO,2043,244.0167855753384
REGION1,1,DEMINDBIO,INDBIO,2044,250.97279135960457
REGION1,1,DEMINDBIO,INDBIO,2045,265.4401592640955
REGION1,1,DEMINDBIO,INDBIO,2046,266.4601598760959
REGION1,1,DEMINDBIO,INDBIO,2047,267.4201604520962
REGION1,1,DEMINDBIO,INDBIO,2048,268.4001610400966
REGION1,1,DEMINDBIO,INDBIO,2049,269.54016172409706
REGION1,1,DEMINDBIO,INDBIO,2050,271.1977181402468
REGION1,1,DEMINDDSL,INDDSL,2021,96.39005783403469
REGION1,1,DEMINDDSL,INDDSL,2022,95.77005746203443
REGION1,1,DEMINDDSL,INDDSL,2023,98.45005907003544
REGION1,1,DEMINDDSL,INDDSL,2024,100.60006036003622
REGION1,1,DEMINDDSL,INDDSL,2025,102.67006160203697
REGION1,1,DEMINDDSL,INDDSL,2026,104.42006265203756
