REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,TIMESLICE,VALUE
REGION1,BATTERY_STORAGE,ELCB02,1,2026,1,18.31049109571432
REGION1,BATTERY_STORAGE,ELCB02,1,2026,2,5.516995623497428
REGION1,BATTERY_STORAGE,ELCB02,1,2026,4,17.39106967081396
REGION1,BATTERY_STORAGE,ELCB02,1,2026,7,18.31049109571432
REGION1,BATTERY_STORAGE,ELCB02,1,2027,1,30.15780107837928
REGION1,BATTERY_STORAGE,ELCB02,1,2027,3,30.559172061228512
REGION1,BATTERY_STORAGE,ELCB02,1,2027,5,1.9527029399117903
REGION1,BATTERY_STORAGE,ELCB02,1,2027,7,0.158172832373292
REGION1,BATTERY_STORAGE,ELCB02,1,2028,1,39.789069228437725
REGION1,BATTERY_STORAGE,ELCB02,1,2028,2,11.816841865780702
REGION1,BATTERY_STORAGE,ELCB02,1,2028,3,39.77672547657456
REGION1,BATTERY_STORAGE,ELCB02,1,2028,5,29.586808755046377
REGION1,BATTERY_STORAGE,ELCB02,1,2028,7,0.9105689576692935
REGION1,BATTERY_STORAGE,ELCB02,1,2029,1,65.59201632791321
REGION1,BATTERY_STORAGE,ELCB02,1,2030,1,74.61427976165048
REGION1,BATTERY_STORAGE,ELCB02,1,2030,2,21.745072874144803
REGION1,BATTERY_STORAGE,ELCB02,1,2031,1,86.93711170319142
REGION1,BATTERY_STORAGE,ELCB02,1,2031,2,46.095603091031165
REGION1,BATTERY_STORAGE,ELCB02,1,2032,1,77.14749920986635
REGION1,BATTERY_STORAGE,ELCB02,1,2032,2,29.583349493570765
REGION1,BATTERY_STORAGE,ELCB02,1,2032,8,83.84717335023532
REGION1,BATTERY_STORAGE,ELCB02,1,2033,1,62.76444394004297
REGION1,BATTERY_STORAGE,ELCB02,1,2033,2,13.447007234332396
REGION1,BATTERY_STORAGE,ELCB02,1,2033,8,144.55935876957
REGION1,BATTERY_STORAGE,ELCB02,1,2034,1,54.283834091569226
REGION1,BATTERY_STORAGE,ELCB02,1,2034,2,3.9997447661554335
REGION1,BATTERY_STORAGE,ELCB02,1,2034,7,14.67133303474384
REGION1,BATTERY_STORAGE,ELCB02,1,2034,8,161.69438886160756
REGION1,BATTERY_STORAGE,ELCB02,1,2035,1,46.63934569967004
REGION1,BATTERY_STORAGE,ELCB02,1,2035,7,22.690424941997584
REGION1,BATTERY_STORAGE,ELCB02,1,2035,8,173.3413617703286
REGION1,BATTERY_STORAGE,ELCB02,1,2036,1,39.21781164758824
REGION1,BATTERY_STORAGE,ELCB02,1,2036,7,28.353117212648872
REGION1,BATTERY_STORAGE,ELCB02,1,2036,8,184.62243446363132
REGION1,BATTERY_STORAGE,ELCB02,1,2037,1,32.28068662961476
REGION1,BATTERY_STORAGE,ELCB02,1,2037,7,45.88174493481808
REGION1,BATTERY_STORAGE,ELCB02,1,2037,8,189.13828875132236
REGION1,BATTERY_STORAGE,ELCB02,1,2038,1,25.740677891739924
REGION1,BATTERY_STORAGE,ELCB02,1,2038,7,66.46661319758331
REGION1,BATTERY_STORAGE,ELCB02,1,2038,8,192.3200336927282
REGION1,BATTERY_STORAGE,ELCB02,1,2039,1,19.036587474778003
REGION1,BATTERY_STORAGE,ELCB02,1,2039,7,94.13486589667848
REGION1,BATTERY_STORAGE,ELCB02,1,2039,8,175.9722709859155
REGION1,BATTERY_STORAGE,ELCB02,1,2040,1,10.7651660146372
REGION1,BATTERY_STORAGE,ELCB02,1,2040,7,124.58828813328633
REGION1,BATTERY_STORAGE,ELCB02,1,2040,8,172.61064163337812
REGION1,BATTERY_STORAGE,ELCB02,1,2041,1,3.1111468841127565
REGION1,BATTERY_STORAGE,ELCB02,1,2041,7,153.34872645536552
REGION1,BATTERY_STORAGE,ELCB02,1,2041,8,169.88655834006036
REGION1,BATTERY_STORAGE,ELCB02,1,2042,7,185.28213270632185
REGION1,BATTERY_STORAGE,ELCB02,1,2042,8,166.8167093068836
REGION1,BATTERY_STORAGE,ELCB02,1,2043,7,200.8899188331028
REGION1,BATTERY_STORAGE,ELCB02,1,2043,8,181.79386735171084
REGION1,BATTERY_STORAGE,ELCB02,1,2044,7,210.47374883806572
REGION1,BATTERY_STORAGE,ELCB02,1,2044,8,191.1644547543341
REGION1,BATTERY_STORAGE,ELCB02,1,2045,7,204.74611449002708
REGION1,BATTERY_STORAGE,ELCB02,1,2045,8,185.2200489665648
REGION1,BATTERY_STORAGE,ELCB02,1,2046,7,197.66506467470512
REGION1,BATTERY_STORAGE,ELCB02,1,2046,8,177.91819475449384
REGION1,BATTERY_STORAGE,ELCB02,1,2047,7,194.94386533310157
REGION1,BATTERY_STORAGE,ELCB02,1,2047,8,174.98022397315958
REGION1,BATTERY_STORAGE,ELCB02,1,2048,7,192.1657106564411
REGION1,BATTERY_STORAGE,ELCB02,1,2048,8,171.98076078012295
REGION1,BATTERY_STORAGE,ELCB02,1,2049,7,189.3116155330383
REGION1,BATTERY_STORAGE,ELCB02,1,2049,8,168.89930770481658
REGION1,BATTERY_STORAGE,ELCB02,1,2050,3,72.10542066011365
REGION1,BATTERY_STORAGE,ELCB02,1,2050,4,13.254576490142734
REGION1,BATTERY_STORAGE,ELCB02,1,2050,7,162.69108104855476
REGION1,BATTERY_STORAGE,ELCB02,1,2050,8,27.027281782397903
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,1,0.3734761208929626
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,2,0.3734761208929626
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,3,0.3734761208929626
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,4,0.3734761208929626
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,5,0.3734761208929626
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,6,0.3734761208929626
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,7,0.3734761208929626
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,8,0.3734761208929626
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2022,1,0.37646033098218906
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2022,2,0.37646033098218906
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2022,3,0.37646033098218906
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2022,4,0.37646033098218906
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2022,5,0.37646033098218906
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2022,6,0.37646033098218906
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2022,7,0.37646033098218906
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2022,8,0.37646033098218906
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2023,1,0.42292779485595816
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2023,2,0.42292779485595816
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2023,3,0.42292779485595816
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2023,4,0.42292779485595816
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2023,5,0.42292779485595816
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2023,6,0.42292779485595816
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2023,7,0.42292779485595816
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2023,8,0.42292779485595816
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2024,1,0.4262957301678808
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2024,2,0.4262957301678808
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2024,3,0.4262957301678808
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2024,4,0.4262957301678808
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2024,5,0.4262957301678808
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2024,6,0.4262957301678808
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2024,7,0.4262957301678808
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2024,8,0.4262957301678808
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2026,1,0.44069271945435406
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2026,2,0.44069271945435406
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2026,3,0.44069271945435406
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2026,4,0.44069271945435406
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2026,5,0.44069271945435406
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2026,6,0.44069271945435406
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2026,7,0.44069271945435406
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2026,8,0.44069271945435406
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2027,1,0.4430850096356139
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2027,2,0.4430850096356139
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2027,3,0.4430850096356139
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2027,4,0.4430850096356139
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2027,5,0.4430850096356139
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2027,6,0.4430850096356139
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2027,7,0.4430850096356139
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2027,8,0.4430850096356139
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2028,1,0.4649198004148089
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2028,2,0.4649198004148089
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2028,3,0.4649198004148089
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2028,4,0.4649198004148089
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2028,5,0.4649198004148089
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2028,6,0.4649198004148089
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2028,7,0.4649198004148089
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2028,8,0.4649198004148089
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2029,1,0.4702822674101936
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2029,2,0.4702822674101936
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2029,3,0.4702822674101936
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2029,4,0.4702822674101936
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2029,5,0.4702822674101936
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2029,6,0.4702822674101936
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2029,7,0.4702822674101936
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2029,8,0.4702822674101936
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2030,1,0.4785983253854644
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2030,2,0.4785983253854644
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2030,3,0.4785983253854644
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2030,4,0.4785983253854644
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2030,5,0.4785983253854644
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2030,6,0.4785983253854644
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2030,7,0.4785983253854644
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2030,8,0.4785983253854644
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2031,1,0.4882204800135304
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2031,2,0.4882204800135304
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2031,3,0.4882204800135304
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2031,4,0.4882204800135304
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2031,5,0.4882204800135304
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2031,6,0.4882204800135304
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2031,7,0.4882204800135304
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2031,8,0.4882204800135304
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2032,1,0.4866746778473436
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2032,2,0.4866746778473436
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2032,3,0.4866746778473436
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2032,4,0.4866746778473436
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2032,5,0.4866746778473436
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2032,6,0.4866746778473436
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2032,7,0.4866746778473436
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2032,8,0.4866746778473436
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2033,1,0.49337674649769425
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2033,2,0.49337674649769425
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2033,3,0.49337674649769425
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2033,4,0.49337674649769425
