REGION,TECHNOLOGY,YEAR,VALUE
REGION1,LNDAGRBC1C01,2041,1.7117632857233433e-07
REGION1,LNDAGRBC1C01,2042,1.659165283626576e-06
REGION1,LNDAGRBC1C01,2043,1.926830717790819e-06
REGION1,LNDAGRBC1C01,2044,2.152214526266092e-06
REGION1,LNDAGRBC1C01,2045,2.4102945022593088e-06
REGION1,LNDAGRBC1C01,2046,2.6420651325859577e-06
REGION1,LNDAGRBC1C01,2047,2.89287083857781e-06
REGION1,LNDAGRBC1C01,2048,3.08680033533424e-06
REGION1,LNDAGRBC1C01,2049,3.328889744880144e-06
REGION1,LNDAGRBC1C01,2050,3.53811578183736e-06
REGION1,LNDAGRBC1C02,2042,5.89236268956126e-07
REGION1,LNDAGRBC1C02,2043,6.894164953529328e-07
REGION1,LNDAGRBC1C02,2044,1.421646292597112e-06
REGION1,LNDAGRBC1C02,2045,1.6068630015074856e-06
REGION1,LNDAGRBC1C02,2046,1.7456501768560928e-06
REGION1,LNDAGRBC1C02,2047,1.9032044990798072e-06
REGION1,LNDAGRBC1C02,2048,2.057866890216152e-06
REGION1,LNDAGRBC1C02,2049,2.180996729404564e-06
REGION1,LNDAGRBC1C02,2050,2.3587438545695704e-06
REGION1,LNDAGRBC1C03,2037,7.747719042961539e-06
REGION1,LNDAGRBC1C03,2038,1.0896580364132309e-05
REGION1,LNDAGRBC1C03,2039,8.537368905472113e-06
REGION1,LNDAGRBC1C03,2040,1.5133897400501697e-05
REGION1,LNDAGRBC1C03,2041,4.674105148586351e-05
REGION1,LNDAGRBC1C03,2042,5.4434641798602234e-05
REGION1,LNDAGRBC1C03,2043,9.077903269852183e-05
REGION1,LNDAGRBC1C03,2044,8.70154277301973e-05
REGION1,LNDAGRBC1C03,2045,8.366277106270442e-05
REGION1,LNDAGRBC1C03,2046,0.00010263585253112649
REGION1,LNDAGRBC1C03,2047,5.6495445898641e-05
REGION1,LNDAGRBC1C03,2048,0.00011158193005818224
REGION1,LNDAGRBC1C03,2049,8.983157780256262e-05
REGION1,LNDAGRBC1C03,2050,0.00011995561690308816
REGION1,LNDAGRBC1C04,2046,1.36853544964531e-06
REGION1,LNDAGRBC1C04,2047,2.7913665986520263e-06
REGION1,LNDAGRBC1C04,2048,2.9784915516295936e-06
REGION1,LNDAGRBC1C04,2049,4.020377352486991e-06
REGION1,LNDAGRBC1C04,2050,6.320223918009509e-06
REGION1,LNDAGRBC1C06,2037,3.2004717207304974e-08
