REGION,STORAGE,YEAR,VALUE
REGION1,BATTERY,2021,0.1884098356037008
REGION1,BATTERY,2022,0.1884098356037008
REGION1,BATTERY,2023,0.1884098356037008
REGION1,BATTERY,2024,0.1884098356037008
REGION1,BATTERY,2025,0.1884098356037008
REGION1,BATTERY,2026,0.04557552422421182
REGION1,BATTERY,2027,0.0479376035945398
REGION1,BATTERY,2028,0.03541685035525283
REGION1,BATTERY,2029,0.11882425032770612
REGION1,BATTERY,2030,0.18062119081682915
REGION1,BATTERY,2031,0.22090733208755808
REGION1,BATTERY,2032,0.513657465171984
REGION1,BATTERY,2033,0.8308189400307505
REGION1,BATTERY,2034,1.0595820955761883
REGION1,BATTERY,2035,1.2468788181012156
REGION1,BATTERY,2036,1.4237223174324072
REGION1,BATTERY,2037,1.589385954788141
REGION1,BATTERY,2038,1.7490858436765244
REGION1,BATTERY,2039,1.9264132986254272
REGION1,BATTERY,2040,2.1342428729805025
REGION1,BATTERY,2041,2.328182756007553
REGION1,BATTERY,2042,2.540831790508413
REGION1,BATTERY,2043,2.7881466538099207
REGION1,BATTERY,2044,2.9514589748483573
REGION1,BATTERY,2045,3.0693451479819323
REGION1,BATTERY,2046,3.2048179341456056
REGION1,BATTERY,2047,3.2915321677729845
REGION1,BATTERY,2048,3.3802316127452325
REGION1,BATTERY,2049,3.4659067060186963
REGION1,BATTERY,2050,3.71012660157405
REGION1,HYDRODAM01,2021,0.6307332681107205
REGION1,HYDRODAM01,2022,36.83603171782158
REGION1,HYDRODAM01,2023,1.574501313653136
REGION1,HYDRODAM01,2024,0.6614886022140443
REGION1,HYDRODAM01,2025,0.028229617395532536
REGION1,HYDRODAM01,2026,12.364572419243247
REGION1,HYDRODAM01,2027,0.008243445832808874
REGION1,HYDRODAM01,2028,3.6106292747702873
REGION1,HYDRODAM01,2029,0.004001892715401358
REGION1,HYDRODAM01,2030,1.7528290093457937
REGION1,HYDRODAM01,2031,0.02786691588785084
REGION1,HYDRODAM01,2032,12.205709158878664
REGION1,HYDRODAM01,2033,0.0046997837621115925
REGION1,HYDRODAM01,2034,2.0585052878048766
REGION1,HYDRODAM01,2035,0.075271258536596
REGION1,HYDRODAM01,2036,32.968811239029044
REGION1,HYDRODAM01,2037,0.004699783762111593
REGION1,HYDRODAM01,2038,2.0585052878048766
REGION1,HYDRODAM01,2039,0.0752712585365849
REGION1,HYDRODAM01,2040,11.52294967343736
REGION1,HYDRODAM01,2041,0.540191343865545
REGION1,HYDRODAM01,2042,30.498142870588193
REGION1,HYDRODAM01,2043,2.683584000000014
REGION1,HYDRODAM01,2044,22.40792640000001
REGION1,HYDRODAM01,2045,4.901869161290314
REGION1,HYDRODAM01,2046,23.46987142402196
REGION1,HYDRODAM01,2047,4.610690686961718
REGION1,HYDRODAM01,2048,23.330477473545507
REGION1,HYDRODAM01,2049,0.5367167999999999
REGION1,HYDRODAM01,2050,25.4330574545455
