REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
REGION1,DEMAGRGWTBC1,1,2025,0.42540273483662194
REGION1,DEMAGRSURBC1,1,2021,0.3734758968072901
REGION1,DEMAGRSURBC1,1,2022,0.3764601051059905
REGION1,DEMAGRSURBC1,1,2023,0.4229275410992812
REGION1,DEMAGRSURBC1,1,2024,0.4262954743904426
REGION1,DEMAGRSURBC1,1,2026,0.44069245503872245
REGION1,DEMAGRSURBC1,1,2027,0.44308474378460816
REGION1,DEMAGRSURBC1,1,2028,0.46491952146292864
REGION1,DEMAGRSURBC1,1,2029,0.4702819852408332
REGION1,DEMAGRSURBC1,1,2030,0.478598038226469
REGION1,DEMAGRSURBC1,1,2031,0.4882201870812424
REGION1,DEMAGRSURBC1,1,2032,0.48667438584253686
REGION1,DEMAGRSURBC1,1,2033,0.49337645047164624
REGION1,DEMAGRSURBC1,1,2034,0.4993156075727197
REGION1,DEMAGRSURBC1,1,2035,0.5063253262614239
REGION1,DEMAGRSURBC1,1,2036,0.5237997166903888
REGION1,DEMAGRSURBC1,1,2037,0.5305488904681736
REGION1,DEMAGRSURBC1,1,2038,0.5397124174925613
REGION1,DEMAGRSURBC1,1,2039,0.5387175326801977
REGION1,DEMAGRSURBC1,1,2040,0.540068715957486
REGION1,DEMAGRSURBC1,1,2041,0.5471752162376824
REGION1,DEMAGRSURBC1,1,2042,0.5531392319280177
REGION1,DEMAGRSURBC1,1,2043,0.5612146317297214
REGION1,DEMAGRSURBC1,1,2044,0.567215717974826
REGION1,DEMAGRSURBC1,1,2045,0.5738516634897175
REGION1,DEMAGRSURBC1,1,2046,0.5806595064122404
REGION1,DEMAGRSURBC1,1,2047,0.5867742290209519
REGION1,DEMAGRSURBC1,1,2048,0.5934101745358488
REGION1,DEMAGRSURBC1,1,2049,0.6002657976230521
REGION1,DEMAGRSURBC1,1,2050,0.6071971868984501
REGION1,DEMCOMBIO,1,2021,0.76
REGION1,DEMCOMBIO,1,2022,1.2000000000000002
REGION1,DEMCOMBIO,1,2023,1.6300000000000077
REGION1,DEMCOMBIO,1,2024,2.4100000000000006
REGION1,DEMCOMBIO,1,2025,3.61
REGION1,DEMCOMBIO,1,2026,4.81
REGION1,DEMCOMBIO,1,2027,6.37
REGION1,DEMCOMBIO,1,2028,7.850000000000015
REGION1,DEMCOMBIO,1,2029,9.76
REGION1,DEMCOMBIO,1,2030,11.659999999999998
REGION1,DEMCOMBIO,1,2031,11.52
REGION1,DEMCOMBIO,1,2032,11.38
REGION1,DEMCOMBIO,1,2033,11.33
REGION1,DEMCOMBIO,1,2034,11.3
REGION1,DEMCOMBIO,1,2035,11.259999999999998
REGION1,DEMCOMBIO,1,2036,11.23
REGION1,DEMCOMBIO,1,2037,11.179999999999998
REGION1,DEMCOMBIO,1,2038,11.15
REGION1,DEMCOMBIO,1,2039,11.13
REGION1,DEMCOMBIO,1,2040,11.11
REGION1,DEMCOMBIO,1,2041,11.1
REGION1,DEMCOMBIO,1,2042,11.09
REGION1,DEMCOMBIO,1,2043,11.1
REGION1,DEMCOMBIO,1,2044,11.119999999999996
REGION1,DEMCOMBIO,1,2045,11.14
REGION1,DEMCOMBIO,1,2046,11.18
REGION1,DEMCOMBIO,1,2047,11.230000000000008
REGION1,DEMCOMBIO,1,2048,11.3
REGION1,DEMCOMBIO,1,2049,11.36
REGION1,DEMCOMBIO,1,2050,11.45
REGION1,DEMCOMELCB02,1,2021,53.03
REGION1,DEMCOMELCB02,1,2022,57.05
REGION1,DEMCOMELCB02,1,2023,59.44
REGION1,DEMCOMELCB02,1,2024,61.18000000000001
REGION1,DEMCOMELCB02,1,2025,62.86
REGION1,DEMCOMELCB02,1,2026,64.67999999999999
REGION1,DEMCOMELCB02,1,2027,66.57
REGION1,DEMCOMELCB02,1,2028,68.09
REGION1,DEMCOMELCB02,1,2029,69.38
REGION1,DEMCOMELCB02,1,2030,70.59
REGION1,DEMCOMELCB02,1,2031,71.89
REGION1,DEMCOMELCB02,1,2032,73.25999999999999
REGION1,DEMCOMELCB02,1,2033,74.49000000000001
REGION1,DEMCOMELCB02,1,2034,75.75
REGION1,DEMCOMELCB02,1,2035,77.02000000000001
REGION1,DEMCOMELCB02,1,2036,78.37
REGION1,DEMCOMELCB02,1,2037,79.7
REGION1,DEMCOMELCB02,1,2038,80.96
REGION1,DEMCOMELCB02,1,2039,82.18999999999998
REGION1,DEMCOMELCB02,1,2040,83.27
REGION1,DEMCOMELCB02,1,2041,84.34
REGION1,DEMCOMELCB02,1,2042,85.36000000000001
REGION1,DEMCOMELCB02,1,2043,86.36999999999996
REGION1,DEMCOMELCB02,1,2044,87.34
REGION1,DEMCOMELCB02,1,2045,88.37
REGION1,DEMCOMELCB02,1,2046,89.5
REGION1,DEMCOMELCB02,1,2047,90.7
REGION1,DEMCOMELCB02,1,2048,92.03
REGION1,DEMCOMELCB02,1,2049,93.4
REGION1,DEMCOMELCB02,1,2050,94.89
REGION1,DEMCOMRPP,1,2021,6.290000000000001
REGION1,DEMCOMRPP,1,2022,6.41
REGION1,DEMCOMRPP,1,2023,6.489999999999999
REGION1,DEMCOMRPP,1,2024,6.56
REGION1,DEMCOMRPP,1,2025,6.62
REGION1,DEMCOMRPP,1,2026,6.699999999999999
REGION1,DEMCOMRPP,1,2027,6.81
REGION1,DEMCOMRPP,1,2028,6.9
REGION1,DEMCOMRPP,1,2029,6.969999999999999
REGION1,DEMCOMRPP,1,2030,7.049999999999999
REGION1,DEMCOMRPP,1,2031,7.15
REGION1,DEMCOMRPP,1,2032,7.27
REGION1,DEMCOMRPP,1,2033,7.370000000000002
REGION1,DEMCOMRPP,1,2034,7.47
REGION1,DEMCOMRPP,1,2035,7.58
REGION1,DEMCOMRPP,1,2036,7.69
REGION1,DEMCOMRPP,1,2037,7.8
REGION1,DEMCOMRPP,1,2038,7.910000000000003
REGION1,DEMCOMRPP,1,2039,8.01
REGION1,DEMCOMRPP,1,2040,8.100000000000001
REGION1,DEMCOMRPP,1,2041,8.190000000000001
REGION1,DEMCOMRPP,1,2042,8.280000000000001
REGION1,DEMCOMRPP,1,2043,8.37
REGION1,DEMCOMRPP,1,2044,8.470000000000002
REGION1,DEMCOMRPP,1,2045,8.569999999999999
REGION1,DEMCOMRPP,1,2046,8.679999999999998
REGION1,DEMCOMRPP,1,2047,8.8
REGION1,DEMCOMRPP,1,2048,8.939999999999996
REGION1,DEMCOMRPP,1,2049,9.079999999999998
REGION1,DEMCOMRPP,1,2050,9.239999999999997
REGION1,DEMCOMNGS,1,2021,74.09999999999998
REGION1,DEMCOMNGS,1,2022,78.15000000000002
REGION1,DEMCOMNGS,1,2023,79.59
REGION1,DEMCOMNGS,1,2024,77.68
REGION1,DEMCOMNGS,1,2025,76.34000000000003
REGION1,DEMCOMNGS,1,2026,75.28
REGION1,DEMCOMNGS,1,2027,73.11000000000001
REGION1,DEMCOMNGS,1,2028,70.58000000000001
REGION1,DEMCOMNGS,1,2029,68.25000000000001
