REGION,TECHNOLOGY,VALUE
REGION1,DEMAGRGWTBC1,0.42540273483662194
REGION1,DEMAGRSURBC1,14.81439834752544
REGION1,DEMCOMBIO,274.72000000000014
REGION1,DEMCOMELCB02,2302.07
REGION1,DEMCOMRPP,229.77
REGION1,DEMCOMNGS,2011.4800000000007
REGION1,DEMINDBIO,7342.77
REGION1,DEMINDDSL,3334.4300000000003
REGION1,DEMINDELCB02,4166.859999999996
REGION1,DEMINDNGS,8755.480000000005
REGION1,DEMPUBGWTBC1,23.75
REGION1,DEMPUBSURBC1,6.420000000000003
REGION1,DEMPWRBIO,372.1115447973282
REGION1,DEMPWRHYD,2317.5350579715405
REGION1,DEMPWRNGS,2.74751849664
REGION1,DEMPWRSOL,748.0443383675786
REGION1,DEMPWRWND,865.523115765809
REGION1,DEMRESBIO,480.3200000000005
REGION1,DEMRESELCB02,2763.7100000000028
REGION1,DEMRESRPP,19.14000000000001
REGION1,DEMRESNGS,1729.940000000001
REGION1,DEMTRABIO,1505.9400000000007
REGION1,DEMTRADSL,2741.5699999999983
REGION1,DEMTRAELCB02,589.0399999999994
REGION1,DEMTRAGSL,3014.890000000001
REGION1,DEMTRAHFO,192.46999999999989
REGION1,DEMTRAJFL,2939.9499999999985
REGION1,DEMTRALPG,52.17000000000003
REGION1,DEMTRANGS,19.349999999999945
REGION1,IMPDSL,6076.000000000002
REGION1,IMPGSL,3014.8899999999994
REGION1,IMPHFO,192.47000000000008
REGION1,IMPJFL,2939.9500000000003
REGION1,IMPRPP,248.91
REGION1,IMPLPG,52.16999999999999
REGION1,LNDAGRBC1C01,8330.856305811043
REGION1,LNDAGRBC1C02,807.7725
REGION1,LNDAGRBC1C03,919.7399274615177
REGION1,LNDAGRBC1C04,327.46580486575806
REGION1,LNDAGRBC1C05,16875.53910209476
REGION1,LNDAGRBC1C06,102.82322000000012
REGION1,LNDAGRBC1C07,392.7446999999999
REGION1,LNDALFHRBC1,364.8583333333336
REGION1,LNDBARBC1,4450.254729
REGION1,LNDBLTBC1,131.98813556942645
REGION1,LNDBARHIBC1,1.4536451148750889
REGION1,LNDBARHRBC1,7.680674489115415
REGION1,LNDBARIIBC1,0.016169748898463995
REGION1,LNDBARIRBC1,0.252556832857824
REGION1,LNDFORBC1,16350.00764696906
REGION1,LNDGRSBC1,4767.127199999996
REGION1,LNDMAIHIBC1,270.28041946964527
REGION1,LNDMAIHRBC1,8.04072909555965
REGION1,LNDOATHIBC1,5.289260838261581
REGION1,LNDOATHRBC1,0.5481103199144025
REGION1,LNDOTHHIBC1,92.8750000000002
REGION1,LNDPEAHIBC1,5.049067091226377
REGION1,LNDPEAHRBC1,0.13953797166187076
REGION1,LNDPTWHIBC1,0.004842105263156688
REGION1,LNDRAPHIBC1,7.490475752741398
REGION1,LNDRAPHRBC1,1.227211347101953
REGION1,LNDRYEHIBC1,0.10474543319358884
REGION1,LNDRYEHRBC1,0.03640570361492334
REGION1,LNDWATBC1,1291.274399999999
REGION1,LNDWHEHRBC1,3.4037500000004246
REGION1,MINLNDBC1,27749.999999999964
REGION1,MINNGS,12518.99751849664
REGION1,MINPRCBC1,20075.90744361552
REGION1,PWRBIOB01,0.2978271675289105
REGION1,PWRBIOB02,123.73935443158052
REGION1,PWRHYDB01,11677.137664247404
REGION1,PWRHYDB02,2137.126315035377
REGION1,PWRNGSB01,0.91583949888
REGION1,PWRSOLB01,0.018133308742674867
REGION1,PWRTRNB01,9980.412643292444
REGION1,PWRWNDB01,5.934358157637253
REGION1,PWRWNDB02,12.825468440250711
REGION1,PWRWNDB03,14.625521256347817
REGION1,PWRWNDB04,31.223222751315724
REGION1,PWRWNDB05,3.7616404165763098
REGION1,PWRWNDB06,1.8618146480881632
REGION1,PWRWNDB07,19.784948843367214
REGION1,PWRWNDB08,2.0222992463456975
REGION1,PWRWNDB11,4.069481515234263
REGION1,RNWBIO,9975.861544797335
REGION1,RNWHYD,2324.23322887067
REGION1,RNWSOL,877.3551232167008
REGION1,RNWWND,1528.877926994363
REGION1,BATTERY_STORAGE,2518.176960211594
REGION1,PWRNGSB02,1.2674327022426293
REGION1,INFLOW01,11677.137220334667
REGION1,PWRSOLB02,6.250849878909396
REGION1,PWRWNDB12,1.5233882129209453
REGION1,PWRWNDB13,1.7973698635898916
REGION1,PWRWNDB14,2.926964243934108
REGION1,HDG01,11.826285636771406
REGION1,PWRSOLB06,43.21402222541948
REGION1,PWRWNDB15,7.220900513970322
REGION1,PWRWNDB16,1.5444992105864923
REGION1,PWRWNDB17,1.820833734867316
REGION1,PWRWNDB18,4.2710088253057545
REGION1,PWRWNDB19,4.028844675807206
REGION1,PWRWNDB23,74.55022891170502
REGION1,PWRWNDB26,55.88580487030728
REGION1,DEMRESHDG,6.267848427709062
REGION1,DEMTRAHDG,0.6599999999999999
REGION1,DEMINDHDG,3.754754038852424
