REGION,EMISSION,YEAR,VALUE
REGION1,CO2,2021,56.38889999999999
REGION1,CO2,2022,58.06521000000002
REGION1,CO2,2023,59.054767
REGION1,CO2,2024,58.64123703607623
REGION1,CO2,2025,59.7989040360762
REGION1,CO2,2026,60.977421036076194
REGION1,CO2,2027,60.43345503607624
REGION1,CO2,2028,59.842143036076216
REGION1,CO2,2029,61.224989000000015
REGION1,CO2,2030,62.73087300000002
REGION1,CO2,2031,62.576590999999965
REGION1,CO2,2032,62.170067000000046
REGION1,CO2,2033,62.334275
REGION1,CO2,2034,62.57377699999999
REGION1,CO2,2035,62.60954100000001
REGION1,CO2,2036,62.52461300000003
REGION1,CO2,2037,62.33969800000001
REGION1,CO2,2038,62.16099300000003
REGION1,CO2,2039,62.06275800000002
REGION1,CO2,2040,62.051569
REGION1,CO2,2041,62.098365
REGION1,CO2,2042,62.181779
REGION1,CO2,2043,62.32180599999998
REGION1,CO2,2044,62.550297999999984
REGION1,CO2,2045,62.865629000000006
REGION1,CO2,2046,63.24908100000001
REGION1,CO2,2047,63.67623100000001
REGION1,CO2,2048,64.14814500000001
REGION1,CO2,2049,64.67029800000006
REGION1,CO2,2050,65.22924299999995
