REGION,TECHNOLOGY,YEAR,VALUE
REGION1,LNDAGRBC1C02,2042,-0.06239999999994464
REGION1,LNDAGRBC1C05,2021,-1094.7727215690825
REGION1,LNDAGRBC1C05,2022,-1094.9617803472097
REGION1,LNDAGRBC1C05,2023,-1643.158578988118
REGION1,LNDAGRBC1C05,2024,-2189.9389086960373
REGION1,LNDAGRBC1C05,2025,-2189.6780683788165
REGION1,LNDAGRBC1C05,2026,-2735.8213158054064
REGION1,LNDAGRBC1C05,2027,-3282.1929802304994
REGION1,LNDAGRBC1C05,2028,-3826.650428636862
REGION1,LNDAGRBC1C05,2029,-3824.87661346934
REGION1,LNDAGRBC1C05,2030,-4369.841830200274
REGION1,LNDAGRBC1C05,2031,-4367.365303330422
REGION1,LNDAGRBC1C05,2032,-4366.998299559041
REGION1,LNDAGRBC1C05,2033,-4365.115635972734
REGION1,LNDAGRBC1C05,2034,-4363.970853657172
REGION1,LNDAGRBC1C05,2035,-4362.1863197522125
REGION1,LNDAGRBC1C05,2036,-4359.402746404428
REGION1,LNDAGRBC1C05,2037,-4357.078037701467
REGION1,LNDAGRBC1C05,2038,-4355.34664071022
REGION1,LNDAGRBC1C05,2039,-4354.326090421514
REGION1,LNDAGRBC1C05,2040,-4353.000253155659
REGION1,LNDAGRBC1C05,2041,-4350.972273629143
REGION1,LNDAGRBC1C05,2042,-4349.047689309613
REGION1,LNDAGRBC1C05,2043,-4347.170879459432
REGION1,LNDAGRBC1C05,2044,-4345.383229861188
REGION1,LNDAGRBC1C05,2045,-4343.580448582945
REGION1,LNDAGRBC1C05,2046,-4341.832959803005
REGION1,LNDAGRBC1C05,2047,-4340.015830116381
REGION1,LNDAGRBC1C05,2048,-4338.20124431026
REGION1,LNDAGRBC1C05,2049,-4336.432177143568
REGION1,LNDAGRBC1C05,2050,-4334.628114123612
REGION1,MINNGS,2021,1318.6439999999998
REGION1,MINNGS,2022,1372.4999999999998
REGION1,MINNGS,2023,1403.7839999999992
REGION1,MINNGS,2024,1366.7742133175807
REGION1,MINNGS,2025,1431.3942133175806
REGION1,MINNGS,2026,1504.1862133175812
REGION1,MINNGS,2027,1455.4422133175808
REGION1,MINNGS,2028,1405.2942133175804
REGION1,MINNGS,2029,1449.7559999999996
REGION1,MINNGS,2030,1505.3760000000002
REGION1,MINNGS,2031,1510.4298250000002
REGION1,MINNGS,2032,1509.1370500000005
REGION1,MINNGS,2033,1538.2339500000005
REGION1,MINNGS,2034,1569.2856000000002
REGION1,MINNGS,2035,1588.6403750000004
REGION1,MINNGS,2036,1602.66645
REGION1,MINNGS,2037,1611.3775000000005
REGION1,MINNGS,2038,1622.3966000000005
REGION1,MINNGS,2039,1637.6526
REGION1,MINNGS,2040,1655.9182500000004
REGION1,MINNGS,2041,1676.6740250000005
REGION1,MINNGS,2042,1698.0642
REGION1,MINNGS,2043,1720.865725
REGION1,MINNGS,2044,1746.4885
REGION1,MINNGS,2045,1774.588125
REGION1,MINNGS,2046,1804.7660000000003
REGION1,MINNGS,2047,1836.7753250000003
REGION1,MINNGS,2048,1870.4439
REGION1,MINNGS,2049,1905.677375
REGION1,MINNGS,2050,1942.4200000000003
REGION1,PWRBIOB01,2024,0.243292762877472
REGION1,PWRBIOB01,2025,0.232234000928496
REGION1,PWRBIOB01,2026,0.232234000928496
REGION1,PWRBIOB01,2027,0.232234000928496
REGION1,PWRBIOB01,2028,0.464468001856992
REGION1,PWRBIOB01,2029,0.22117523897952
REGION1,PWRBIOB02,2023,7.9472826922791855
REGION1,PWRBIOB02,2024,10.45053004178232
REGION1,PWRBIOB02,2025,10.45053004178232
REGION1,PWRBIOB02,2026,10.45053004178232
REGION1,PWRBIOB02,2027,17.423490956468346
REGION1,PWRBIOB02,2028,20.90106008356464
REGION1,PWRBIOB02,2029,18.68618585746418
REGION1,PWRBIOB02,2030,18.239621931409737
REGION1,PWRBIOB02,2031,31.09123512938205
REGION1,PWRBIOB02,2032,35.051095266397574
REGION1,PWRBIOB02,2033,40.526238230964005
REGION1,PWRBIOB02,2034,41.36946041713924
REGION1,PWRBIOB02,2035,41.36946041713923
REGION1,PWRBIOB02,2036,40.700492966826005
REGION1,PWRBIOB02,2037,40.700492966826005
REGION1,PWRBIOB02,2038,40.700492966826005
REGION1,PWRBIOB02,2039,40.04504798531431
REGION1,PWRBIOB02,2040,35.49752809014496
REGION1,PWRBIOB02,2041,30.717132099985225
REGION1,PWRBIOB02,2042,24.66746545396755
REGION1,PWRBIOB02,2043,14.635101599321628
REGION1,PWRBIOB02,2044,11.811923831180074
REGION1,PWRBIOB02,2045,6.964981749750857
REGION1,PWRBIOB02,2046,1.415313659893392
REGION1,PWRBIOB02,2047,1.415313659893392
REGION1,PWRBIOB02,2048,1.4153136598933922
REGION1,PWRBIOB02,2049,1.415313659893392
REGION1,PWRBIOB02,2050,1.415313659893392
REGION1,PWRNGSB01,2024,0.9085127828889599
REGION1,PWRNGSB01,2025,0.9085127828889599
REGION1,PWRNGSB01,2026,0.9085127828889599
REGION1,PWRNGSB01,2027,0.9085127828889599
REGION1,PWRNGSB01,2028,0.9085127828889599
REGION1,PWRNGSB02,2024,1.24920507647232
REGION1,PWRNGSB02,2025,1.24920507647232
REGION1,PWRNGSB02,2026,1.24920507647232
REGION1,PWRNGSB02,2027,1.24920507647232
REGION1,PWRNGSB02,2028,1.289645897234159
