REGION,TECHNOLOGY,YEAR,VALUE
REGION1,LNDAGRBC1C01,2037,6.86661200547658e-08
REGION1,LNDAGRBC1C01,2038,1.3537676236514372e-07
REGION1,LNDAGRBC1C01,2039,3.8691439809013366e-07
REGION1,LNDAGRBC1C01,2040,1.4286938021829652e-07
REGION1,LNDAGRBC1C01,2041,1.7443831995194116e-07
REGION1,LNDAGRBC1C01,2042,1.8692381041935415e-06
REGION1,LNDAGRBC1C01,2043,2.413182142389951e-07
REGION1,LNDAGRBC1C01,2044,2.695455087833754e-07
REGION1,LNDAGRBC1C01,2045,3.014528607827949e-07
REGION1,LNDAGRBC1C01,2046,3.3294796127287975e-07
REGION1,LNDAGRBC1C01,2047,3.581583290285441e-07
REGION1,LNDAGRBC1C01,2048,3.8843325559622506e-07
REGION1,LNDAGRBC1C01,2049,4.18314577669058e-07
REGION1,LNDAGRBC1C01,2050,4.4080626296616965e-07
REGION1,LNDAGRBC1C02,2037,4.51042161137286e-08
REGION1,LNDAGRBC1C02,2038,8.937494991127507e-08
REGION1,LNDAGRBC1C02,2039,2.560179848064219e-07
REGION1,LNDAGRBC1C02,2040,9.52462534770067e-08
REGION1,LNDAGRBC1C02,2041,1.1629221330331453e-07
REGION1,LNDAGRBC1C02,2042,1.4617559294655245e-06
REGION1,LNDAGRBC1C02,2045,2.0096857385296632e-07
REGION1,LNDAGRBC1C02,2046,2.1832653198207037e-07
REGION1,LNDAGRBC1C02,2047,2.407293686930528e-07
REGION1,LNDAGRBC1C02,2048,2.5686715289417064e-07
REGION1,LNDAGRBC1C02,2049,2.722364711819538e-07
REGION1,LNDAGRBC1C02,2050,4.028460568663995e-07
REGION1,LNDAGRBC1C03,2037,1.1215378676443352e-05
REGION1,LNDAGRBC1C03,2038,2.5212229637285933e-06
REGION1,LNDAGRBC1C03,2039,1.975354635582425e-06
REGION1,LNDAGRBC1C03,2040,9.94140057136248e-06
REGION1,LNDAGRBC1C03,2041,4.0460047862967125e-05
REGION1,LNDAGRBC1C03,2042,7.4128439817424114e-06
REGION1,LNDAGRBC1C03,2043,8.824008252278788e-06
REGION1,LNDAGRBC1C03,2044,3.3243675409168094e-05
REGION1,LNDAGRBC1C03,2045,1.0016035298596608e-05
REGION1,LNDAGRBC1C03,2046,1.0579041705363313e-05
REGION1,LNDAGRBC1C03,2047,1.17394442581395e-05
REGION1,LNDAGRBC1C03,2048,1.2539831797504694e-05
REGION1,LNDAGRBC1C03,2049,1.4290968390571127e-05
REGION1,LNDAGRBC1C03,2050,1.2294510403696436e-05
REGION1,LNDAGRBC1C04,2039,1.4925249010527963e-06
REGION1,LNDAGRBC1C04,2042,4.716398530398492e-06
REGION1,LNDAGRBC1C05,2039,3.0061966071436e-05
REGION1,LNDAGRBC1C05,2042,1.1588180228482152e-08
REGION1,LNDAGRBC1C06,2037,4.0391835325616815e-09
REGION1,LNDAGRBC1C06,2038,1.338781016563063e-05
REGION1,LNDAGRBC1C06,2039,2.0752494187775736e-09
REGION1,LNDAGRBC1C06,2040,2.425633259887684e-07
REGION1,LNDAGRBC1C06,2041,2.2695843621571653e-06
REGION1,LNDAGRBC1C06,2042,2.1526734405247736e-08
REGION1,LNDAGRBC1C06,2043,2.863097457154172e-08
REGION1,LNDAGRBC1C06,2044,7.089128334586245e-06
REGION1,LNDAGRBC1C06,2045,3.0145286077964726e-08
REGION1,LNDAGRBC1C06,2046,4.26418951351648e-05
REGION1,LNDAGRBC1C06,2047,3.5228688101342255e-08
REGION1,LNDAGRBC1C06,2048,4.385536756746577e-08
REGION1,LNDAGRBC1C06,2049,4.647939751876072e-08
REGION1,LNDAGRBC1C06,2050,3.2695700519732954e-06
REGION1,LNDAGRBC1C07,2037,3.096707374972773e-08
REGION1,LNDAGRBC1C07,2038,1.1829037488247817e-07
REGION1,LNDAGRBC1C07,2039,5.0048628608858255e-08
REGION1,LNDAGRBC1C07,2040,6.266200886620338e-08
REGION1,LNDAGRBC1C07,2041,1.46895427330535e-07
REGION1,LNDAGRBC1C07,2042,7.606112823183205e-07
REGION1,LNDAGRBC1C07,2043,1.0634361983769325e-07
REGION1,LNDAGRBC1C07,2044,1.2335133452692734e-07
REGION1,LNDAGRBC1C07,2045,1.3565378735090997e-07
REGION1,LNDAGRBC1C07,2046,1.5282857238744092e-07
REGION1,LNDAGRBC1C07,2047,1.5852909645622246e-07
REGION1,LNDAGRBC1C07,2048,1.7542147026965517e-07
REGION1,LNDAGRBC1C07,2049,5.444729423636297e-07
REGION1,LNDALFHRBC1,2037,0.0012566348768006756
REGION1,LNDALFHRBC1,2038,0.0024534299975627056
REGION1,LNDALFHRBC1,2039,0.0017966174372397775
REGION1,LNDALFHRBC1,2040,0.004678763328686332
REGION1,LNDALFHRBC1,2041,0.0057125999517388245
REGION1,LNDALFHRBC1,2042,0.006697206259408813
REGION1,LNDALFHRBC1,2043,0.003817463276215957
REGION1,LNDALFHRBC1,2044,0.008527993498160254
REGION1,LNDALFHRBC1,2045,0.009378533446477842
REGION1,LNDALFHRBC1,2046,0.005094285746246864
REGION1,LNDALFHRBC1,2047,0.010960036298221967
REGION1,LNDALFHRBC1,2048,0.9181043640184408
REGION1,LNDALFHRBC1,2049,4.052968840848087
REGION1,LNDALFHRBC1,2050,4.264355955893997
REGION1,LNDMAIHIBC1,2037,0.023287662711090045
REGION1,LNDMAIHIBC1,2038,0.5764045872937501
REGION1,LNDMAIHIBC1,2039,0.031049519095450683
REGION1,LNDMAIHIBC1,2040,0.01677893404436591
REGION1,LNDMAIHIBC1,2041,0.10734821192633004
REGION1,LNDMAIHIBC1,2042,0.05800703444419809
REGION1,LNDMAIHIBC1,2043,0.18222026259514623
REGION1,LNDMAIHIBC1,2044,0.145999457965601
REGION1,LNDMAIHIBC1,2045,0.08897386033412345
REGION1,LNDMAIHIBC1,2046,0.19166489913565263
REGION1,LNDMAIHIBC1,2047,0.07416565916090592
REGION1,LNDMAIHIBC1,2048,0.15288752296104893
REGION1,LNDMAIHIBC1,2049,0.09661815061583137
REGION1,LNDMAIHIBC1,2050,0.17941227488824327
REGION1,LNDOATHIBC1,2037,0.00018359925148058145
REGION1,LNDOATHIBC1,2038,0.0003584556814620966
REGION1,LNDOATHIBC1,2039,0.001049971229555661
REGION1,LNDOATHIBC1,2040,0.0006835855512689886
REGION1,LNDOATHIBC1,2041,0.04659144073756186
REGION1,LNDOATHIBC1,2042,0.0038578025838960335
REGION1,LNDOATHIBC1,2043,0.005668235504791765
REGION1,LNDOATHIBC1,2044,0.006331256129182472
REGION1,LNDOATHIBC1,2045,0.005402331832344112
REGION1,LNDOATHIBC1,2046,0.006075493603246027
REGION1,LNDOATHIBC1,2047,0.009515935494314115
REGION1,LNDOATHIBC1,2048,0.006973643762061881
REGION1,LNDOATHIBC1,2049,0.007139627396888532
REGION1,LNDOATHIBC1,2050,0.009696544652828936
REGION1,LNDOTHHIBC1,2037,0.003365986277144089
REGION1,LNDOTHHIBC1,2038,0.005257349994777561
REGION1,LNDOTHHIBC1,2039,0.009624736270926852
REGION1,LNDOTHHIBC1,2040,0.010025921418612244
REGION1,LNDOTHHIBC1,2041,0.01530160701358678
REGION1,LNDOTHHIBC1,2042,0.014351156270162696
REGION1,LNDOTHHIBC1,2043,0.024540835347091693
REGION1,LNDOTHHIBC1,2044,0.018274271781771257
REGION1,LNDOTHHIBC1,2045,0.025121071731636017
REGION1,LNDOTHHIBC1,2046,0.02729081649774932
REGION1,LNDOTHHIBC1,2047,0.3869887842906231
REGION1,LNDOTHHIBC1,2048,0.6705479848365117
REGION1,LNDOTHHIBC1,2049,0.710669367775545
REGION1,LNDOTHHIBC1,2050,0.7488802086698637
REGION1,LNDPEAHIBC1,2037,0.0005385578043430613
REGION1,LNDPEAHIBC1,2038,0.011934693073365806
REGION1,LNDPEAHIBC1,2039,0.00388122292913736
REGION1,LNDPEAHIBC1,2040,0.0029537160881749724
REGION1,LNDPEAHIBC1,2041,0.003722192261792816
REGION1,LNDPEAHIBC1,2042,0.007233969223608701
REGION1,LNDPEAHIBC1,2043,0.0049747338817508
REGION1,LNDPEAHIBC1,2044,0.0092114891068432
REGION1,LNDPEAHIBC1,2045,0.006110826054048384
