REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,1,BATTERY_STORAGE,ELCB02,2028,0.8924553685362016
REGION1,1,BATTERY_STORAGE,ELCB02,2030,0.6024481880329452
REGION1,1,BATTERY_STORAGE,ELCB02,2035,5.727625384016064
REGION1,1,BATTERY_STORAGE,ELCB02,2042,0.49206220076265145
REGION1,1,BATTERY_STORAGE,ELCB02,2043,1.429764970184057
REGION1,1,BATTERY_STORAGE,ELCB02,2044,2.03121337130293
REGION1,1,BATTERY_STORAGE,ELCB02,2045,2.7854835238196562
REGION1,1,BATTERY_STORAGE,ELCB02,2046,3.6665159500427476
REGION1,1,BATTERY_STORAGE,ELCB02,2047,4.14897143074481
REGION1,1,BATTERY_STORAGE,ELCB02,2048,4.641524816856902
REGION1,1,BATTERY_STORAGE,ELCB02,2049,5.147542076849067
REGION1,1,BATTERY_STORAGE,ELCB02,2050,5.664779231741261
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2027,0.009938556340098622
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2028,0.011438405117720148
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2021,0.005360948563413133
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2022,0.11944121562637036
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2023,0.06616271347676143
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2024,0.10486037628892184
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2025,0.06743095161871253
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2026,0.06649654641524316
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2027,0.0701880192249282
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2028,0.061092573496300234
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2029,0.06431944824250187
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2030,0.05290658183163852
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2031,0.04709358891396151
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2032,0.044006363926962486
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2033,0.04460551242320927
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2034,0.04514225246562485
