REGION,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,BATTERY_STORAGE,ELCB02,2025,0.28566862276018873
REGION1,BATTERY_STORAGE,ELCB02,2026,8.787310168907794
REGION1,BATTERY_STORAGE,ELCB02,2027,14.276752381197745
REGION1,BATTERY_STORAGE,ELCB02,2028,18.556196958889426
REGION1,BATTERY_STORAGE,ELCB02,2029,30.845268663422306
REGION1,BATTERY_STORAGE,ELCB02,2030,19.741604960886935
REGION1,BATTERY_STORAGE,ELCB02,2031,29.255957836492026
REGION1,BATTERY_STORAGE,ELCB02,2032,40.20558109712318
REGION1,BATTERY_STORAGE,ELCB02,2033,52.303305292199326
REGION1,BATTERY_STORAGE,ELCB02,2034,57.391645120026354
REGION1,BATTERY_STORAGE,ELCB02,2035,51.750907330577505
REGION1,BATTERY_STORAGE,ELCB02,2036,61.00522114511784
REGION1,BATTERY_STORAGE,ELCB02,2037,62.083731589264005
REGION1,BATTERY_STORAGE,ELCB02,2038,66.66044458750874
REGION1,BATTERY_STORAGE,ELCB02,2039,75.4287691293461
REGION1,BATTERY_STORAGE,ELCB02,2040,75.48810712978471
REGION1,BATTERY_STORAGE,ELCB02,2041,83.23442842717483
REGION1,BATTERY_STORAGE,ELCB02,2042,86.12301716787424
REGION1,BATTERY_STORAGE,ELCB02,2043,84.94260622879864
REGION1,BATTERY_STORAGE,ELCB02,2044,100.50407792527253
REGION1,BATTERY_STORAGE,ELCB02,2045,83.59848958203548
REGION1,BATTERY_STORAGE,ELCB02,2046,80.60269719080574
REGION1,BATTERY_STORAGE,ELCB02,2047,79.38161757729239
REGION1,BATTERY_STORAGE,ELCB02,2048,78.14508271145375
REGION1,BATTERY_STORAGE,ELCB02,2049,76.55144369977032
REGION1,BATTERY_STORAGE,ELCB02,2050,58.25277971116332
REGION1,DEMAGRGWTBC1,AGRWATBC1,2027,0.08628473913449261
REGION1,DEMAGRGWTBC1,AGRWATBC1,2028,0.09930615352202495
REGION1,DEMAGRSURBC1,AGRWATBC1,2021,0.36830340343773843
REGION1,DEMAGRSURBC1,AGRWATBC1,2022,0.37167287898339024
REGION1,DEMAGRSURBC1,AGRWATBC1,2023,0.47834956492309083
REGION1,DEMAGRSURBC1,AGRWATBC1,2024,0.4227863319138588
REGION1,DEMAGRSURBC1,AGRWATBC1,2025,0.42829624970554925
REGION1,DEMAGRSURBC1,AGRWATBC1,2026,0.4337688982137119
REGION1,DEMAGRSURBC1,AGRWATBC1,2027,0.3526550187038998
REGION1,DEMAGRSURBC1,AGRWATBC1,2028,0.3632186936763493
REGION1,DEMAGRSURBC1,AGRWATBC1,2029,0.4682037545715635
REGION1,DEMAGRSURBC1,AGRWATBC1,2030,0.487343070693781
REGION1,DEMAGRSURBC1,AGRWATBC1,2031,0.48578432622307377
REGION1,DEMAGRSURBC1,AGRWATBC1,2032,0.48642659335197413
REGION1,DEMAGRSURBC1,AGRWATBC1,2033,0.49341007825383
REGION1,DEMAGRSURBC1,AGRWATBC1,2034,0.4993115659501433
REGION1,DEMAGRSURBC1,AGRWATBC1,2035,0.5063256300568016
REGION1,DEMAGRSURBC1,AGRWATBC1,2036,0.5198091236535078
REGION1,DEMAGRSURBC1,AGRWATBC1,2037,0.5231026240360981
REGION1,DEMAGRSURBC1,AGRWATBC1,2038,0.5289196541222904
REGION1,DEMAGRSURBC1,AGRWATBC1,2039,0.5394347192928413
REGION1,DEMAGRSURBC1,AGRWATBC1,2040,0.5400690399989161
REGION1,DEMAGRSURBC1,AGRWATBC1,2041,0.547175544543008
REGION1,DEMAGRSURBC1,AGRWATBC1,2042,0.5604758659492431
REGION1,DEMAGRSURBC1,AGRWATBC1,2043,0.5612149684587012
REGION1,DEMAGRSURBC1,AGRWATBC1,2044,0.5672160583044593
REGION1,DEMAGRSURBC1,AGRWATBC1,2045,0.5738520078009219
REGION1,DEMAGRSURBC1,AGRWATBC1,2046,0.580659854808135
REGION1,DEMAGRSURBC1,AGRWATBC1,2047,0.5867745810865016
REGION1,DEMAGRSURBC1,AGRWATBC1,2048,0.5934105305829626
REGION1,DEMAGRSURBC1,AGRWATBC1,2049,0.6002661577835423
REGION1,DEMAGRSURBC1,AGRWATBC1,2050,0.6071975512169803
REGION1,DEMCOMBIO,COMBIO,2021,0.760000456000264
REGION1,DEMCOMBIO,COMBIO,2022,1.2000007200004312
REGION1,DEMCOMBIO,COMBIO,2023,1.630000978000586
REGION1,DEMCOMBIO,COMBIO,2024,2.4100014559683824
REGION1,DEMCOMBIO,COMBIO,2025,3.6100021660012986
REGION1,DEMCOMBIO,COMBIO,2026,4.81000288600173
REGION1,DEMCOMBIO,COMBIO,2027,6.370003822002289
REGION1,DEMCOMBIO,COMBIO,2028,7.850004710002819
REGION1,DEMCOMBIO,COMBIO,2029,9.760005856003495
REGION1,DEMCOMBIO,COMBIO,2030,11.660006996004197
REGION1,DEMCOMBIO,COMBIO,2031,11.52000811952379
REGION1,DEMCOMBIO,COMBIO,2032,11.380009476997854
REGION1,DEMCOMBIO,COMBIO,2033,11.330009435359024
REGION1,DEMCOMBIO,COMBIO,2034,11.300008118991098
REGION1,DEMCOMBIO,COMBIO,2035,11.260007936270645
REGION1,DEMCOMBIO,COMBIO,2036,11.230007986348689
REGION1,DEMCOMBIO,COMBIO,2037,11.180007895323698
REGION1,DEMCOMBIO,COMBIO,2038,11.150007874580815
REGION1,DEMCOMBIO,COMBIO,2039,11.130007844644076
REGION1,DEMCOMBIO,COMBIO,2040,11.11000783054768
REGION1,DEMCOMBIO,COMBIO,2041,11.100007823499483
REGION1,DEMCOMBIO,COMBIO,2042,11.090007816451285
REGION1,DEMCOMBIO,COMBIO,2043,11.100007275841453
REGION1,DEMCOMBIO,COMBIO,2044,11.120007837595875
REGION1,DEMCOMBIO,COMBIO,2045,11.140006730077914
REGION1,DEMCOMBIO,COMBIO,2046,11.180007222153451
REGION1,DEMCOMBIO,COMBIO,2047,11.23000673800404
REGION1,DEMCOMBIO,COMBIO,2048,11.300006780004063
REGION1,DEMCOMBIO,COMBIO,2049,11.360006816004084
REGION1,DEMCOMBIO,COMBIO,2050,11.450006870004117
REGION1,DEMCOMELCB02,COMELCB02,2021,53.03001784007981
REGION1,DEMCOMELCB02,COMELCB02,2022,57.05001919246752
REGION1,DEMCOMELCB02,COMELCB02,2023,59.440019996499025
REGION1,DEMCOMELCB02,COMELCB02,2024,61.18002058186088
REGION1,DEMCOMELCB02,COMELCB02,2025,62.860021147037834
REGION1,DEMCOMELCB02,COMELCB02,2026,64.68002175931287
REGION1,DEMCOMELCB02,COMELCB02,2027,66.57002239513696
REGION1,DEMCOMELCB02,COMELCB02,2028,68.09002290648753
REGION1,DEMCOMELCB02,COMELCB02,2029,69.3800233404627
REGION1,DEMCOMELCB02,COMELCB02,2030,70.59002374752467
REGION1,DEMCOMELCB02,COMELCB02,2031,71.89002418486399
REGION1,DEMCOMELCB02,COMELCB02,2032,73.26002464575234
REGION1,DEMCOMELCB02,COMELCB02,2033,74.49002505954262
REGION1,DEMCOMELCB02,COMELCB02,2034,75.75002548342533
REGION1,DEMCOMELCB02,COMELCB02,2035,77.02002591067219
REGION1,DEMCOMELCB02,COMELCB02,2036,78.37002636483226
REGION1,DEMCOMELCB02,COMELCB02,2037,79.70002681226401
REGION1,DEMCOMELCB02,COMELCB02,2038,80.96002723614671
REGION1,DEMCOMELCB02,COMELCB02,2039,82.19002764993701
REGION1,DEMCOMELCB02,COMELCB02,2040,83.27002801326505
REGION1,DEMCOMELCB02,COMELCB02,2041,84.34002837322893
REGION1,DEMCOMELCB02,COMELCB02,2042,85.36002871637209
REGION1,DEMCOMELCB02,COMELCB02,2043,86.3700290561511
REGION1,DEMCOMELCB02,COMELCB02,2044,87.3400293824735
REGION1,DEMCOMELCB02,COMELCB02,2045,88.37002972898081
REGION1,DEMCOMELCB02,COMELCB02,2046,89.5000301091296
REGION1,DEMCOMELCB02,COMELCB02,2047,90.70003051282742
REGION1,DEMCOMELCB02,COMELCB02,2048,92.03003096025918
REGION1,DEMCOMELCB02,COMELCB02,2049,93.40003142114753
REGION1,DEMCOMELCB02,COMELCB02,2050,94.89003192240567
REGION1,DEMCOMNGS,COMNGS,2021,74.10004446002661
REGION1,DEMCOMNGS,COMNGS,2022,78.15004689002812
REGION1,DEMCOMNGS,COMNGS,2023,79.59004775402862
REGION1,DEMCOMNGS,COMNGS,2024,77.68004660802794
REGION1,DEMCOMNGS,COMNGS,2025,76.34004580402745
REGION1,DEMCOMNGS,COMNGS,2026,75.28004516802706
REGION1,DEMCOMNGS,COMNGS,2027,73.11004386602626
REGION1,DEMCOMNGS,COMNGS,2028,70.58004234802537
REGION1,DEMCOMNGS,COMNGS,2029,68.25004095002453
REGION1,DEMCOMNGS,COMNGS,2030,66.01003960602374
REGION1,DEMCOMNGS,COMNGS,2031,65.23003913802346
REGION1,DEMCOMNGS,COMNGS,2032,64.45003867002318
REGION1,DEMCOMNGS,COMNGS,2033,64.17003850202308
REGION1,DEMCOMNGS,COMNGS,2034,63.99003839402301
REGION1,DEMCOMNGS,COMNGS,2035,63.80003828002293
REGION1,DEMCOMNGS,COMNGS,2036,63.580038148022844
REGION1,DEMCOMNGS,COMNGS,2037,63.32003799202276
REGION1,DEMCOMNGS,COMNGS,2038,63.13003787802269
REGION1,DEMCOMNGS,COMNGS,2039,63.05003783002266
REGION1,DEMCOMNGS,COMNGS,2040,62.94003776402262
REGION1,DEMCOMNGS,COMNGS,2041,62.8700377220226
REGION1,DEMCOMNGS,COMNGS,2042,62.83003769802259
REGION1,DEMCOMNGS,COMNGS,2043,62.8700377220226
REGION1,DEMCOMNGS,COMNGS,2044,62.970037782022644
REGION1,DEMCOMNGS,COMNGS,2045,63.11003786602269
REGION1,DEMCOMNGS,COMNGS,2046,63.32003799202276
REGION1,DEMCOMNGS,COMNGS,2047,63.610038166022875
REGION1,DEMCOMNGS,COMNGS,2048,63.970038382023006
REGION1,DEMCOMNGS,COMNGS,2049,64.36003861602313
