REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
REGION1,8,LNDAGRBC1C02,52,2042,0.0362675990849084
REGION1,1,LNDAGRBC1C05,52,2021,550.6100374466872
REGION1,2,LNDAGRBC1C05,52,2021,543.1452573312754
REGION1,3,LNDAGRBC1C05,52,2021,550.6100374466879
REGION1,4,LNDAGRBC1C05,52,2021,550.6100374466879
REGION1,5,LNDAGRBC1C05,52,2021,536.5510160026079
REGION1,6,LNDAGRBC1C05,52,2021,550.6100374466879
REGION1,7,LNDAGRBC1C05,52,2021,550.6100374466879
REGION1,8,LNDAGRBC1C05,52,2021,543.5065857713497
REGION1,1,LNDAGRBC1C05,52,2022,547.4812186623359
REGION1,2,LNDAGRBC1C05,52,2022,547.4812186623358
REGION1,3,LNDAGRBC1C05,52,2022,547.4812186623359
REGION1,4,LNDAGRBC1C05,52,2022,547.4812186623359
REGION1,5,LNDAGRBC1C05,52,2022,547.4812186623359
REGION1,6,LNDAGRBC1C05,52,2022,547.4812186623359
REGION1,7,LNDAGRBC1C05,52,2022,547.4812186623359
REGION1,8,LNDAGRBC1C05,52,2022,547.4812186623359
REGION1,1,LNDAGRBC1C05,52,2023,547.7198549612856
REGION1,2,LNDAGRBC1C05,52,2023,547.7198549612856
REGION1,3,LNDAGRBC1C05,52,2023,547.7198549612856
REGION1,4,LNDAGRBC1C05,52,2023,547.7198549612856
REGION1,5,LNDAGRBC1C05,52,2023,547.7198549612856
REGION1,6,LNDAGRBC1C05,52,2023,547.7198549612855
REGION1,7,LNDAGRBC1C05,52,2023,547.7198549612856
REGION1,8,LNDAGRBC1C05,52,2023,547.7198549612856
REGION1,1,LNDAGRBC1C05,52,2024,547.4850556650428
REGION1,2,LNDAGRBC1C05,52,2024,547.4850556650428
REGION1,3,LNDAGRBC1C05,52,2024,547.4850556650428
REGION1,4,LNDAGRBC1C05,52,2024,547.4850556650425
REGION1,5,LNDAGRBC1C05,52,2024,547.4850556650428
REGION1,6,LNDAGRBC1C05,52,2024,547.4850556650428
REGION1,7,LNDAGRBC1C05,52,2024,547.4850556650428
REGION1,8,LNDAGRBC1C05,52,2024,547.4850556650425
REGION1,1,LNDAGRBC1C05,52,2025,547.4198455466113
REGION1,2,LNDAGRBC1C05,52,2025,547.4198455466113
REGION1,3,LNDAGRBC1C05,52,2025,547.4198455466113
REGION1,4,LNDAGRBC1C05,52,2025,547.4198455466113
REGION1,5,LNDAGRBC1C05,52,2025,547.4198455466113
REGION1,6,LNDAGRBC1C05,52,2025,547.4198455466113
REGION1,7,LNDAGRBC1C05,52,2025,547.4198455466113
REGION1,8,LNDAGRBC1C05,52,2025,547.4198455466113
REGION1,1,LNDAGRBC1C05,52,2026,555.0626387227344
REGION1,2,LNDAGRBC1C05,52,2026,555.0626387227344
REGION1,3,LNDAGRBC1C05,52,2026,541.1978831362156
REGION1,4,LNDAGRBC1C05,52,2026,555.0626387227344
REGION1,5,LNDAGRBC1C05,52,2026,538.5397359544997
REGION1,6,LNDAGRBC1C05,52,2026,536.112838712817
REGION1,7,LNDAGRBC1C05,52,2026,538.1737233355944
REGION1,8,LNDAGRBC1C05,52,2026,555.0626387227344
REGION1,1,LNDAGRBC1C05,52,2027,547.0324915912447
REGION1,2,LNDAGRBC1C05,52,2027,547.0324915912447
REGION1,3,LNDAGRBC1C05,52,2027,547.0324915912447
REGION1,4,LNDAGRBC1C05,52,2027,547.0324915912447
REGION1,5,LNDAGRBC1C05,52,2027,547.0324915912448
REGION1,6,LNDAGRBC1C05,52,2027,547.0324915912447
REGION1,7,LNDAGRBC1C05,52,2027,547.0324915912448
REGION1,8,LNDAGRBC1C05,52,2027,547.0324915912447
REGION1,1,LNDAGRBC1C05,52,2028,548.441656216409
REGION1,2,LNDAGRBC1C05,52,2028,548.441656216409
REGION1,3,LNDAGRBC1C05,52,2028,548.441656216409
REGION1,4,LNDAGRBC1C05,52,2028,548.441656216409
REGION1,5,LNDAGRBC1C05,52,2028,548.441656216409
REGION1,6,LNDAGRBC1C05,52,2028,548.441656216409
REGION1,7,LNDAGRBC1C05,52,2028,548.441656216409
REGION1,8,LNDAGRBC1C05,52,2028,540.1792452427075
REGION1,1,LNDAGRBC1C05,52,2029,552.978186395552
REGION1,2,LNDAGRBC1C05,52,2029,552.978186395552
REGION1,3,LNDAGRBC1C05,52,2029,552.978186395552
REGION1,4,LNDAGRBC1C05,52,2029,552.978186395552
REGION1,5,LNDAGRBC1C05,52,2029,552.9781863955521
REGION1,6,LNDAGRBC1C05,52,2029,552.978186395552
REGION1,7,LNDAGRBC1C05,52,2029,539.6277348469581
REGION1,8,LNDAGRBC1C05,52,2029,535.7945286052112
REGION1,1,LNDAGRBC1C05,52,2030,546.2305565133681
REGION1,2,LNDAGRBC1C05,52,2030,546.2305565133681
REGION1,3,LNDAGRBC1C05,52,2030,546.230556513368
REGION1,4,LNDAGRBC1C05,52,2030,546.2305565133681
REGION1,5,LNDAGRBC1C05,52,2030,546.2305565133681
REGION1,6,LNDAGRBC1C05,52,2030,546.2305565133681
REGION1,7,LNDAGRBC1C05,52,2030,546.2305565133681
REGION1,8,LNDAGRBC1C05,52,2030,546.2305565133681
REGION1,1,LNDAGRBC1C05,52,2031,546.3712960779241
REGION1,2,LNDAGRBC1C05,52,2031,544.5442184082201
REGION1,3,LNDAGRBC1C05,52,2031,546.3712960779241
REGION1,4,LNDAGRBC1C05,52,2031,546.3712960779241
REGION1,5,LNDAGRBC1C05,52,2031,542.4442049415329
REGION1,6,LNDAGRBC1C05,52,2031,546.3712960779242
REGION1,7,LNDAGRBC1C05,52,2031,546.3712960779241
REGION1,8,LNDAGRBC1C05,52,2031,546.3712960779241
REGION1,1,LNDAGRBC1C05,52,2032,545.8751149699491
REGION1,2,LNDAGRBC1C05,52,2032,545.8751149699491
REGION1,3,LNDAGRBC1C05,52,2032,545.8751149699491
REGION1,4,LNDAGRBC1C05,52,2032,545.8751149699491
REGION1,5,LNDAGRBC1C05,52,2032,545.8751149699491
REGION1,6,LNDAGRBC1C05,52,2032,545.8751149699491
REGION1,7,LNDAGRBC1C05,52,2032,545.8751149699491
REGION1,8,LNDAGRBC1C05,52,2032,545.8751149699491
REGION1,1,LNDAGRBC1C05,52,2033,545.6397818804609
REGION1,2,LNDAGRBC1C05,52,2033,545.6397818804609
REGION1,3,LNDAGRBC1C05,52,2033,545.6397818804609
REGION1,4,LNDAGRBC1C05,52,2033,545.6397818804609
REGION1,5,LNDAGRBC1C05,52,2033,545.6397818804609
REGION1,6,LNDAGRBC1C05,52,2033,545.6397818804612
REGION1,7,LNDAGRBC1C05,52,2033,545.6397818804609
REGION1,8,LNDAGRBC1C05,52,2033,545.6397818804609
REGION1,1,LNDAGRBC1C05,52,2034,545.4966840051568
REGION1,2,LNDAGRBC1C05,52,2034,545.4966840051568
REGION1,3,LNDAGRBC1C05,52,2034,545.4966840051568
REGION1,4,LNDAGRBC1C05,52,2034,545.4966840051568
REGION1,5,LNDAGRBC1C05,52,2034,545.4966840051567
REGION1,6,LNDAGRBC1C05,52,2034,545.4966840051568
REGION1,7,LNDAGRBC1C05,52,2034,545.4966840051568
REGION1,8,LNDAGRBC1C05,52,2034,545.4966840051568
REGION1,1,LNDAGRBC1C05,52,2035,545.2736171331968
REGION1,2,LNDAGRBC1C05,52,2035,545.2736171331968
REGION1,3,LNDAGRBC1C05,52,2035,545.2736171331968
REGION1,4,LNDAGRBC1C05,52,2035,545.2736171331973
REGION1,5,LNDAGRBC1C05,52,2035,545.2736171331968
REGION1,6,LNDAGRBC1C05,52,2035,545.2736171331971
REGION1,7,LNDAGRBC1C05,52,2035,545.2736171331968
REGION1,8,LNDAGRBC1C05,52,2035,545.2736171331968
REGION1,1,LNDAGRBC1C05,52,2036,544.9256702559557
REGION1,2,LNDAGRBC1C05,52,2036,544.9256702559557
REGION1,3,LNDAGRBC1C05,52,2036,544.9256702559557
REGION1,4,LNDAGRBC1C05,52,2036,544.9256702559557
REGION1,5,LNDAGRBC1C05,52,2036,544.9256702559557
REGION1,6,LNDAGRBC1C05,52,2036,544.9256702559557
REGION1,7,LNDAGRBC1C05,52,2036,544.9256702559557
REGION1,8,LNDAGRBC1C05,52,2036,544.9256702559555
REGION1,1,LNDAGRBC1C05,52,2037,544.6350814937323
REGION1,2,LNDAGRBC1C05,52,2037,544.6350814937322
REGION1,3,LNDAGRBC1C05,52,2037,544.6350814937323
REGION1,4,LNDAGRBC1C05,52,2037,544.6350814937323
REGION1,5,LNDAGRBC1C05,52,2037,544.6350814937323
REGION1,6,LNDAGRBC1C05,52,2037,544.6350814937323
REGION1,7,LNDAGRBC1C05,52,2037,544.6350814937323
REGION1,8,LNDAGRBC1C05,52,2037,544.6350814937322
REGION1,1,LNDAGRBC1C05,52,2038,544.4186567399715
REGION1,2,LNDAGRBC1C05,52,2038,544.4186567399715
REGION1,3,LNDAGRBC1C05,52,2038,544.4186567399715
REGION1,4,LNDAGRBC1C05,52,2038,544.4186567399715
REGION1,5,LNDAGRBC1C05,52,2038,544.4186567399715
REGION1,6,LNDAGRBC1C05,52,2038,544.4186567399713
REGION1,7,LNDAGRBC1C05,52,2038,544.4186567399715
REGION1,8,LNDAGRBC1C05,52,2038,544.4186567399715
REGION1,1,LNDAGRBC1C05,52,2039,544.2910878773421
REGION1,2,LNDAGRBC1C05,52,2039,544.2910878773421
REGION1,3,LNDAGRBC1C05,52,2039,544.2910878773421
REGION1,4,LNDAGRBC1C05,52,2039,544.2910878773421
REGION1,5,LNDAGRBC1C05,52,2039,544.2910878773421
REGION1,6,LNDAGRBC1C05,52,2039,544.2910878773421
