REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,TIMESLICE,VALUE
REGION1,BATTERY_STORAGE,ELCB02,1,2026,1,18.31049109571432
REGION1,BATTERY_STORAGE,ELCB02,1,2026,2,11.913743359655967
REGION1,BATTERY_STORAGE,ELCB02,1,2026,3,17.391069670809934
REGION1,BATTERY_STORAGE,ELCB02,1,2026,7,18.31049109571432
REGION1,BATTERY_STORAGE,ELCB02,1,2026,8,0.0053075312086898335
REGION1,BATTERY_STORAGE,ELCB02,1,2027,1,29.239804243345212
REGION1,BATTERY_STORAGE,ELCB02,1,2027,4,30.55917206122565
REGION1,BATTERY_STORAGE,ELCB02,1,2027,5,16.514250426647678
REGION1,BATTERY_STORAGE,ELCB02,1,2027,7,31.075797913518915
REGION1,BATTERY_STORAGE,ELCB02,1,2028,1,31.113574976794983
REGION1,BATTERY_STORAGE,ELCB02,1,2028,3,39.776725476574555
REGION1,BATTERY_STORAGE,ELCB02,1,2028,5,29.586808755046377
REGION1,BATTERY_STORAGE,ELCB02,1,2028,7,0.4552844788346592
REGION1,BATTERY_STORAGE,ELCB02,1,2028,8,40.984672234846926
REGION1,BATTERY_STORAGE,ELCB02,1,2029,1,65.59201632791338
REGION1,BATTERY_STORAGE,ELCB02,1,2029,3,67.14360742903239
REGION1,BATTERY_STORAGE,ELCB02,1,2029,5,30.80332549615932
REGION1,BATTERY_STORAGE,ELCB02,1,2029,7,67.96075966426629
REGION1,BATTERY_STORAGE,ELCB02,1,2030,1,81.2777218414079
REGION1,BATTERY_STORAGE,ELCB02,1,2030,2,21.74507287414394
REGION1,BATTERY_STORAGE,ELCB02,1,2030,3,86.1874711963626
REGION1,BATTERY_STORAGE,ELCB02,1,2031,1,91.86562134102279
REGION1,BATTERY_STORAGE,ELCB02,1,2031,2,72.9455181510431
REGION1,BATTERY_STORAGE,ELCB02,1,2031,3,103.11601750775364
REGION1,BATTERY_STORAGE,ELCB02,1,2031,5,32.630257552405084
REGION1,BATTERY_STORAGE,ELCB02,1,2032,1,77.1474992098662
REGION1,BATTERY_STORAGE,ELCB02,1,2032,2,78.36574833820883
REGION1,BATTERY_STORAGE,ELCB02,1,2032,4,71.74437528127865
REGION1,BATTERY_STORAGE,ELCB02,1,2032,7,83.84717335023565
REGION1,BATTERY_STORAGE,ELCB02,1,2033,1,62.76444394004282
REGION1,BATTERY_STORAGE,ELCB02,1,2033,2,81.25442915762186
REGION1,BATTERY_STORAGE,ELCB02,1,2033,3,63.00506546351612
REGION1,BATTERY_STORAGE,ELCB02,1,2033,7,149.0618510809113
REGION1,BATTERY_STORAGE,ELCB02,1,2034,1,54.283834091569055
REGION1,BATTERY_STORAGE,ELCB02,1,2034,2,82.8470668138815
REGION1,BATTERY_STORAGE,ELCB02,1,2034,4,61.003329831673035
REGION1,BATTERY_STORAGE,ELCB02,1,2034,7,161.69438886160756
REGION1,BATTERY_STORAGE,ELCB02,1,2034,8,14.67133303474388
REGION1,BATTERY_STORAGE,ELCB02,1,2035,1,109.99035373499936
REGION1,BATTERY_STORAGE,ELCB02,1,2035,7,173.3413617703286
REGION1,BATTERY_STORAGE,ELCB02,1,2035,8,22.690424941997502
REGION1,BATTERY_STORAGE,ELCB02,1,2036,1,39.21781164758815
REGION1,BATTERY_STORAGE,ELCB02,1,2036,4,76.19117457427944
REGION1,BATTERY_STORAGE,ELCB02,1,2036,5,37.15337032920262
REGION1,BATTERY_STORAGE,ELCB02,1,2036,7,184.62243446363132
REGION1,BATTERY_STORAGE,ELCB02,1,2036,8,28.353117212648957
REGION1,BATTERY_STORAGE,ELCB02,1,2037,1,32.28068662961476
REGION1,BATTERY_STORAGE,ELCB02,1,2037,4,83.9999818178244
REGION1,BATTERY_STORAGE,ELCB02,1,2037,7,195.19168422982457
REGION1,BATTERY_STORAGE,ELCB02,1,2037,8,33.774953977810334
REGION1,BATTERY_STORAGE,ELCB02,1,2038,1,25.740677891739924
REGION1,BATTERY_STORAGE,ELCB02,1,2038,4,89.86916103429854
REGION1,BATTERY_STORAGE,ELCB02,1,2038,7,201.2736706453864
REGION1,BATTERY_STORAGE,ELCB02,1,2038,8,48.55933929215005
REGION1,BATTERY_STORAGE,ELCB02,1,2039,1,19.03658747477808
REGION1,BATTERY_STORAGE,ELCB02,1,2039,4,89.76765277115278
REGION1,BATTERY_STORAGE,ELCB02,1,2039,5,38.87892599035576
REGION1,BATTERY_STORAGE,ELCB02,1,2039,7,204.6691923480761
REGION1,BATTERY_STORAGE,ELCB02,1,2039,8,75.96847450243777
REGION1,BATTERY_STORAGE,ELCB02,1,2040,1,10.765166014637122
REGION1,BATTERY_STORAGE,ELCB02,1,2040,4,90.09817419809056
REGION1,BATTERY_STORAGE,ELCB02,1,2040,7,191.02966045533216
REGION1,BATTERY_STORAGE,ELCB02,1,2040,8,106.1692693113322
REGION1,BATTERY_STORAGE,ELCB02,1,2041,1,3.1111468841125207
REGION1,BATTERY_STORAGE,ELCB02,1,2041,4,89.92694311017651
REGION1,BATTERY_STORAGE,ELCB02,1,2041,5,39.90239619187701
REGION1,BATTERY_STORAGE,ELCB02,1,2041,7,188.5384804298181
REGION1,BATTERY_STORAGE,ELCB02,1,2041,8,134.69680436561197
REGION1,BATTERY_STORAGE,ELCB02,1,2042,3,89.3411689538522
REGION1,BATTERY_STORAGE,ELCB02,1,2042,7,185.2821327063357
REGION1,BATTERY_STORAGE,ELCB02,1,2042,8,166.8167093068836
REGION1,BATTERY_STORAGE,ELCB02,1,2043,5,40.8525302777996
REGION1,BATTERY_STORAGE,ELCB02,1,2043,7,200.88991883310305
REGION1,BATTERY_STORAGE,ELCB02,1,2043,8,181.79386735171113
REGION1,BATTERY_STORAGE,ELCB02,1,2044,3,93.18573437375595
REGION1,BATTERY_STORAGE,ELCB02,1,2044,5,41.30872405571684
REGION1,BATTERY_STORAGE,ELCB02,1,2044,7,210.47374883806572
REGION1,BATTERY_STORAGE,ELCB02,1,2044,8,191.1644547543341
REGION1,BATTERY_STORAGE,ELCB02,1,2045,7,204.74611449002708
REGION1,BATTERY_STORAGE,ELCB02,1,2045,8,185.2200489665648
REGION1,BATTERY_STORAGE,ELCB02,1,2046,7,197.66506467470512
REGION1,BATTERY_STORAGE,ELCB02,1,2046,8,177.91819475449384
REGION1,BATTERY_STORAGE,ELCB02,1,2047,7,194.94386533310157
REGION1,BATTERY_STORAGE,ELCB02,1,2047,8,174.98022397315958
REGION1,BATTERY_STORAGE,ELCB02,1,2048,7,192.1657106564411
REGION1,BATTERY_STORAGE,ELCB02,1,2048,8,171.98076078012295
REGION1,BATTERY_STORAGE,ELCB02,1,2049,7,189.3116155330383
REGION1,BATTERY_STORAGE,ELCB02,1,2049,8,168.89930770481658
REGION1,BATTERY_STORAGE,ELCB02,1,2050,3,72.10542066011365
REGION1,BATTERY_STORAGE,ELCB02,1,2050,4,13.254576490142714
REGION1,BATTERY_STORAGE,ELCB02,1,2050,7,162.69108104855476
REGION1,BATTERY_STORAGE,ELCB02,1,2050,8,27.027281782397903
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,1,0.05929534017108472
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,2,0.059295340171083975
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,3,0.7326561944536446
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,4,0.7326561944536446
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,5,0.05929534017108397
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,6,0.05929534017108397
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,7,0.7326561944536446
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2021,8,0.059295340171083975
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2022,1,1.3210922334431887
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2022,2,0.2232181825426848
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2022,3,0.05966484784318864
REGION1,DEMAGRSURBC1,WTRSURBC1,1,2022,4,0.05966484784318864
