REGION,STORAGE,DAYTYPE,YEAR,VALUE
REGION1,BATTERY,1,2026,0.016320196383090364
REGION1,BATTERY,1,2027,0.016525217942132287
REGION1,BATTERY,1,2028,0.014549642273111675
REGION1,BATTERY,1,2029,0.044926038580762585
REGION1,BATTERY,1,2030,0.06599955659985843
REGION1,BATTERY,1,2031,0.09111829780428803
REGION1,BATTERY,1,2032,0.07310332102975138
REGION1,BATTERY,1,2033,0.05219962409203783
REGION1,BATTERY,1,2034,0.03992025949159219
REGION1,BATTERY,1,2035,0.028810097874998965
REGION1,BATTERY,1,2036,0.01802814815190389
REGION1,BATTERY,1,2037,0.0079460372043785
REGION1,BATTERY,1,2038,-0.0015589224903368665
REGION1,BATTERY,1,2039,-0.011275181841854292
REGION1,BATTERY,1,2040,-0.023110494350542694
REGION1,BATTERY,1,2041,-0.03407414684600136
REGION1,BATTERY,1,2042,-0.04625463252709569
REGION1,BATTERY,1,2043,-0.06091193322301858
REGION1,BATTERY,1,2044,-0.07046307326802331
REGION1,BATTERY,1,2045,-0.08233694734606214
REGION1,BATTERY,1,2046,-0.09613975102194534
REGION1,BATTERY,1,2047,-0.10389522098158034
REGION1,BATTERY,1,2048,-0.11181301473106796
REGION1,BATTERY,1,2049,-0.11994724020035943
REGION1,BATTERY,1,2050,-0.1282618254361541
REGION1,BATTERY,2,2025,-0.0005156219461236376
REGION1,BATTERY,2,2026,-0.0006297407019893032
REGION1,BATTERY,2,2027,-0.0007077066469770746
REGION1,BATTERY,2,2028,-0.0016547215866744953
REGION1,BATTERY,2,2029,-0.001473783528444283
REGION1,BATTERY,2,2030,-0.0024023188011008784
REGION1,BATTERY,2,2031,-0.002202637453554523
REGION1,BATTERY,2,2032,-0.0758955779473538
REGION1,BATTERY,2,2033,-0.11788600769506186
REGION1,BATTERY,2,2034,-0.13793295757525276
REGION1,BATTERY,2,2035,-0.14461372952233087
REGION1,BATTERY,2,2036,-0.148535972451167
REGION1,BATTERY,2,2037,-0.15231740056438378
REGION1,BATTERY,2,2038,-0.15792703480550618
REGION1,BATTERY,2,2039,-0.17182475280184292
REGION1,BATTERY,2,2040,-0.1870373581659807
REGION1,BATTERY,2,2041,-0.20186902064002804
REGION1,BATTERY,2,2042,-0.2183674144633204
REGION1,BATTERY,2,2043,-0.23501677732859372
REGION1,BATTERY,2,2044,-0.24404929248221527
REGION1,BATTERY,2,2045,-0.21223707936968833
REGION1,BATTERY,2,2046,-0.17528535665835873
REGION1,BATTERY,2,2047,-0.1564201203813907
REGION1,BATTERY,2,2048,-0.13721678441153085
REGION1,BATTERY,2,2049,-0.11567221546494358
REGION1,BATTERY,2,2050,0.05846575147277833
REGION1,BATTERY,3,2025,-0.0018291312863224672
REGION1,BATTERY,3,2026,-0.01924274419199904
REGION1,BATTERY,3,2027,-0.019947325324481145
REGION1,BATTERY,3,2028,-0.015613511616165133
REGION1,BATTERY,3,2029,-0.051254991655667645
REGION1,BATTERY,3,2030,-0.0768645654885218
REGION1,BATTERY,3,2031,-0.0987584730088264
REGION1,BATTERY,3,2032,-0.12772441300905768
REGION1,BATTERY,3,2033,-0.15603092604469687
REGION1,BATTERY,3,2034,-0.17239173972760546
REGION1,BATTERY,3,2035,-0.18743644380866997
REGION1,BATTERY,3,2036,-0.20201241662250516
REGION1,BATTERY,3,2037,-0.21566499711165285
REGION1,BATTERY,3,2038,-0.22853603453165444
REGION1,BATTERY,3,2039,-0.24153533743307168
REGION1,BATTERY,3,2040,-0.2564812378966264
REGION1,BATTERY,3,2041,-0.2703957972404384
REGION1,BATTERY,3,2042,-0.28543138110597854
REGION1,BATTERY,3,2043,-0.3028607458109608
REGION1,BATTERY,3,2044,-0.3151136901781591
REGION1,BATTERY,3,2045,-0.3297340792882156
REGION1,BATTERY,3,2046,-0.34633449595019994
REGION1,BATTERY,3,2047,-0.3568364809418521
REGION1,BATTERY,3,2048,-0.3675582749217017
REGION1,BATTERY,3,2049,-0.3785731475524811
REGION1,BATTERY,3,2050,-0.38983225239236846
REGION1,BATTERY,4,2026,7.270590696837459e-06
REGION1,BATTERY,4,2027,0.0001083375564217276
REGION1,BATTERY,4,2028,0.0006236773682666
REGION1,BATTERY,4,2029,-0.0003543969048361757
REGION1,BATTERY,4,2030,-0.00017870223012955298
REGION1,BATTERY,4,2031,-0.001852380376837306
REGION1,BATTERY,4,2032,0.05742957078783263
REGION1,BATTERY,4,2033,0.0990132594312126
REGION1,BATTERY,4,2034,0.1207984396550352
REGION1,BATTERY,4,2035,0.13426834706323704
REGION1,BATTERY,4,2036,0.1458736655316988
REGION1,BATTERY,4,2037,0.1568264645257773
REGION1,BATTERY,4,2038,0.16845944119219505
REGION1,BATTERY,4,2039,0.1850048882754054
REGION1,BATTERY,4,2040,0.20356091079908517
REGION1,BATTERY,4,2041,0.22139403068180136
REGION1,BATTERY,4,2042,0.2411635904200132
REGION1,BATTERY,4,2043,0.2621121823183658
REGION1,BATTERY,4,2044,0.2750946599947943
REGION1,BATTERY,4,2045,0.26710011195656974
REGION1,BATTERY,4,2046,0.25724880782821846
REGION1,BATTERY,4,2047,0.253372663908398
REGION1,BATTERY,4,2048,0.24941539139490687
REGION1,BATTERY,4,2049,0.24534994742318825
REGION1,BATTERY,4,2050,0.12994408413078948
REGION1,HYDRODAM01,1,2021,-0.1370126578141989
REGION1,HYDRODAM01,1,2022,0.2777085351828696
REGION1,HYDRODAM01,1,2023,0.3709574934284008
REGION1,HYDRODAM01,1,2024,0.024011356292408137
REGION1,HYDRODAM01,1,2025,0.367285951401869
REGION1,HYDRODAM01,1,2026,0.1672014953270864
REGION1,HYDRODAM01,1,2027,0.23507360617933545
REGION1,HYDRODAM01,1,2028,0.04946067499685325
REGION1,HYDRODAM01,1,2029,0.3709574934283997
REGION1,HYDRODAM01,1,2030,0.024011356292408137
REGION1,HYDRODAM01,1,2031,0.367285951401869
REGION1,HYDRODAM01,1,2032,0.1672014953270864
REGION1,HYDRODAM01,1,2033,0.2397984889402556
REGION1,HYDRODAM01,1,2034,0.02819870257266956
REGION1,HYDRODAM01,1,2035,0.2994487024390243
REGION1,HYDRODAM01,1,2036,0.451627551219512
REGION1,HYDRODAM01,1,2037,-0.5367167999999999
REGION1,HYDRODAM01,1,2038,-0.022423280439774804
REGION1,HYDRODAM01,1,2039,0.33612008764476015
REGION1,HYDRODAM01,1,2041,0.26835839999999994
REGION1,HYDRODAM01,1,2043,0.26835839999999994
REGION1,HYDRODAM01,1,2044,0.16678549186595762
REGION1,HYDRODAM01,1,2046,0.16672217758313218
REGION1,HYDRODAM01,1,2047,0.08477406511953837
REGION1,HYDRODAM01,1,2048,0.14314147832830967
REGION1,HYDRODAM01,1,2050,-0.5367167999999999
REGION1,HYDRODAM01,2,2021,0.2055189867212984
REGION1,HYDRODAM01,2,2022,0.10209851402465343
REGION1,HYDRODAM01,2,2023,0.004001892715394195
REGION1,HYDRODAM01,2,2024,0.022010409934707455
REGION1,HYDRODAM01,2,2025,0.02786691588785045
REGION1,HYDRODAM01,2,2026,0.1532680373831625
REGION1,HYDRODAM01,2,2027,0.008243445832801769
REGION1,HYDRODAM01,2,2028,0.045338952080448816
REGION1,HYDRODAM01,2,2029,0.004001892715401444
REGION1,HYDRODAM01,2,2030,0.022010409934707455
REGION1,HYDRODAM01,2,2031,0.02786691588785045
REGION1,HYDRODAM01,2,2032,0.1532680373831625
REGION1,HYDRODAM01,2,2033,0.004699783762111593
REGION1,HYDRODAM01,2,2034,0.02584881069161377
REGION1,HYDRODAM01,2,2035,0.07527125853658538
REGION1,HYDRODAM01,2,2036,0.6594416780487804
REGION1,HYDRODAM01,2,2037,-0.31346661575379403
REGION1,HYDRODAM01,2,2038,0.07848148153921172
REGION1,HYDRODAM01,2,2039,0.43169953057193616
REGION1,HYDRODAM01,2,2040,-0.5367167999999999
REGION1,HYDRODAM01,2,2041,-0.5367167999999999
REGION1,HYDRODAM01,2,2042,-0.4279661662580085
REGION1,HYDRODAM01,2,2043,-0.5367167999999999
REGION1,HYDRODAM01,2,2044,-0.3233683149754228
REGION1,HYDRODAM01,2,2045,-0.44757173593437016
REGION1,HYDRODAM01,2,2046,-0.35437831110679324
REGION1,HYDRODAM01,2,2047,-0.26922951101670384
REGION1,HYDRODAM01,2,2048,-0.2966337371966946
REGION1,HYDRODAM01,2,2049,-0.32680135420054857
REGION1,HYDRODAM01,2,2050,-0.5367167999999999
REGION1,HYDRODAM01,3,2021,-0.5367167999999999
REGION1,HYDRODAM01,3,2022,-0.5367167999999999
REGION1,HYDRODAM01,3,2023,-0.5367167999999999
REGION1,HYDRODAM01,3,2024,-0.022010409934707455
REGION1,HYDRODAM01,3,2025,-0.5367167999999999
REGION1,HYDRODAM01,3,2026,-0.1532680373831625
REGION1,HYDRODAM01,3,2027,-0.5367167999999999
REGION1,HYDRODAM01,3,2028,-0.045338952080448816
REGION1,HYDRODAM01,3,2029,-0.5367167999999999
REGION1,HYDRODAM01,3,2030,-0.022010409934707455
REGION1,HYDRODAM01,3,2031,-0.5367167999999999
REGION1,HYDRODAM01,3,2032,-0.1532680373831625
REGION1,HYDRODAM01,3,2033,-0.5367167999999999
REGION1,HYDRODAM01,3,2034,-0.02584881069161377
REGION1,HYDRODAM01,3,2035,-0.5367167999999999
REGION1,HYDRODAM01,3,2036,-0.5367167999999999
REGION1,HYDRODAM01,3,2037,-0.5367167999999999
REGION1,HYDRODAM01,3,2038,0.08969312175909917
REGION1,HYDRODAM01,3,2039,-0.5367167999999999
REGION1,HYDRODAM01,3,2040,0.5903884799999998
REGION1,HYDRODAM01,3,2041,1.0077714382978733
REGION1,HYDRODAM01,3,2042,0.47076278288380935
REGION1,HYDRODAM01,3,2043,0.9649653377824077
REGION1,HYDRODAM01,3,2044,-0.08339274593297881
REGION1,HYDRODAM01,3,2045,1.2206501889119186
REGION1,HYDRODAM01,3,2046,-0.08336108879156609
REGION1,HYDRODAM01,3,2047,0.9885844981314436
REGION1,HYDRODAM01,3,2048,-0.07157073916415484
REGION1,HYDRODAM01,3,2049,0.8912764205469506
REGION1,HYDRODAM01,3,2050,-0.5367167999999999
REGION1,HYDRODAM01,4,2021,0.09670714440053747
REGION1,HYDRODAM01,4,2022,0.019559986585334883
REGION1,HYDRODAM01,4,2024,-0.004001892715401356
REGION1,HYDRODAM01,4,2026,-0.02786691588784773
REGION1,HYDRODAM01,4,2028,-0.008243445832808874
REGION1,HYDRODAM01,4,2030,-0.004001892715401356
REGION1,HYDRODAM01,4,2032,-0.02786691588784773
REGION1,HYDRODAM01,4,2034,-0.004699783762111593
REGION1,HYDRODAM01,4,2036,-0.07527125853658534
REGION1,HYDRODAM01,4,2037,0.2829465481902931
REGION1,HYDRODAM01,4,2038,-0.06726984131932434
REGION1,HYDRODAM01,4,2039,-0.025129404703374807
REGION1,HYDRODAM01,4,2040,-0.053671679999999965
REGION1,HYDRODAM01,4,2041,-0.027406815319149392
REGION1,HYDRODAM01,4,2042,-0.04279661662580087
REGION1,HYDRODAM01,4,2043,-0.010284375112963168
REGION1,HYDRODAM01,4,2047,-0.08477406511953837
REGION1,HYDRODAM01,4,2050,0.6289347026619541
