REGION,STORAGE,YEAR,VALUE
REGION1,BATTERY,2021,0.18840983560449487
REGION1,BATTERY,2022,0.18840983560449487
REGION1,BATTERY,2023,0.18840983560449487
REGION1,BATTERY,2024,0.18840983560449487
REGION1,BATTERY,2025,0.18840983560449487
REGION1,BATTERY,2026,0.045575524224400366
REGION1,BATTERY,2027,0.04793760359477068
REGION1,BATTERY,2028,0.035416850355252855
REGION1,BATTERY,2029,0.11882425032770635
REGION1,BATTERY,2030,0.18062119081683128
REGION1,BATTERY,2031,0.2209073320875132
REGION1,BATTERY,2032,0.5136574651719853
REGION1,BATTERY,2033,0.8308189400307526
REGION1,BATTERY,2034,1.0595820955761883
REGION1,BATTERY,2035,1.2468788181012165
REGION1,BATTERY,2036,1.423722317432408
REGION1,BATTERY,2037,1.5893859547881382
REGION1,BATTERY,2038,1.7490858436764052
REGION1,BATTERY,2039,1.9264132986210545
REGION1,BATTERY,2040,2.1342428729804968
REGION1,BATTERY,2041,2.328182756007561
REGION1,BATTERY,2042,2.54083179050855
REGION1,BATTERY,2043,2.788146653809923
REGION1,BATTERY,2044,2.9514589748483577
REGION1,BATTERY,2045,3.069345147981932
REGION1,BATTERY,2046,3.2048179341456007
REGION1,BATTERY,2047,3.291532167772984
REGION1,BATTERY,2048,3.3802316127452334
REGION1,BATTERY,2049,3.465906706018698
REGION1,BATTERY,2050,3.7101266015740455
REGION1,HYDRODAM01,2021,5.584785037266917
REGION1,HYDRODAM01,2022,1.5701707106097338
REGION1,HYDRODAM01,2023,3.6106292747708584
REGION1,HYDRODAM01,2024,0.004001892715401356
REGION1,HYDRODAM01,2025,1.7528290093457946
REGION1,HYDRODAM01,2026,0.02786691588784773
REGION1,HYDRODAM01,2027,12.205709158877305
REGION1,HYDRODAM01,2028,0.008243445832808874
REGION1,HYDRODAM01,2029,3.6106292747702873
REGION1,HYDRODAM01,2030,0.004001892715401356
REGION1,HYDRODAM01,2031,1.7528290093457946
REGION1,HYDRODAM01,2032,0.02786691588784773
REGION1,HYDRODAM01,2033,12.205709158877305
REGION1,HYDRODAM01,2034,0.004699783762111593
REGION1,HYDRODAM01,2035,2.058505287804877
REGION1,HYDRODAM01,2036,0.07527125853658534
REGION1,HYDRODAM01,2037,48.309420995121954
REGION1,HYDRODAM01,2038,0.9642010589103152
REGION1,HYDRODAM01,2039,0.6614867729733561
REGION1,HYDRODAM01,2040,28.87536384000001
REGION1,HYDRODAM01,2041,3.9717043200000153
REGION1,HYDRODAM01,2042,23.024579744680857
REGION1,HYDRODAM01,2043,3.166949630309265
REGION1,HYDRODAM01,2044,22.639324840041677
REGION1,HYDRODAM01,2045,0.44757173593437016
REGION1,HYDRODAM01,2046,25.308147250107123
REGION1,HYDRODAM01,2047,0.3540035761362422
REGION1,HYDRODAM01,2048,21.07311557073813
REGION1,HYDRODAM01,2049,0.32680135420054857
REGION1,HYDRODAM01,2050,18.479131119340114
