REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DEMAGRGWTBC1,2027,0.08628472738892609
REGION1,DEMAGRGWTBC1,2028,0.09930614000390989
REGION1,DEMAGRSURBC1,2021,0.36830329406756407
REGION1,DEMAGRSURBC1,2022,0.37167280151796417
REGION1,DEMAGRSURBC1,2023,0.4783493443341544
REGION1,DEMAGRSURBC1,2024,0.42278655984750146
REGION1,DEMAGRSURBC1,2025,0.4282964592181536
REGION1,DEMAGRSURBC1,2026,0.433768695211209
REGION1,DEMAGRSURBC1,2027,0.3526551257561887
REGION1,DEMAGRSURBC1,2028,0.3632189191606604
REGION1,DEMAGRSURBC1,2029,0.46820381163444985
REGION1,DEMAGRSURBC1,2030,0.48734294392330657
REGION1,DEMAGRSURBC1,2031,0.48578403294129335
REGION1,DEMAGRSURBC1,2032,0.4864263012006465
REGION1,DEMAGRSURBC1,2033,0.4934097822029536
REGION1,DEMAGRSURBC1,2034,0.4993112663671392
REGION1,DEMAGRSURBC1,2035,0.5063253262614239
REGION1,DEMAGRSURBC1,2036,0.5198088106606441
REGION1,DEMAGRSURBC1,2037,0.523102310174524
REGION1,DEMAGRSURBC1,2038,0.5289193367704983
REGION1,DEMAGRSURBC1,2039,0.5394343969538427
REGION1,DEMAGRSURBC1,2040,0.5400687159574925
REGION1,DEMAGRSURBC1,2041,0.5471752162376816
REGION1,DEMAGRSURBC1,2042,0.5604755286750324
REGION1,DEMAGRSURBC1,2043,0.5612146317297204
REGION1,DEMAGRSURBC1,2044,0.5672157179748247
REGION1,DEMAGRSURBC1,2045,0.5738516634897176
REGION1,DEMAGRSURBC1,2046,0.5806595064122225
REGION1,DEMAGRSURBC1,2047,0.5867742290209557
REGION1,DEMAGRSURBC1,2048,0.593410174535847
REGION1,DEMAGRSURBC1,2049,0.6002657976230504
REGION1,DEMAGRSURBC1,2050,0.60719718689845
REGION1,DEMCOMBIO,2021,0.759999999999991
REGION1,DEMCOMBIO,2022,1.2000000000000004
REGION1,DEMCOMBIO,2023,1.63
REGION1,DEMCOMBIO,2024,2.4100000000000006
REGION1,DEMCOMBIO,2025,3.6100000000000008
REGION1,DEMCOMBIO,2026,4.8100000000000005
REGION1,DEMCOMBIO,2027,6.370000000000001
REGION1,DEMCOMBIO,2028,7.85
REGION1,DEMCOMBIO,2029,9.759999999999984
REGION1,DEMCOMBIO,2030,11.660000000000007
REGION1,DEMCOMBIO,2031,11.52
REGION1,DEMCOMBIO,2032,11.380000000000004
REGION1,DEMCOMBIO,2033,11.330000000000002
REGION1,DEMCOMBIO,2034,11.3
REGION1,DEMCOMBIO,2035,11.26
REGION1,DEMCOMBIO,2036,11.230000000000013
REGION1,DEMCOMBIO,2037,11.179999999999993
REGION1,DEMCOMBIO,2038,11.15
REGION1,DEMCOMBIO,2039,11.13
REGION1,DEMCOMBIO,2040,11.11
REGION1,DEMCOMBIO,2041,11.1
REGION1,DEMCOMBIO,2042,11.09
REGION1,DEMCOMBIO,2043,11.1
REGION1,DEMCOMBIO,2044,11.12
REGION1,DEMCOMBIO,2045,11.14
REGION1,DEMCOMBIO,2046,11.180000000000003
REGION1,DEMCOMBIO,2047,11.230000000000006
REGION1,DEMCOMBIO,2048,11.300000000000004
REGION1,DEMCOMBIO,2049,11.36
REGION1,DEMCOMBIO,2050,11.450000000000005
REGION1,DEMCOMELCB02,2021,53.03
REGION1,DEMCOMELCB02,2022,57.05
REGION1,DEMCOMELCB02,2023,59.44
REGION1,DEMCOMELCB02,2024,61.18000000000001
REGION1,DEMCOMELCB02,2025,62.86
REGION1,DEMCOMELCB02,2026,64.67999999999999
REGION1,DEMCOMELCB02,2027,66.57
REGION1,DEMCOMELCB02,2028,68.09
REGION1,DEMCOMELCB02,2029,69.38
REGION1,DEMCOMELCB02,2030,70.59
REGION1,DEMCOMELCB02,2031,71.89
REGION1,DEMCOMELCB02,2032,73.25999999999999
REGION1,DEMCOMELCB02,2033,74.49000000000001
REGION1,DEMCOMELCB02,2034,75.75
REGION1,DEMCOMELCB02,2035,77.02000000000001
REGION1,DEMCOMELCB02,2036,78.37
REGION1,DEMCOMELCB02,2037,79.7
REGION1,DEMCOMELCB02,2038,80.96
REGION1,DEMCOMELCB02,2039,82.18999999999998
REGION1,DEMCOMELCB02,2040,83.27
REGION1,DEMCOMELCB02,2041,84.34
REGION1,DEMCOMELCB02,2042,85.36000000000001
REGION1,DEMCOMELCB02,2043,86.36999999999996
REGION1,DEMCOMELCB02,2044,87.34
REGION1,DEMCOMELCB02,2045,88.37
REGION1,DEMCOMELCB02,2046,89.5
REGION1,DEMCOMELCB02,2047,90.7
REGION1,DEMCOMELCB02,2048,92.03
REGION1,DEMCOMELCB02,2049,93.4
REGION1,DEMCOMELCB02,2050,94.89
REGION1,DEMCOMRPP,2021,6.290000000000003
REGION1,DEMCOMRPP,2022,6.41
REGION1,DEMCOMRPP,2023,6.490000000000002
REGION1,DEMCOMRPP,2024,6.56
REGION1,DEMCOMRPP,2025,6.620000000000001
REGION1,DEMCOMRPP,2026,6.699999999999999
REGION1,DEMCOMRPP,2027,6.810000000000001
REGION1,DEMCOMRPP,2028,6.9
REGION1,DEMCOMRPP,2029,6.969999999999999
REGION1,DEMCOMRPP,2030,7.050000000000001
REGION1,DEMCOMRPP,2031,7.150000000000001
REGION1,DEMCOMRPP,2032,7.269999999999997
REGION1,DEMCOMRPP,2033,7.369999999999998
REGION1,DEMCOMRPP,2034,7.47
REGION1,DEMCOMRPP,2035,7.58
REGION1,DEMCOMRPP,2036,7.690000000000001
REGION1,DEMCOMRPP,2037,7.8
REGION1,DEMCOMRPP,2038,7.910000000000003
REGION1,DEMCOMRPP,2039,8.01
REGION1,DEMCOMRPP,2040,8.1
REGION1,DEMCOMRPP,2041,8.190000000000001
REGION1,DEMCOMRPP,2042,8.280000000000001
REGION1,DEMCOMRPP,2043,8.37
REGION1,DEMCOMRPP,2044,8.470000000000002
REGION1,DEMCOMRPP,2045,8.570000000000002
REGION1,DEMCOMRPP,2046,8.679999999999998
REGION1,DEMCOMRPP,2047,8.800000000000002
REGION1,DEMCOMRPP,2048,8.94
REGION1,DEMCOMRPP,2049,9.08
REGION1,DEMCOMRPP,2050,9.24
REGION1,DEMCOMNGS,2021,74.09999999999998
REGION1,DEMCOMNGS,2022,78.15000000000003
REGION1,DEMCOMNGS,2023,79.59000000000003
REGION1,DEMCOMNGS,2024,77.68000000000002
REGION1,DEMCOMNGS,2025,76.34000000000003
REGION1,DEMCOMNGS,2026,75.28
REGION1,DEMCOMNGS,2027,73.11
REGION1,DEMCOMNGS,2028,70.58000000000001
REGION1,DEMCOMNGS,2029,68.25000000000003
REGION1,DEMCOMNGS,2030,66.01000000000002
REGION1,DEMCOMNGS,2031,65.23000000000002
REGION1,DEMCOMNGS,2032,64.45000000000002
