REGION,TECHNOLOGY,VALUE
REGION1,DEMAGRGWTBC1,0.185590867392836
REGION1,DEMAGRSURBC1,15.075427886759114
REGION1,DEMCOMBIO,274.7199999999999
REGION1,DEMCOMELCB02,2302.07
REGION1,DEMCOMRPP,229.76999999999992
REGION1,DEMCOMNGS,2011.4800000000012
REGION1,DEMINDBIO,7342.770000000003
REGION1,DEMINDDSL,3334.43
REGION1,DEMINDELCB02,4166.859999999996
REGION1,DEMINDNGS,8755.480000000005
REGION1,DEMPUBGWTBC1,17.590000000000007
REGION1,DEMPUBSURBC1,12.580000000000004
REGION1,DEMPWRBIO,372.11154479730686
REGION1,DEMPWRHYD,2267.883311985409
REGION1,DEMPWRNGS,2.74751849664
REGION1,DEMPWRSOL,644.210163875624
REGION1,DEMPWRWND,697.1286200484525
REGION1,DEMRESBIO,480.32
REGION1,DEMRESELCB02,2763.7100000000028
REGION1,DEMRESRPP,19.139999999999993
REGION1,DEMRESNGS,1729.9400000000007
REGION1,DEMTRABIO,1505.94
REGION1,DEMTRADSL,2741.569999999999
REGION1,DEMTRAELCB02,589.0399999999994
REGION1,DEMTRAGSL,3014.8900000000017
REGION1,DEMTRAHFO,192.47000000000008
REGION1,DEMTRAJFL,2939.95
REGION1,DEMTRALPG,52.17000000000004
REGION1,DEMTRANGS,19.349999999999945
REGION1,IMPDSL,6076.0
REGION1,IMPGSL,3014.8899999999994
REGION1,IMPHFO,192.47000000000003
REGION1,IMPJFL,2939.9500000000003
REGION1,IMPRPP,248.9099999999999
REGION1,IMPLPG,52.169999999999995
REGION1,LNDAGRBC1C01,8330.791100000006
REGION1,LNDAGRBC1C02,807.7251458327189
REGION1,LNDAGRBC1C03,919.7399274615171
REGION1,LNDAGRBC1C04,327.2746599884014
REGION1,LNDAGRBC1C05,16876.079873111466
REGION1,LNDAGRBC1C06,102.82322
REGION1,LNDAGRBC1C07,392.7447000000003
REGION1,LNDALFHRBC1,364.85833333333335
REGION1,LNDBARBC1,4450.254729
REGION1,LNDBLTBC1,131.9881355694264
REGION1,LNDBARHIBC1,0.604024117031016
REGION1,LNDBARHRBC1,6.5746022770736205
REGION1,LNDFORBC1,16350.00764696906
REGION1,LNDGRSBC1,4767.127200000004
REGION1,LNDMAIHIBC1,270.2804194696456
REGION1,LNDMAIHRBC1,8.04072909555965
REGION1,LNDOATHIBC1,5.289260838261581
REGION1,LNDOATHRBC1,0.5481103199144025
REGION1,LNDOTHHIBC1,92.87500000000003
REGION1,LNDPEAHIBC1,5.049067091226379
REGION1,LNDPEAHRBC1,0.1395379716618708
REGION1,LNDPTWHIBC1,0.004842105263157085
REGION1,LNDRAPHIBC1,7.490475752741394
REGION1,LNDRAPHRBC1,1.227211347101953
REGION1,LNDRYEHIBC1,0.10474543319359124
REGION1,LNDRYEHRBC1,0.03640570361492334
REGION1,LNDWATBC1,1291.274399999999
REGION1,LNDWHEHRBC1,3.403750000000005
REGION1,MINLNDBC1,27749.99999999999
REGION1,MINNGS,12518.997518496642
REGION1,MINPRCBC1,20075.88722432552
REGION1,PWRBIOB01,0.3365710158384
REGION1,PWRBIOB02,123.70061058326392
REGION1,PWRHYDB01,10820.57457528158
REGION1,PWRHYDB02,2109.636109003211
REGION1,PWRNGSB01,0.91583949888
REGION1,PWRSOLB01,0.018133308742674867
REGION1,PWRTRNB01,9843.36982953709
REGION1,PWRWNDB01,5.934358157637253
REGION1,PWRWNDB02,12.825468440250711
REGION1,PWRWNDB03,14.625521256347817
REGION1,PWRWNDB04,31.223222751315724
REGION1,PWRWNDB05,3.7616404165763098
REGION1,PWRWNDB06,1.8618146480881632
REGION1,PWRWNDB07,19.784948843367214
REGION1,PWRWNDB08,2.0222992463456975
REGION1,PWRWNDB11,4.069481515234263
REGION1,RNWBIO,9975.86154479731
REGION1,RNWHYD,2309.7969553405865
REGION1,RNWSOL,816.8012396615655
REGION1,RNWWND,1573.55070929541
REGION1,BATTERY_STORAGE,2950.80371318678
REGION1,PWRNGSB02,1.2674327022426288
REGION1,INFLOW01,10820.573669551322
REGION1,PWRSOLB02,6.250849878909393
REGION1,PWRWNDB12,1.5233882129209453
REGION1,PWRWNDB13,1.7976435226315046
REGION1,PWRWNDB14,3.065963102810072
REGION1,HDG01,11.699532577719571
REGION1,PWRSOLB06,43.21402222541958
REGION1,PWRWNDB15,7.220900513970322
REGION1,PWRWNDB16,1.5444992105864923
REGION1,PWRWNDB17,1.8208337348673156
REGION1,PWRWNDB18,4.271008825305763
REGION1,PWRWNDB19,4.154173669133317
REGION1,PWRWNDB23,74.2856274004614
REGION1,PWRWNDB26,55.885804870297726
REGION1,DEMRESHDG,6.35584940750965
REGION1,DEMTRAHDG,0.6600000000000001
REGION1,DEMINDHDG,4.260382054229233
