REGION,TECHNOLOGY,YEAR,VALUE
REGION1,LNDAGRBC1C01,2023,-0.04349187922111372
REGION1,LNDAGRBC1C01,2036,-0.044227004315189326
REGION1,LNDAGRBC1C02,2023,-0.04859999999998862
REGION1,LNDAGRBC1C02,2036,-0.3345620983378242
REGION1,LNDAGRBC1C05,2021,-1094.7727215690832
REGION1,LNDAGRBC1C05,2022,-1094.9617803472097
REGION1,LNDAGRBC1C05,2023,-1643.0664871088973
REGION1,LNDAGRBC1C05,2024,-2189.9389086960373
REGION1,LNDAGRBC1C05,2025,-2189.666917309028
REGION1,LNDAGRBC1C05,2026,-2735.807904600464
REGION1,LNDAGRBC1C05,2027,-3282.18288122795
REGION1,LNDAGRBC1C05,2028,-3826.633368533151
REGION1,LNDAGRBC1C05,2029,-3824.81289115805
REGION1,LNDAGRBC1C05,2030,-4369.778001654391
REGION1,LNDAGRBC1C05,2031,-4367.3316447838815
REGION1,LNDAGRBC1C05,2032,-4366.964641012502
REGION1,LNDAGRBC1C05,2033,-4365.0753956687995
REGION1,LNDAGRBC1C05,2034,-4363.835723211314
REGION1,LNDAGRBC1C05,2035,-4362.051189306354
REGION1,LNDAGRBC1C05,2036,-4358.796110124713
REGION1,LNDAGRBC1C05,2037,-4356.850190524402
REGION1,LNDAGRBC1C05,2038,-4355.118793533154
REGION1,LNDAGRBC1C05,2039,-4354.099072510136
REGION1,LNDAGRBC1C05,2040,-4352.782414638733
REGION1,LNDAGRBC1C05,2041,-4350.7631367506365
REGION1,LNDAGRBC1C05,2042,-4348.908618016932
REGION1,LNDAGRBC1C05,2043,-4346.98212026324
REGION1,LNDAGRBC1C05,2044,-4345.2077627108765
REGION1,LNDAGRBC1C05,2045,-4343.441376606464
REGION1,LNDAGRBC1C05,2046,-4341.725635644567
REGION1,LNDAGRBC1C05,2047,-4339.90850595794
REGION1,LNDAGRBC1C05,2048,-4338.083215275316
REGION1,LNDAGRBC1C05,2049,-4336.335804736997
REGION1,LNDAGRBC1C05,2050,-4334.535000261512
REGION1,MINNGS,2021,1318.6440000000002
REGION1,MINNGS,2022,1372.4999999999998
REGION1,MINNGS,2023,1403.7839999999992
REGION1,MINNGS,2024,1366.7742133175807
REGION1,MINNGS,2025,1386.030613317581
REGION1,MINNGS,2026,1432.6902133175806
REGION1,MINNGS,2027,1365.0030133175808
REGION1,MINNGS,2028,1297.3122133175807
REGION1,MINNGS,2029,1312.2431999999994
REGION1,MINNGS,2030,1334.0952000000004
REGION1,MINNGS,2031,1314.6271775000005
REGION1,MINNGS,2032,1289.9370650000003
REGION1,MINNGS,2033,1289.2812750000005
REGION1,MINNGS,2034,1294.941045854373
REGION1,MINNGS,2035,1379.1499449114874
REGION1,MINNGS,2036,1453.4221319902638
REGION1,MINNGS,2037,1525.363149401169
REGION1,MINNGS,2038,1599.4680822654968
REGION1,MINNGS,2039,1680.4365706016106
REGION1,MINNGS,2040,1772.4849336318844
REGION1,MINNGS,2041,1866.8099402521293
REGION1,MINNGS,2042,1967.655244094716
REGION1,MINNGS,2043,2078.4593028729178
REGION1,MINNGS,2044,2181.258968198763
REGION1,MINNGS,2045,2294.8711554080687
REGION1,MINNGS,2046,2426.6263972342654
REGION1,MINNGS,2047,2539.6498955992115
REGION1,MINNGS,2048,2659.488121065857
REGION1,MINNGS,2049,2785.9968356554227
REGION1,MINNGS,2050,2872.172518550564
REGION1,PWRBIOB01,2024,0.243292762877472
REGION1,PWRBIOB01,2025,0.232234000928496
REGION1,PWRBIOB01,2026,0.232234000928496
REGION1,PWRBIOB01,2027,0.232234000928496
REGION1,PWRBIOB01,2028,0.464468001856992
REGION1,PWRBIOB01,2029,0.03404245164468484
REGION1,PWRBIOB02,2023,7.9472826922792015
REGION1,PWRBIOB02,2024,10.45053004178232
REGION1,PWRBIOB02,2025,10.45053004178232
REGION1,PWRBIOB02,2026,10.45053004178232
REGION1,PWRBIOB02,2027,17.645632425171033
REGION1,PWRBIOB02,2028,20.726850933291324
REGION1,PWRBIOB02,2029,18.6597286146306
REGION1,PWRBIOB02,2030,18.02603190124132
REGION1,PWRBIOB02,2031,28.54499593367396
REGION1,PWRBIOB02,2032,32.50485607070771
REGION1,PWRBIOB02,2033,37.97999903527416
REGION1,PWRBIOB02,2034,38.823221221449366
REGION1,PWRBIOB02,2035,38.823221221449366
REGION1,PWRBIOB02,2036,35.43192798816688
REGION1,PWRBIOB02,2037,35.43192798816689
REGION1,PWRBIOB02,2038,35.43192798816688
REGION1,PWRBIOB02,2039,34.799019013304274
REGION1,PWRBIOB02,2040,30.685996125797764
REGION1,PWRBIOB02,2041,26.347748470010824
REGION1,PWRBIOB02,2042,20.544945183070745
REGION1,PWRBIOB02,2043,10.92196306556182
REGION1,PWRBIOB02,2044,8.42488454090416
REGION1,PWRBIOB02,2045,8.957052643968723
REGION1,PWRBIOB02,2046,1.688862984166512
REGION1,PWRBIOB02,2047,1.688862984166512
REGION1,PWRBIOB02,2048,1.688862984166512
REGION1,PWRBIOB02,2049,2.3295743103331428
REGION1,PWRBIOB02,2050,2.473827212968272
REGION1,PWRNGSB01,2024,0.9085127828889599
REGION1,PWRNGSB01,2025,0.9085127828889599
REGION1,PWRNGSB01,2026,0.9085127828889599
REGION1,PWRNGSB01,2027,0.9085127828889599
REGION1,PWRNGSB01,2028,0.9085127828889599
REGION1,PWRNGSB02,2024,1.24920507647232
REGION1,PWRNGSB02,2025,1.24920507647232
REGION1,PWRNGSB02,2026,1.24920507647232
REGION1,PWRNGSB02,2027,1.24920507647232
REGION1,PWRNGSB02,2028,1.24920507647232
