REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DEMAGRGWTBC1,2049,0.00019034314998184483
REGION1,DEMAGRSURBC1,2021,0.0001184285010441916
REGION1,DEMAGRSURBC1,2022,0.00011932852297258636
REGION1,DEMAGRSURBC1,2023,0.00013410952399033863
REGION1,DEMAGRSURBC1,2024,0.00013406481910184853
REGION1,DEMAGRSURBC1,2025,0.0001339079840687304
REGION1,DEMAGRSURBC1,2026,0.0001392884246707193
REGION1,DEMAGRSURBC1,2027,0.0001409959398289694
REGION1,DEMAGRSURBC1,2028,0.00014666582213336264
REGION1,DEMAGRSURBC1,2029,0.0001494891593246836
REGION1,DEMAGRSURBC1,2030,0.00015134575580751742
REGION1,DEMAGRSURBC1,2031,0.00015403797437364743
REGION1,DEMAGRSURBC1,2032,0.00015432352798304904
REGION1,DEMAGRSURBC1,2033,0.00015725071115132622
REGION1,DEMAGRSURBC1,2034,0.00015833258146985213
REGION1,DEMAGRSURBC1,2035,0.00016055480405149748
REGION1,DEMAGRSURBC1,2036,0.0001660959002316141
REGION1,DEMAGRSURBC1,2037,0.00016843957173793135
REGION1,DEMAGRSURBC1,2038,0.00017029028187991467
REGION1,DEMAGRSURBC1,2039,0.00017011179234968914
REGION1,DEMAGRSURBC1,2040,0.00017125476915236953
REGION1,DEMAGRSURBC1,2041,0.0001735082269606202
REGION1,DEMAGRSURBC1,2042,0.00017539940506460782
REGION1,DEMAGRSURBC1,2043,0.00017796009908000756
REGION1,DEMAGRSURBC1,2044,0.00017986303218685108
REGION1,DEMAGRSURBC1,2045,0.00018196727796832964
REGION1,DEMAGRSURBC1,2046,0.00018412603209288912
REGION1,DEMAGRSURBC1,2047,0.00018606499907588588
REGION1,DEMAGRSURBC1,2048,0.00018816924485735823
REGION1,DEMAGRSURBC1,2050,0.00019254108042141704
REGION1,DEMCOMBIO,2021,0.00024099456367334657
REGION1,DEMCOMBIO,2022,0.00038051773211581424
REGION1,DEMCOMBIO,2023,0.0005573338888690889
REGION1,DEMCOMBIO,2024,0.0008240335412113571
REGION1,DEMCOMBIO,2025,0.0012343406986609962
REGION1,DEMCOMBIO,2026,0.001525241909564222
REGION1,DEMCOMBIO,2027,0.002178047160795164
REGION1,DEMCOMBIO,2028,0.0026840926549830508
REGION1,DEMCOMBIO,2029,0.003337164880590391
REGION1,DEMCOMBIO,2030,0.003986817879885653
REGION1,DEMCOMBIO,2031,0.0048597166386461
REGION1,DEMCOMBIO,2032,0.0043113930473990284
REGION1,DEMCOMBIO,2033,0.0042924501956969245
REGION1,DEMCOMBIO,2034,0.0039393713619977995
REGION1,DEMCOMBIO,2035,0.003925426684610195
REGION1,DEMCOMBIO,2036,0.004254564492292715
REGION1,DEMCOMBIO,2037,0.0038975373298349887
REGION1,DEMCOMBIO,2038,0.004316088073462172
REGION1,DEMCOMBIO,2039,0.003880106483100486
REGION1,DEMCOMBIO,2040,0.003873134144406685
REGION1,DEMCOMBIO,2041,0.003869647975059784
REGION1,DEMCOMBIO,2042,0.0042928624874166
REGION1,DEMCOMBIO,2043,0.0035741115539738434
REGION1,DEMCOMBIO,2044,0.003526130984273208
REGION1,DEMCOMBIO,2045,0.004217429166663504
REGION1,DEMCOMBIO,2046,0.0035451568708790037
REGION1,DEMCOMBIO,2047,0.003769491681471771
REGION1,DEMCOMBIO,2048,0.0035832086440905847
REGION1,DEMCOMBIO,2049,0.0036022345306963755
REGION1,DEMCOMBIO,2050,0.003630773360605061
REGION1,DEMCOMELCB02,2021,0.031794161308405525
REGION1,DEMCOMELCB02,2022,0.03420435418903517
REGION1,DEMCOMELCB02,2023,0.03563727980712096
REGION1,DEMCOMELCB02,2024,0.03668049762112483
REGION1,DEMCOMELCB02,2025,0.037687742407059605
REGION1,DEMCOMELCB02,2026,0.03877892425848895
REGION1,DEMCOMELCB02,2027,0.039912074642665565
REGION1,DEMCOMELCB02,2028,0.04082339135374943
REGION1,DEMCOMELCB02,2029,0.04159681145723505
REGION1,DEMCOMELCB02,2030,0.042322267523295216
REGION1,DEMCOMELCB02,2031,0.04310168313145904
REGION1,DEMCOMELCB02,2032,0.04392306727237014
REGION1,DEMCOMELCB02,2033,0.04466051434778667
REGION1,DEMCOMELCB02,2034,0.04541594793723776
REGION1,DEMCOMELCB02,2035,0.04617737703136702
REGION1,DEMCOMELCB02,2036,0.04698677016292176
