REGION,TECHNOLOGY,YEAR,VALUE
REGION1,LNDAGRBC1C01,2041,1.7443831995622329e-07
REGION1,LNDAGRBC1C01,2042,3.838934302222537e-07
REGION1,LNDAGRBC1C01,2043,4.458251754760086e-07
REGION1,LNDAGRBC1C01,2044,4.979739060534531e-07
REGION1,LNDAGRBC1C01,2045,5.576877924378052e-07
REGION1,LNDAGRBC1C01,2046,6.113142895513642e-07
REGION1,LNDAGRBC1C01,2047,6.69345073934715e-07
REGION1,LNDAGRBC1C01,2048,7.142159860984035e-07
REGION1,LNDAGRBC1C01,2049,7.702300160226643e-07
REGION1,LNDAGRBC1C01,2050,8.18640202656836e-07
REGION1,LNDAGRBC1C02,2042,1.0690670372143429e-07
REGION1,LNDAGRBC1C02,2043,1.595154297560313e-07
REGION1,LNDAGRBC1C02,2044,3.2893689207136764e-07
REGION1,LNDAGRBC1C02,2045,3.717918616290101e-07
REGION1,LNDAGRBC1C02,2046,4.039040841658917e-07
REGION1,LNDAGRBC1C02,2047,4.4035860126743643e-07
REGION1,LNDAGRBC1C02,2048,4.761439907320256e-07
REGION1,LNDAGRBC1C02,2049,5.04633458776168e-07
REGION1,LNDAGRBC1C02,2050,5.457601351029e-07
REGION1,LNDAGRBC1C03,2037,1.7926474650622704e-06
REGION1,LNDAGRBC1C03,2038,2.521222963729234e-06
REGION1,LNDAGRBC1C03,2039,1.9753546355760477e-06
REGION1,LNDAGRBC1C03,2040,3.50164256875218e-06
REGION1,LNDAGRBC1C03,2041,1.0447408071464042e-05
REGION1,LNDAGRBC1C03,2042,1.1337164416618189e-05
REGION1,LNDAGRBC1C03,2043,2.428089014467992e-05
REGION1,LNDAGRBC1C03,2044,2.056443053491659e-05
REGION1,LNDAGRBC1C03,2045,1.5265494971341017e-05
REGION1,LNDAGRBC1C03,2046,2.58744745025873e-05
REGION1,LNDAGRBC1C03,2047,1.3071772132720902e-05
REGION1,LNDAGRBC1C03,2048,2.6723864934060336e-05
REGION1,LNDAGRBC1C03,2049,1.9824449980971e-05
REGION1,LNDAGRBC1C03,2050,2.835149549618408e-05
REGION1,LNDAGRBC1C04,2046,3.166482407312175e-07
REGION1,LNDAGRBC1C04,2047,6.458592818595105e-07
REGION1,LNDAGRBC1C04,2048,6.891557760585793e-07
REGION1,LNDAGRBC1C04,2049,9.302246544554682e-07
REGION1,LNDAGRBC1C04,2050,1.4623572850831438e-06
REGION1,LNDAGRBC1C06,2037,7.4051698078658485e-09
REGION1,LNDAGRBC1C06,2038,1.4457712485615996e-08
REGION1,LNDAGRBC1C06,2039,2.1174419796072844e-08
REGION1,LNDAGRBC1C06,2040,1.2358274939056162e-07
REGION1,LNDAGRBC1C06,2041,1.9221668764522834e-07
REGION1,LNDAGRBC1C06,2042,3.1457917143267e-07
REGION1,LNDAGRBC1C06,2043,1.6841159637551213e-07
REGION1,LNDAGRBC1C06,2044,1.5356786658788812e-07
REGION1,LNDAGRBC1C06,2047,1.0350060754075829e-06
REGION1,LNDAGRBC1C06,2048,4.3855367567386316e-08
REGION1,LNDAGRBC1C06,2049,2.2073572375610526e-06
REGION1,LNDAGRBC1C06,2050,3.6201071771092134e-06
REGION1,LNDAGRBC1C07,2037,3.096707374968884e-08
REGION1,LNDAGRBC1C07,2038,6.177386243863545e-08
REGION1,LNDAGRBC1C07,2039,9.047252094678093e-08
REGION1,LNDAGRBC1C07,2040,1.1780457666864581e-07
REGION1,LNDAGRBC1C07,2041,1.4689542733026318e-07
REGION1,LNDAGRBC1C07,2042,1.75801664309599e-07
REGION1,LNDAGRBC1C07,2043,2.00416822001365e-07
REGION1,LNDAGRBC1C07,2044,2.2842839727222723e-07
REGION1,LNDAGRBC1C07,2045,2.512107173163174e-07
REGION1,LNDAGRBC1C07,2046,2.783663282771846e-07
REGION1,LNDAGRBC1C07,2047,2.994438488619853e-07
