REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DEMCOMBIO,2021,5.191788388086201
REGION1,DEMCOMBIO,2022,7.807200583588253
REGION1,DEMCOMBIO,2023,10.099791231150164
REGION1,DEMCOMBIO,2024,14.221733489378453
REGION1,DEMCOMBIO,2025,20.288661488502747
REGION1,DEMCOMBIO,2026,25.74553799226968
REGION1,DEMCOMBIO,2027,32.47184971997987
REGION1,DEMCOMBIO,2028,38.110790207347215
REGION1,DEMCOMBIO,2029,45.12724445540896
REGION1,DEMCOMBIO,2030,51.345010767961405
REGION1,DEMCOMBIO,2031,48.31287462606515
REGION1,DEMCOMBIO,2032,45.45308475897996
REGION1,DEMCOMBIO,2033,43.09845596445247
REGION1,DEMCOMBIO,2034,40.937465002169816
REGION1,DEMCOMBIO,2035,38.85005106822011
REGION1,DEMCOMBIO,2036,36.90146946596566
REGION1,DEMCOMBIO,2037,34.98778176054751
REGION1,DEMCOMBIO,2038,33.23228270126116
REGION1,DEMCOMBIO,2039,31.593022119584607
REGION1,DEMCOMBIO,2040,30.034524943189588
REGION1,DEMCOMBIO,2041,28.5785630165363
REGION1,DEMCOMBIO,2042,27.193158631779283
REGION1,DEMCOMBIO,2043,25.921599107969456
REGION1,DEMCOMBIO,2044,24.73171875423596
REGION1,DEMCOMBIO,2045,23.596381202654065
REGION1,DEMCOMBIO,2046,22.55343608153135
REGION1,DEMCOMBIO,2047,21.575524933605656
REGION1,DEMCOMBIO,2048,20.676201649471608
REGION1,DEMCOMBIO,2049,19.796177896164952
REGION1,DEMCOMBIO,2050,19.00287029771032
REGION1,DEMCOMRPP,2021,43.88964193075085
REGION1,DEMCOMRPP,2022,42.5971087555625
REGION1,DEMCOMRPP,2023,41.074992322056445
REGION1,DEMCOMRPP,2024,39.54097140401943
REGION1,DEMCOMRPP,2025,38.00250155264358
REGION1,DEMCOMRPP,2026,36.63023455656904
REGION1,DEMCOMRPP,2027,35.458691873523165
REGION1,DEMCOMRPP,2028,34.21648471118243
REGION1,DEMCOMRPP,2029,32.91772235154474
REGION1,DEMCOMRPP,2030,31.710042027517943
REGION1,DEMCOMRPP,2031,30.628409388281437
REGION1,DEMCOMRPP,2032,29.659478688352443
REGION1,DEMCOMRPP,2033,28.63566619940492
REGION1,DEMCOMRPP,2034,27.64210460807067
REGION1,DEMCOMRPP,2035,26.71347650018176
REGION1,DEMCOMRPP,2036,25.810608655157395
REGION1,DEMCOMRPP,2037,24.933153447300455
REGION1,DEMCOMRPP,2038,24.08073794482865
REGION1,DEMCOMRPP,2039,23.22397338367075
REGION1,DEMCOMRPP,2040,22.36658752841485
REGION1,DEMCOMRPP,2041,21.538195397732828
REGION1,DEMCOMRPP,2042,20.737979870135213
REGION1,DEMCOMRPP,2043,19.9651358998196
REGION1,DEMCOMRPP,2044,19.241588561355425
REGION1,DEMCOMRPP,2045,18.541678076214765
REGION1,DEMCOMRPP,2046,17.885399311167888
REGION1,DEMCOMRPP,2047,17.269202758204674
REGION1,DEMCOMRPP,2048,16.708514356964262
REGION1,DEMCOMRPP,2049,16.16206566115216
REGION1,DEMCOMRPP,2050,15.663675971160684
REGION1,DEMCOMNGS,2021,363.74040288959566
