REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DEMAGRGWTBC1,2049,0.019034314998184483
REGION1,DEMAGRSURBC1,2021,0.01184285010441916
REGION1,DEMAGRSURBC1,2022,0.011932852297258637
REGION1,DEMAGRSURBC1,2023,0.013410952399033864
REGION1,DEMAGRSURBC1,2024,0.013406481910184852
REGION1,DEMAGRSURBC1,2025,0.01339079840687304
REGION1,DEMAGRSURBC1,2026,0.013928842467071928
REGION1,DEMAGRSURBC1,2027,0.01409959398289694
REGION1,DEMAGRSURBC1,2028,0.014666582213336265
REGION1,DEMAGRSURBC1,2029,0.014948915932468358
REGION1,DEMAGRSURBC1,2030,0.01513457558075174
REGION1,DEMAGRSURBC1,2031,0.015403797437364742
REGION1,DEMAGRSURBC1,2032,0.015432352798304905
REGION1,DEMAGRSURBC1,2033,0.015725071115132622
REGION1,DEMAGRSURBC1,2034,0.01583325814698521
REGION1,DEMAGRSURBC1,2035,0.016055480405149748
REGION1,DEMAGRSURBC1,2036,0.01660959002316141
REGION1,DEMAGRSURBC1,2037,0.016843957173793136
REGION1,DEMAGRSURBC1,2038,0.017029028187991468
REGION1,DEMAGRSURBC1,2039,0.017011179234968914
REGION1,DEMAGRSURBC1,2040,0.017125476915236953
REGION1,DEMAGRSURBC1,2041,0.01735082269606202
REGION1,DEMAGRSURBC1,2042,0.017539940506460783
REGION1,DEMAGRSURBC1,2043,0.017796009908000756
REGION1,DEMAGRSURBC1,2044,0.017986303218685107
REGION1,DEMAGRSURBC1,2045,0.018196727796832964
REGION1,DEMAGRSURBC1,2046,0.018412603209288912
REGION1,DEMAGRSURBC1,2047,0.018606499907588583
REGION1,DEMAGRSURBC1,2048,0.018816924485735825
REGION1,DEMAGRSURBC1,2050,0.019254108042141702
REGION1,DEMCOMBIO,2021,0.024099456367334657
REGION1,DEMCOMBIO,2022,0.03805177321158142
REGION1,DEMCOMBIO,2023,0.055733388886908895
REGION1,DEMCOMBIO,2024,0.08240335412113571
REGION1,DEMCOMBIO,2025,0.12343406986609962
REGION1,DEMCOMBIO,2026,0.1525241909564222
REGION1,DEMCOMBIO,2027,0.2178047160795164
REGION1,DEMCOMBIO,2028,0.26840926549830507
REGION1,DEMCOMBIO,2029,0.3337164880590391
REGION1,DEMCOMBIO,2030,0.3986817879885653
REGION1,DEMCOMBIO,2031,0.48597166386460994
REGION1,DEMCOMBIO,2032,0.43113930473990286
REGION1,DEMCOMBIO,2033,0.42924501956969247
REGION1,DEMCOMBIO,2034,0.3939371361997798
REGION1,DEMCOMBIO,2035,0.39254266846101943
REGION1,DEMCOMBIO,2036,0.42545644922927145
REGION1,DEMCOMBIO,2037,0.38975373298349886
REGION1,DEMCOMBIO,2038,0.4316088073462172
REGION1,DEMCOMBIO,2039,0.38801064831004867
REGION1,DEMCOMBIO,2040,0.38731341444066847
REGION1,DEMCOMBIO,2041,0.3869647975059784
REGION1,DEMCOMBIO,2042,0.42928624874166393
REGION1,DEMCOMBIO,2043,0.3574111553973843
REGION1,DEMCOMBIO,2044,0.3526130984273208
REGION1,DEMCOMBIO,2045,0.4217429166663504
REGION1,DEMCOMBIO,2046,0.3545156870879003
REGION1,DEMCOMBIO,2047,0.3769491681471771
REGION1,DEMCOMBIO,2048,0.35832086440905847
REGION1,DEMCOMBIO,2049,0.36022345306963754
REGION1,DEMCOMBIO,2050,0.3630773360605061
REGION1,DEMCOMELCB02,2021,3.1794161308405524
REGION1,DEMCOMELCB02,2022,3.4204354189035167
REGION1,DEMCOMELCB02,2023,3.563727980712096
REGION1,DEMCOMELCB02,2024,3.6680497621124832
REGION1,DEMCOMELCB02,2025,3.768774240705961
REGION1,DEMCOMELCB02,2026,3.8778924258488954
REGION1,DEMCOMELCB02,2027,3.991207464266557
REGION1,DEMCOMELCB02,2028,4.082339135374943
REGION1,DEMCOMELCB02,2029,4.159681145723505
