REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,1,BATTERY_STORAGE,ELCB02,2026,18.310491095714323
REGION1,1,BATTERY_STORAGE,ELCB02,2027,31.07579791351891
REGION1,1,BATTERY_STORAGE,ELCB02,2028,36.1489102386118
REGION1,1,BATTERY_STORAGE,ELCB02,2029,12.571885585370117
REGION1,1,BATTERY_STORAGE,ELCB02,2030,72.66844195406698
REGION1,1,BATTERY_STORAGE,ELCB02,2031,88.38465173447784
REGION1,1,BATTERY_STORAGE,ELCB02,2032,77.14749920986635
REGION1,1,BATTERY_STORAGE,ELCB02,2033,62.76444394004297
REGION1,1,BATTERY_STORAGE,ELCB02,2034,54.28383409156926
REGION1,1,BATTERY_STORAGE,ELCB02,2035,46.63934569967004
REGION1,1,BATTERY_STORAGE,ELCB02,2036,39.21781164758824
REGION1,1,BATTERY_STORAGE,ELCB02,2037,32.28068662961476
REGION1,1,BATTERY_STORAGE,ELCB02,2038,25.740677891740003
REGION1,1,BATTERY_STORAGE,ELCB02,2039,19.036587474778056
REGION1,1,BATTERY_STORAGE,ELCB02,2040,10.765166014637158
REGION1,1,BATTERY_STORAGE,ELCB02,2041,3.111146884112697
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2021,0.3734761208929626
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2022,0.3763144300463484
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2023,0.422927794855932
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2024,0.4227868135195895
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2025,0.42229221855914817
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2026,0.4392599760415804
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2027,0.444644795844638
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2028,0.4625253366797724
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2029,0.47142901284632216
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2030,0.4772839755145869
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2031,0.4857741559847345
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2032,0.48667467784734336
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2033,0.4959058426868224
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2034,0.4993176289233257
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2035,0.5063256300568024
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2036,0.5238000309704183
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2037,0.5311910334327403
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2038,0.5370274329364989
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2039,0.5364645483539797
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2040,0.5400690399989124
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2041,0.5471755445430119
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2042,0.5531395638117473
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2043,0.5612149684587119
REGION1,1,DEMAGRSURBC1,WTRSURBC1,2044,0.5672160583044537
