REGION,STORAGE,YEAR,VALUE
REGION1,BATTERY,2028,59.679711450413805
REGION1,BATTERY,2029,6463.153369534972
REGION1,BATTERY,2030,6022.823087189225
REGION1,BATTERY,2031,10121.166583369137
REGION1,BATTERY,2032,19462.8369088412
REGION1,BATTERY,2033,25232.37355009285
REGION1,BATTERY,2034,21017.62527870898
REGION1,BATTERY,2035,22217.29088558315
REGION1,BATTERY,2036,23405.91020370105
REGION1,BATTERY,2037,23735.48009109425
REGION1,BATTERY,2038,24964.036098949822
REGION1,BATTERY,2039,28291.385353127847
REGION1,BATTERY,2040,32898.14575644638
REGION1,BATTERY,2041,33516.214416422365
REGION1,BATTERY,2042,38948.27227003029
REGION1,BATTERY,2043,41433.79776475768
REGION1,BATTERY,2044,29926.732251734065
REGION1,BATTERY,2045,42675.966657753095
REGION1,BATTERY,2046,63261.95085546168
REGION1,BATTERY,2047,30591.819321665687
REGION1,BATTERY,2048,31762.723374268
REGION1,BATTERY,2049,43346.33590103775
