REGION,STORAGE,DAYTYPE,YEAR,VALUE
REGION1,BATTERY,1,2026,0.01632019638304503
REGION1,BATTERY,1,2027,0.01652521794208446
REGION1,BATTERY,1,2028,0.014549642273111686
REGION1,BATTERY,1,2029,0.04492603858076253
REGION1,BATTERY,1,2030,0.06599955659985962
REGION1,BATTERY,1,2031,0.09111829780426238
REGION1,BATTERY,1,2032,0.07310332102975142
REGION1,BATTERY,1,2033,0.052199624092037857
REGION1,BATTERY,1,2034,0.039920259491592246
REGION1,BATTERY,1,2035,0.02881009787499889
REGION1,BATTERY,1,2036,0.018028148151903987
REGION1,BATTERY,1,2037,0.007946037204378585
REGION1,BATTERY,1,2038,-0.0015589224903367338
REGION1,BATTERY,1,2039,-0.011275181841854316
REGION1,BATTERY,1,2040,-0.023110494350542632
REGION1,BATTERY,1,2041,-0.03407414684600126
REGION1,BATTERY,1,2042,-0.04625463252709555
REGION1,BATTERY,1,2043,-0.0609119332230185
REGION1,BATTERY,1,2044,-0.07046307326802308
REGION1,BATTERY,1,2045,-0.08233694734606203
REGION1,BATTERY,1,2046,-0.09613975102194515
REGION1,BATTERY,1,2047,-0.10389522098158012
REGION1,BATTERY,1,2048,-0.1118130147310678
REGION1,BATTERY,1,2049,-0.1199472402003593
REGION1,BATTERY,1,2050,-0.1282618254361424
REGION1,BATTERY,2,2026,-0.0006297407019876582
REGION1,BATTERY,2,2027,-0.0007077066469744792
REGION1,BATTERY,2,2028,-0.0016547215866744
REGION1,BATTERY,2,2029,-0.001473783528444288
REGION1,BATTERY,2,2030,-0.002402318801100707
REGION1,BATTERY,2,2031,-0.002202637453558096
REGION1,BATTERY,2,2032,-0.07589557794735374
REGION1,BATTERY,2,2033,-0.1178860076950618
REGION1,BATTERY,2,2034,-0.1379329575752525
REGION1,BATTERY,2,2035,-0.14461372952233137
REGION1,BATTERY,2,2036,-0.14853597245119013
REGION1,BATTERY,2,2037,-0.15231740056438375
REGION1,BATTERY,2,2038,-0.15792703480550632
REGION1,BATTERY,2,2039,-0.1718247528018428
REGION1,BATTERY,2,2040,-0.18703735816597847
REGION1,BATTERY,2,2041,-0.20186902064003687
REGION1,BATTERY,2,2042,-0.2183674144633203
REGION1,BATTERY,2,2043,-0.2350167773285937
REGION1,BATTERY,2,2044,-0.24404929248221527
REGION1,BATTERY,2,2045,-0.21223707936968825
REGION1,BATTERY,2,2046,-0.17528535665835854
REGION1,BATTERY,2,2047,-0.1564201203813909
REGION1,BATTERY,2,2048,-0.13721678441153076
REGION1,BATTERY,2,2049,-0.11567221546494597
REGION1,BATTERY,2,2050,0.0584657514727718
REGION1,BATTERY,3,2025,-0.0026949870071639936
REGION1,BATTERY,3,2026,-0.01924274419194628
REGION1,BATTERY,3,2027,-0.019947325324419795
REGION1,BATTERY,3,2028,-0.01561351161616514
REGION1,BATTERY,3,2029,-0.05125499165566762
REGION1,BATTERY,3,2030,-0.0768645654885218
REGION1,BATTERY,3,2031,-0.0987584730088263
REGION1,BATTERY,3,2032,-0.1277244130090577
REGION1,BATTERY,3,2033,-0.15603092604469684
REGION1,BATTERY,3,2034,-0.1723917397276055
REGION1,BATTERY,3,2035,-0.18743644380866983
REGION1,BATTERY,3,2036,-0.20201241662250516
REGION1,BATTERY,3,2037,-0.2156649971116528
REGION1,BATTERY,3,2038,-0.22853603453165452
REGION1,BATTERY,3,2039,-0.2415353374330717
REGION1,BATTERY,3,2040,-0.25648123789662647
REGION1,BATTERY,3,2041,-0.2703957972404385
REGION1,BATTERY,3,2042,-0.2854313811059786
REGION1,BATTERY,3,2043,-0.3028607458109608
REGION1,BATTERY,3,2044,-0.31511369017815927
REGION1,BATTERY,3,2045,-0.3297340792882157
REGION1,BATTERY,3,2046,-0.34633449595020005
REGION1,BATTERY,3,2047,-0.3568364809418522
REGION1,BATTERY,3,2048,-0.3675582749217017
REGION1,BATTERY,3,2049,-0.3785731475524812
REGION1,BATTERY,3,2050,-0.38983225239236863
REGION1,BATTERY,4,2026,7.270590696967808e-06
REGION1,BATTERY,4,2027,0.0001083375564206
REGION1,BATTERY,4,2028,0.0006236773682666508
REGION1,BATTERY,4,2029,-0.0003543969048361
REGION1,BATTERY,4,2030,-0.00017870223012986117
REGION1,BATTERY,4,2031,-0.0018523803768307392
REGION1,BATTERY,4,2032,0.0574295707878326
REGION1,BATTERY,4,2033,0.09901325943121254
REGION1,BATTERY,4,2034,0.12079843965503503
REGION1,BATTERY,4,2035,0.1342683470632375
REGION1,BATTERY,4,2036,0.14587366553171857
REGION1,BATTERY,4,2037,0.15682646452577728
REGION1,BATTERY,4,2038,0.16845944119219514
REGION1,BATTERY,4,2039,0.1850048882754053
REGION1,BATTERY,4,2040,0.20356091079908328
REGION1,BATTERY,4,2041,0.22139403068180888
REGION1,BATTERY,4,2042,0.2411635904200131
REGION1,BATTERY,4,2043,0.2621121823183657
REGION1,BATTERY,4,2044,0.2750946599947943
REGION1,BATTERY,4,2045,0.26710011195656974
REGION1,BATTERY,4,2046,0.25724880782821846
REGION1,BATTERY,4,2047,0.253372663908398
REGION1,BATTERY,4,2048,0.24941539139490687
REGION1,BATTERY,4,2049,0.24534994742318825
REGION1,BATTERY,4,2050,0.12994408413078953
REGION1,HYDRODAM01,1,2021,-0.5367167999999999
REGION1,HYDRODAM01,1,2023,-0.07763714157484022
REGION1,HYDRODAM01,1,2024,0.36728595140186904
REGION1,HYDRODAM01,1,2025,0.021533525913336543
REGION1,HYDRODAM01,1,2026,0.36824271885177307
REGION1,HYDRODAM01,1,2027,0.12988756478087993
REGION1,HYDRODAM01,1,2028,0.27651045726062456
REGION1,HYDRODAM01,1,2029,0.04871645398603432
REGION1,HYDRODAM01,1,2030,0.37085012557506014
REGION1,HYDRODAM01,1,2031,0.02819870257266956
REGION1,HYDRODAM01,1,2032,0.29944870243902444
REGION1,HYDRODAM01,1,2033,0.45162755121950926
REGION1,HYDRODAM01,1,2034,-0.3783256534068401
REGION1,HYDRODAM01,1,2035,0.34814062702702686
REGION1,HYDRODAM01,1,2036,-0.44352764226043734
REGION1,HYDRODAM01,1,2037,0.34814062702702686
REGION1,HYDRODAM01,1,2038,-0.3697726912132264
REGION1,HYDRODAM01,1,2039,-0.0040608368286445
REGION1,HYDRODAM01,1,2041,-0.3252718600790511
REGION1,HYDRODAM01,1,2043,-0.37804340732352976
REGION1,HYDRODAM01,1,2044,0.26835839999999994
REGION1,HYDRODAM01,1,2047,0.4355883943864214
REGION1,HYDRODAM01,1,2048,0.26835839999999994
REGION1,HYDRODAM01,1,2049,-0.3913779203667085
REGION1,HYDRODAM01,1,2050,-0.5367167999999999
REGION1,HYDRODAM01,2,2021,-0.5367167999999999
REGION1,HYDRODAM01,2,2022,-0.5367167999999999
REGION1,HYDRODAM01,2,2023,0.11645571236226036
REGION1,HYDRODAM01,2,2024,0.027866915887850417
REGION1,HYDRODAM01,2,2025,0.032933627867455885
REGION1,HYDRODAM01,2,2026,0.02164792746347475
REGION1,HYDRODAM01,2,2027,0.11906360104913988
REGION1,HYDRODAM01,2,2028,0.008119408997665284
REGION1,HYDRODAM01,2,2029,0.044656749487198125
REGION1,HYDRODAM01,2,2030,0.004699783762108167
REGION1,HYDRODAM01,2,2031,0.02584881069161375
REGION1,HYDRODAM01,2,2032,0.07527125853658524
REGION1,HYDRODAM01,2,2033,0.6594416780487828
REGION1,HYDRODAM01,2,2034,0.058023437837833994
REGION1,HYDRODAM01,2,2035,0.7543046918918915
REGION1,HYDRODAM01,2,2036,0.05802343783783427
REGION1,HYDRODAM01,2,2037,0.7543046918918915
REGION1,HYDRODAM01,2,2038,0.002707224552426114
REGION1,HYDRODAM01,2,2039,0.006768061381074166
REGION1,HYDRODAM01,2,2040,-0.5367167999999999
REGION1,HYDRODAM01,2,2041,-0.5367167999999999
REGION1,HYDRODAM01,2,2042,-0.5367167999999999
REGION1,HYDRODAM01,2,2043,-0.5367167999999999
REGION1,HYDRODAM01,2,2044,-0.5367167999999999
REGION1,HYDRODAM01,2,2045,-0.5367167999999999
REGION1,HYDRODAM01,2,2046,-0.5367167999999999
REGION1,HYDRODAM01,2,2047,-0.5367167999999999
REGION1,HYDRODAM01,2,2048,-0.5367167999999999
REGION1,HYDRODAM01,2,2049,-0.5367167999999999
REGION1,HYDRODAM01,2,2050,1.2826814249999996
REGION1,HYDRODAM01,3,2021,-0.5016053633655203
REGION1,HYDRODAM01,3,2022,0.5903884799999998
REGION1,HYDRODAM01,3,2023,-0.5367167999999999
REGION1,HYDRODAM01,3,2024,-0.5367167999999999
REGION1,HYDRODAM01,3,2025,-0.032933627867455885
REGION1,HYDRODAM01,3,2026,-0.5367167999999999
REGION1,HYDRODAM01,3,2027,-0.11906360104913988
REGION1,HYDRODAM01,3,2028,-0.5367167999999999
REGION1,HYDRODAM01,3,2029,-0.044656749487198125
REGION1,HYDRODAM01,3,2030,-0.5367167999999999
REGION1,HYDRODAM01,3,2031,-0.02584881069161375
REGION1,HYDRODAM01,3,2032,-0.5367167999999999
REGION1,HYDRODAM01,3,2033,-0.5367167999999999
REGION1,HYDRODAM01,3,2034,-0.5367167999999999
REGION1,HYDRODAM01,3,2035,-0.5367167999999999
REGION1,HYDRODAM01,3,2036,-0.5367167999999999
REGION1,HYDRODAM01,3,2037,-0.5367167999999999
REGION1,HYDRODAM01,3,2038,-0.5367167999999999
REGION1,HYDRODAM01,3,2039,0.009475285933503831
REGION1,HYDRODAM01,3,2040,0.9013341913043472
REGION1,HYDRODAM01,3,2041,0.8069314339920944
REGION1,HYDRODAM01,3,2042,1.2585569726515855
REGION1,HYDRODAM01,3,2043,0.9043558289049779
REGION1,HYDRODAM01,3,2044,1.1649694083217006
REGION1,HYDRODAM01,3,2045,0.4847693760689354
REGION1,HYDRODAM01,3,2046,1.0860684296199548
REGION1,HYDRODAM01,3,2047,0.25271513790252387
REGION1,HYDRODAM01,3,2048,1.12871279731589
REGION1,HYDRODAM01,3,2049,0.9328855397175586
REGION1,HYDRODAM01,3,2050,-0.5367167999999999
REGION1,HYDRODAM01,4,2021,0.499926547123395
REGION1,HYDRODAM01,4,2022,-0.05367167999999993
REGION1,HYDRODAM01,4,2023,0.13367266263085387
REGION1,HYDRODAM01,4,2025,-0.002533355989804299
REGION1,HYDRODAM01,4,2027,-0.021647927463479988
REGION1,HYDRODAM01,4,2029,-0.008119408997672387
REGION1,HYDRODAM01,4,2031,-0.004699783762111593
REGION1,HYDRODAM01,4,2033,-0.0752712585365849
REGION1,HYDRODAM01,4,2035,-0.058023437837837824
REGION1,HYDRODAM01,4,2037,-0.058023437837837824
REGION1,HYDRODAM01,4,2039,-0.0027072245524296665
REGION1,HYDRODAM01,4,2040,0.12251144347826094
REGION1,HYDRODAM01,4,2041,0.08883405533596844
REGION1,HYDRODAM01,4,2042,-0.02037766906063432
REGION1,HYDRODAM01,4,2043,0.05635925703167388
REGION1,HYDRODAM01,4,2044,-0.09028600332868032
REGION1,HYDRODAM01,4,2045,0.009699782358638664
REGION1,HYDRODAM01,4,2046,0.048617748152017984
REGION1,HYDRODAM01,4,2047,-0.06015010404699663
REGION1,HYDRODAM01,4,2048,-0.07578335892635603
REGION1,HYDRODAM01,4,2049,0.04345882492566326
REGION1,HYDRODAM01,4,2050,0.019703525000000006
