REGION,STORAGE,YEAR,VALUE
REGION1,BATTERY,2021,0.18840983560396807
REGION1,BATTERY,2022,0.18840983560396807
REGION1,BATTERY,2023,0.18840983560396807
REGION1,BATTERY,2024,0.18840983560396807
REGION1,BATTERY,2025,0.18840983560396807
REGION1,BATTERY,2026,0.04557552422427644
REGION1,BATTERY,2027,0.04793760359461796
REGION1,BATTERY,2028,0.03541685035525287
REGION1,BATTERY,2029,0.11882425032770635
REGION1,BATTERY,2030,0.1806211908168291
REGION1,BATTERY,2031,0.22090733208755808
REGION1,BATTERY,2032,0.5136574651719853
REGION1,BATTERY,2033,0.8308189400307523
REGION1,BATTERY,2034,1.059582095576188
REGION1,BATTERY,2035,1.2468788181012167
REGION1,BATTERY,2036,1.4237223174324372
REGION1,BATTERY,2037,1.589385954788138
REGION1,BATTERY,2038,1.749085843676404
REGION1,BATTERY,2039,1.9264132986210545
REGION1,BATTERY,2040,2.1342428729804954
REGION1,BATTERY,2041,2.328182756007572
REGION1,BATTERY,2042,2.5408317905085496
REGION1,BATTERY,2043,2.788146653809923
REGION1,BATTERY,2044,2.951458974848357
REGION1,BATTERY,2045,3.069345147981931
REGION1,BATTERY,2046,3.2048179341456
REGION1,BATTERY,2047,3.291532167772983
REGION1,BATTERY,2048,3.3802316127452325
REGION1,BATTERY,2049,3.465906706018704
REGION1,BATTERY,2050,3.710126601573848
REGION1,HYDRODAM01,2021,60.16308419999956
REGION1,HYDRODAM01,2022,28.87536384
REGION1,HYDRODAM01,2023,3.971704320000008
REGION1,HYDRODAM01,2024,1.752829009345794
REGION1,HYDRODAM01,2025,0.027866915887847284
REGION1,HYDRODAM01,2026,2.2369533389971963
REGION1,HYDRODAM01,2027,0.021647927463479988
REGION1,HYDRODAM01,2028,9.481792229004233
REGION1,HYDRODAM01,2029,0.008119408997672387
REGION1,HYDRODAM01,2030,3.5563011409805054
REGION1,HYDRODAM01,2031,0.004699783762111593
REGION1,HYDRODAM01,2032,2.0585052878048766
REGION1,HYDRODAM01,2033,0.0752712585365849
REGION1,HYDRODAM01,2034,48.309420995122046
REGION1,HYDRODAM01,2035,0.058023437837837824
REGION1,HYDRODAM01,2036,52.61275225945945
REGION1,HYDRODAM01,2037,0.058023437837837824
REGION1,HYDRODAM01,2038,52.61275225945944
REGION1,HYDRODAM01,2039,0.0027072245524296665
REGION1,HYDRODAM01,2040,0.41420535652173895
REGION1,HYDRODAM01,2041,19.65141892173912
REGION1,HYDRODAM01,2042,7.1299936458498285
REGION1,HYDRODAM01,2043,22.866423953864288
REGION1,HYDRODAM01,2044,6.92702615644798
REGION1,HYDRODAM01,2045,24.43936147489531
REGION1,HYDRODAM01,2046,3.8872090368551726
REGION1,HYDRODAM01,2047,21.31402706657961
REGION1,HYDRODAM01,2048,6.24540186953873
REGION1,HYDRODAM01,2049,24.113051975843007
REGION1,HYDRODAM01,2050,6.780283149999998
